day_text,time_text,team_text,location,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,temp,rain,wind,d_wind,humidity,atmosphere,surface
8.30일,18:00,KIA 타이거즈,수원,10,1,1,1,1,2,1,25,2.3,2.3,160,97,1001.1,26.1
9.1화,19:00,한화 이글스,대전,3,0,0,9,1,1,0,28.4,0,2.4,70,79,999.5,29.1
9.1화,19:00,두산 베어스,대전,10,0,1,5,1,0,1,28.4,0,2.4,70,79,999.5,29.1
9.1화,19:00,LG 트윈스,서울,11,3,0,10,0,0,1,28.2,0,1.3,360,68,998,27.1
9.1화,19:00,SK 와이번스,서울,10,0,1,8,1,2,0,28.2,0,1.3,360,68,998,27.1
9.1화,19:00,롯데 자이언츠,부산,6,0,0,3,2,1,0,26.7,0,2.3,50,79,999.4,27.9
9.1화,19:00,kt wiz,부산,14,2,2,7,1,0,1,26.7,0,2.3,50,79,999.4,27.9
9.1화,19:00,NC 다이노스,창원,10,1,0,10,1,0,1,27.6,0,1.4,20,73,1003.3,27
9.1화,19:00,키움 히어로즈,창원,6,0,0,7,0,1,0,27.6,0,1.4,20,73,1003.3,27
9.1화,19:00,삼성 라이온즈,대구,4,0,0,5,2,1,0,26.7,0,2.7,110,72,1002.2,25.8
9.1화,19:00,KIA 타이거즈,대구,9,1,0,9,0,1,1,26.7,0,2.7,110,72,1002.2,25.8
9.2수,19:00,NC 다이노스,창원,9,1,0,5,2,1,0,25.9,2.3,4.4,50,82,989.4,24.5
9.2수,19:00,키움 히어로즈,창원,7,0,1,7,0,0,1,25.9,2.3,4.4,50,82,989.4,24.5
9.3목,19:00,KIA 타이거즈,광주,10,2,0,7,0,0,1,23.3,0,2.1,250,83,999.9,23.7
9.3목,19:00,롯데 자이언츠,광주,5,0,1,6,1,0,0,23.3,0,2.1,250,83,999.9,23.7
9.3목,19:00,NC 다이노스,창원,16,0,3,11,2,2,0,25.3,0,1.9,160,73,1003.1,24
9.3목,19:00,LG 트윈스,창원,9,1,0,8,2,2,1,25.3,0,1.9,160,73,1003.1,24
9.3목,19:00,두산 베어스,서울,10,3,1,4,1,3,0,24,0,3.6,200,77,994.5,23.4
9.3목,19:00,삼성 라이온즈,서울,16,1,1,6,2,2,1,24,0,3.6,200,77,994.5,23.4
9.3목,19:00,SK 와이번스,인천,8,0,1,2,2,0,0,23.6,0,5.2,270,76,996.4,22.9
9.3목,19:00,kt wiz,인천,12,0,1,6,1,0,1,23.6,0,5.2,270,76,996.4,22.9
9.3목,19:00,키움 히어로즈,서울,9,1,2,8,0,2,1,24,0,3.6,200,77,994.5,23.4
9.3목,19:00,한화 이글스,서울,11,1,0,8,0,0,0,24,0,3.6,200,77,994.5,23.4
9.4금,15:00,KIA 타이거즈,광주,8,1,0,7,1,0,1,27.9,0,1.9,230,57,1004.2,34.1
9.4금,15:00,롯데 자이언츠,광주,5,0,0,10,2,2,0,27.9,0,1.9,230,57,1004.2,34.1
9.4금,15:00,SK 와이번스,인천,5,1,0,6,0,1,0,25.2,0,3.4,230,53,1004.2,34.1
9.4금,15:00,kt wiz,인천,13,3,2,7,0,0,1,25.2,0,3.4,230,53,1004.2,34.1
9.4금,19:00,NC 다이노스,창원,13,0,3,15,0,2,0,24.7,0,1.5,230,72,1008.8,23.6
9.4금,19:00,LG 트윈스,창원,13,0,2,14,1,1,0,24.7,0,1.5,230,72,1008.8,23.6
