날짜,요일,구장,관중수
2019/03/23,토,잠실,"25,000"
2019/03/23,토,문학,"21,909"
2019/03/23,토,광주,"20,500"
2019/03/23,토,창원,"22,112"
2019/03/23,토,사직,"24,500"
2019/03/24,일,잠실,"25,000"
2019/03/24,일,문학,"15,421"
2019/03/24,일,광주,"17,597"
2019/03/24,일,창원,"20,067"
2019/03/24,일,사직,"22,218"
2019/03/26,화,광주,"5,553"
2019/03/26,화,창원,"4,782"
2019/03/26,화,문학,"6,718"
2019/03/26,화,사직,"7,345"
2019/03/26,화,잠실,"6,155"
2019/03/27,수,광주,"6,251"
2019/03/27,수,창원,"5,154"
2019/03/27,수,문학,"6,319"
2019/03/27,수,사직,"8,136"
2019/03/27,수,잠실,"5,784"
2019/03/28,목,광주,"5,629"
2019/03/28,목,창원,"4,757"
2019/03/28,목,문학,"8,053"
2019/03/28,목,사직,"7,625"
2019/03/28,목,잠실,"6,752"
2019/03/29,금,수원,"16,156"
2019/03/29,금,잠실,"19,370"
2019/03/29,금,대전,"12,152"
2019/03/29,금,대구,"12,361"
2019/03/29,금,고척,"5,435"
2019/03/30,토,수원,"11,475"
2019/03/30,토,잠실,"20,601"
2019/03/30,토,대전,"11,239"
2019/03/30,토,대구,"20,559"
2019/03/30,토,고척,"7,330"
2019/03/31,일,수원,"13,861"
2019/03/31,일,잠실,"21,267"
2019/03/31,일,대전,"11,878"
2019/03/31,일,대구,"14,084"
2019/03/31,일,고척,"5,682"
2019/04/02,화,대구,"4,818"
2019/04/02,화,잠실,"6,091"
2019/04/02,화,대전,"6,619"
2019/04/02,화,문학,"6,556"
2019/04/02,화,창원,"4,602"
2019/04/03,수,대구,"5,777"
2019/04/03,수,잠실,"5,811"
2019/04/03,수,대전,"6,002"
2019/04/03,수,문학,"6,457"
2019/04/03,수,창원,"4,945"
2019/04/04,목,대구,"5,863"
2019/04/04,목,잠실,"5,427"
2019/04/04,목,대전,"6,650"
2019/04/04,목,문학,"7,352"
2019/04/04,목,창원,"4,806"
2019/04/05,금,사직,"11,451"
2019/04/05,금,수원,"5,671"
2019/04/05,금,잠실,"10,365"
2019/04/05,금,문학,"9,178"
2019/04/05,금,광주,"7,048"
2019/04/06,토,사직,"23,305"
2019/04/06,토,수원,"8,509"
2019/04/06,토,잠실,"14,279"
2019/04/06,토,문학,"14,617"
2019/04/06,토,광주,"15,302"
2019/04/07,일,사직,"11,028"
2019/04/07,일,수원,"12,563"
2019/04/07,일,잠실,"16,081"
2019/04/07,일,문학,"19,069"
2019/04/09,화,고척,"1,377"
2019/04/10,수,고척,"1,158"
2019/04/10,수,광주,"7,207"
2019/04/10,수,사직,"6,825"
2019/04/10,수,대전,"5,434"
2019/04/10,수,잠실,"10,261"
2019/04/11,목,고척,"1,369"
2019/04/11,목,광주,"6,809"
2019/04/11,목,사직,"7,403"
2019/04/11,목,대전,"5,792"
2019/04/11,목,잠실,"11,168"
2019/04/12,금,고척,"6,559"
2019/04/12,금,문학,"15,392"
2019/04/12,금,대구,"7,087"
2019/04/12,금,창원,"17,028"
2019/04/12,금,잠실,"18,489"
