날짜,요일,구장,관중수
2020/05/05,화,문학,0
2020/05/05,화,수원,0
2020/05/05,화,대구,0
2020/05/05,화,잠실,0
2020/05/05,화,광주,0
2020/05/06,수,문학,0
2020/05/06,수,수원,0
2020/05/06,수,대구,0
2020/05/06,수,잠실,0
2020/05/06,수,광주,0
2020/05/07,목,문학,0
2020/05/07,목,수원,0
2020/05/07,목,대구,0
2020/05/07,목,잠실,0
2020/05/07,목,광주,0
2020/05/08,금,고척,0
2020/05/08,금,대구,0
2020/05/08,금,잠실,0
2020/05/08,금,창원,0
2020/05/08,금,사직,0
2020/05/09,토,고척,0
2020/05/09,토,대구,0
2020/05/10,일,고척,0
2020/05/10,일,대구,0
2020/05/10,일,잠실,0
2020/05/10,일,창원,0
2020/05/10,일,사직,0
2020/05/12,화,대전,0
2020/05/12,화,창원,0
2020/05/12,화,사직,0
2020/05/12,화,잠실,0
2020/05/12,화,고척,0
2020/05/13,수,대전,0
2020/05/13,수,창원,0
2020/05/13,수,사직,0
2020/05/13,수,잠실,0
2020/05/13,수,고척,0
2020/05/14,목,대전,0
2020/05/14,목,창원,0
2020/05/14,목,사직,0
2020/05/14,목,잠실,0
2020/05/14,목,고척,0
2020/05/15,금,대전,0
2020/05/15,금,문학,0
2020/05/15,금,광주,0
2020/05/15,금,수원,0
2020/05/16,토,대전,0
2020/05/16,토,문학,0
2020/05/16,토,광주,0
2020/05/16,토,수원,0
2020/05/16,토,잠실,0
2020/05/16,토,잠실,0
2020/05/17,일,대전,0
2020/05/17,일,문학,0
2020/05/17,일,광주,0
2020/05/17,일,수원,0
2020/05/17,일,잠실,0
2020/05/19,화,수원,0
2020/05/19,화,대구,0
2020/05/19,화,광주,0
2020/05/19,화,잠실,0
2020/05/19,화,고척,0
2020/05/20,수,수원,0
2020/05/20,수,대구,0
2020/05/20,수,광주,0
2020/05/20,수,잠실,0
2020/05/20,수,고척,0
2020/05/21,목,수원,0
2020/05/21,목,대구,0
2020/05/21,목,광주,0
2020/05/21,목,잠실,0
2020/05/21,목,고척,0
2020/05/22,금,창원,0
2020/05/22,금,문학,0
2020/05/22,금,잠실,0
2020/05/22,금,대구,0
2020/05/22,금,사직,0
2020/05/23,토,창원,0
2020/05/23,토,문학,0
2020/05/23,토,잠실,0
2020/05/23,토,대구,0
2020/05/23,토,사직,0
2020/05/24,일,창원,0
2020/05/24,일,문학,0
2020/05/24,일,잠실,0
2020/05/24,일,대구,0
2020/05/24,일,사직,0
2020/05/26,화,수원,0
2020/05/26,화,대전,0
2020/05/26,화,잠실,0
2020/05/26,화,사직,0
2020/05/26,화,창원,0
2020/05/27,수,수원,0
2020/05/27,수,대전,0
2020/05/27,수,잠실,0
2020/05/27,수,사직,0
2020/05/27,수,창원,0
2020/05/28,목,수원,0
2020/05/28,목,대전,0
