지점,지점명,일시,기온(°C),강수량(mm),습도(%)
108,서울,2019-08-16 18:00,28.6,,61
108,서울,2019-08-17 18:00,28.4,,48
108,서울,2019-08-18 18:00,29,,51
108,서울,2019-08-19 18:00,30.4,,44
108,서울,2019-08-20 18:00,31.3,,46
108,서울,2019-08-21 18:00,27.4,0.2,73
108,서울,2019-08-22 18:00,28.7,,60
108,서울,2019-08-23 18:00,28.4,,51
108,서울,2019-08-24 18:00,27.3,,50
108,서울,2019-08-25 18:00,28.2,,52
108,서울,2019-08-26 18:00,30.1,,44
108,서울,2019-08-27 18:00,28.8,,52
108,서울,2019-08-28 18:00,28.1,,56
108,서울,2019-08-29 18:00,25.7,,63
108,서울,2019-08-30 18:00,23,0,69
108,서울,2019-08-31 18:00,27.8,,50
108,서울,2019-09-01 18:00,26.3,,51
108,서울,2019-09-02 18:00,26.8,,46
108,서울,2019-09-03 18:00,25.5,,65
108,서울,2019-09-04 18:00,24.4,0,86
108,서울,2019-09-05 18:00,21.7,1.1,97
108,서울,2019-09-06 18:00,27.9,,75
108,서울,2019-09-07 18:00,23.4,0.4,86
108,서울,2019-09-08 18:00,25.5,,76
108,서울,2019-09-09 18:00,26.5,,65
108,서울,2019-09-10 18:00,24,4.9,97
108,서울,2019-09-11 18:00,26.4,,61
108,서울,2019-09-12 18:00,20.6,0.6,76
108,서울,2019-09-13 18:00,27.7,,43
108,서울,2019-09-14 18:00,23,,93
108,서울,2019-09-15 18:00,27.8,,59
108,서울,2019-09-16 18:00,28,,34
108,서울,2019-09-17 18:00,26.5,,36
108,서울,2019-09-18 18:00,22.4,,32
108,서울,2019-09-19 18:00,23,,43
108,서울,2019-09-20 18:00,21.5,,50
108,서울,2019-09-21 18:00,20.2,,69
108,서울,2019-09-22 18:00,19,0,61
108,서울,2019-09-23 18:00,23.2,,43
108,서울,2019-09-24 18:00,23.4,,42
108,서울,2019-09-25 18:00,23.9,,64
108,서울,2019-09-26 18:00,25.7,,41
108,서울,2019-09-27 18:00,24.7,,51
108,서울,2019-09-28 18:00,26.4,,48
108,서울,2019-09-29 18:00,25.7,,38
108,서울,2019-09-30 18:00,26,,52
108,서울,2019-10-01 18:00,26.6,,59
108,서울,2019-10-02 18:00,20.8,1.7,95
108,서울,2019-10-03 18:00,25,,59
108,서울,2019-10-04 18:00,24.9,,63
108,서울,2019-10-05 18:00,18.4,,63
108,서울,2019-10-06 18:00,20.4,,50
108,서울,2019-10-07 18:00,14.8,0.1,96
108,서울,2019-10-08 18:00,15.8,,33
108,서울,2019-10-09 18:00,17.1,,39
108,서울,2019-10-10 18:00,18.4,,58
108,서울,2019-10-11 18:00,22.9,,50
108,서울,2019-10-12 18:00,18.1,,48
108,서울,2019-10-13 18:00,20.8,,43
108,서울,2019-10-14 18:00,15.1,,42
108,서울,2019-10-15 18:00,17.4,,49
108,서울,2019-10-16 18:00,16.3,,42
108,서울,2019-10-17 18:00,18.5,,42
108,서울,2019-10-18 18:00,19.7,,55
108,서울,2019-10-19 18:00,19.3,,63
108,서울,2019-10-20 18:00,19.3,,58
108,서울,2019-10-21 18:00,20.7,,54
108,서울,2019-10-22 18:00,21.1,,51
108,서울,2019-10-23 18:00,18.6,,55
108,서울,2019-10-24 18:00,20.5,,38
108,서울,2019-10-25 18:00,17.7,,66
108,서울,2019-10-26 18:00,11,,56
108,서울,2019-10-27 18:00,14.1,,54
108,서울,2019-10-28 18:00,15.8,,55
108,서울,2019-10-29 18:00,13.8,,48
108,서울,2019-10-30 18:00,14,,55
112,인천,2019-04-01 18:00,7.7,,46
112,인천,2019-04-02 18:00,8.1,,47
112,인천,2019-04-03 18:00,8.8,,43
112,인천,2019-04-04 18:00,9.4,,64
112,인천,2019-04-05 18:00,12.1,,36
112,인천,2019-04-06 18:00,10.5,0,46
112,인천,2019-04-07 18:00,16.1,,28
112,인천,2019-04-08 18:00,10.9,,33
112,인천,2019-04-09 18:00,8.2,2,84
112,인천,2019-04-10 18:00,9.7,,65
112,인천,2019-04-11 18:00,10.7,,56
112,인천,2019-04-12 18:00,10.9,,67
112,인천,2019-04-13 18:00,13.4,,29
112,인천,2019-04-14 18:00,12.1,,31
112,인천,2019-04-15 18:00,13.8,,40
112,인천,2019-04-16 18:00,16,,32
112,인천,2019-04-17 18:00,16.4,,59
112,인천,2019-04-18 18:00,10.8,,97
112,인천,2019-04-19 18:00,18,,42
112,인천,2019-04-20 18:00,14.1,0,77
112,인천,2019-04-21 18:00,14.7,,77
112,인천,2019-04-22 18:00,20.8,,60
112,인천,2019-04-23 18:00,16.7,,75
112,인천,2019-04-24 18:00,19,,63
112,인천,2019-04-25 18:00,11.5,1,98
112,인천,2019-04-26 18:00,9.6,0,74
112,인천,2019-04-27 18:00,13.3,,51
112,인천,2019-04-28 18:00,14.9,,50
112,인천,2019-04-29 18:00,16.6,,43
112,인천,2019-04-30 18:00,16.4,,51
112,인천,2019-05-01 18:00,16.1,,61
112,인천,2019-05-02 18:00,17,,40
112,인천,2019-05-03 18:00,17.1,,51
112,인천,2019-05-04 18:00,18.6,,53
112,인천,2019-05-05 18:00,17.4,,50
112,인천,2019-05-06 18:00,14.7,,43
112,인천,2019-05-07 18:00,15,,44
112,인천,2019-05-08 18:00,14.7,,69
112,인천,2019-05-09 18:00,15.9,,56
112,인천,2019-05-10 18:00,17.9,,39
112,인천,2019-05-11 18:00,19.9,,42
112,인천,2019-05-12 18:00,23.5,,28
112,인천,2019-05-13 18:00,16.3,,64
112,인천,2019-05-14 18:00,21.8,,47
112,인천,2019-05-15 18:00,20.9,,61
112,인천,2019-05-16 18:00,24.9,,51
112,인천,2019-05-17 18:00,22.9,,52
112,인천,2019-05-18 18:00,24.1,,46
112,인천,2019-05-19 18:00,20,3.4,98
112,인천,2019-05-20 18:00,15.4,,57
112,인천,2019-05-21 18:00,17.9,,60
112,인천,2019-05-22 18:00,20.3,,53
112,인천,2019-05-23 18:00,22.6,,55
112,인천,2019-05-24 18:00,25.1,,52
112,인천,2019-05-25 18:00,24.5,,55
112,인천,2019-05-26 18:00,23.9,,41
112,인천,2019-05-27 18:00,16.2,0,96
112,인천,2019-05-28 18:00,19.2,,48
112,인천,2019-05-29 18:00,21.6,,45
112,인천,2019-05-30 18:00,18.5,,65
112,인천,2019-05-31 18:00,19.3,,53
112,인천,2019-06-01 18:00,18.9,,59
112,인천,2019-06-02 18:00,23,,46
112,인천,2019-06-03 18:00,25.4,,37
112,인천,2019-06-04 18:00,20.6,,78
112,인천,2019-06-05 18:00,22.3,,73
112,인천,2019-06-06 18:00,20.8,0,83
112,인천,2019-06-07 18:00,23.9,,54
112,인천,2019-06-08 18:00,23.3,,57
112,인천,2019-06-09 18:00,21.6,,75
112,인천,2019-06-10 18:00,22.2,,50
112,인천,2019-06-11 18:00,23.5,,49
112,인천,2019-06-12 18:00,22.9,,51
112,인천,2019-06-13 18:00,24.9,,50
112,인천,2019-06-14 18:00,24.1,,54
112,인천,2019-06-15 18:00,24.9,,52
112,인천,2019-06-16 18:00,22.1,,61
112,인천,2019-06-17 18:00,21.4,,65
112,인천,2019-06-18 18:00,21.4,0,79
112,인천,2019-06-19 18:00,21.9,,79
112,인천,2019-06-20 18:00,22.4,,80
112,인천,2019-06-21 18:00,23.7,,77
112,인천,2019-06-22 18:00,26.5,,51
112,인천,2019-06-23 18:00,27,,44
112,인천,2019-06-24 18:00,24.5,,67
112,인천,2019-06-25 18:00,27.6,,50
112,인천,2019-06-26 18:00,25,,55
112,인천,2019-06-27 18:00,24.7,,73
112,인천,2019-06-28 18:00,23.2,,78
112,인천,2019-06-29 18:00,25.9,,63
112,인천,2019-06-30 18:00,22.4,0,96
112,인천,2019-07-01 18:00,24.7,,66
112,인천,2019-07-02 18:00,24.9,,67
112,인천,2019-07-03 18:00,23.8,,83
112,인천,2019-07-04 18:00,25.6,,60
112,인천,2019-07-05 18:00,28.9,,33
112,인천,2019-07-06 18:00,31.6,,46
112,인천,2019-07-07 18:00,29.2,,38
112,인천,2019-07-08 18:00,28.1,,44
112,인천,2019-07-09 18:00,26.3,,54
112,인천,2019-07-10 18:00,22.8,0,66
112,인천,2019-07-11 18:00,22.3,,73
112,인천,2019-07-12 18:00,23.8,,84
112,인천,2019-07-13 18:00,24.8,,77
112,인천,2019-07-14 18:00,26.9,,69
112,인천,2019-07-15 18:00,25.4,,75
112,인천,2019-07-16 18:00,26.6,,74
112,인천,2019-07-17 18:00,27,,65
112,인천,2019-07-18 18:00,28.9,,59
112,인천,2019-07-19 18:00,28.7,,71
112,인천,2019-07-20 18:00,26.8,1.1,96
112,인천,2019-07-21 18:00,25.2,,88
112,인천,2019-07-22 18:00,26,,89
112,인천,2019-07-23 18:00,28.2,,75
112,인천,2019-07-24 18:00,26.1,,90
112,인천,2019-07-25 18:00,25,6.2,98
112,인천,2019-07-26 18:00,24.6,0,99
112,인천,2019-07-27 18:00,28.4,,83
112,인천,2019-07-28 18:00,25,0,91
112,인천,2019-07-29 18:00,27.8,,82
112,인천,2019-07-30 18:00,27.7,0,86
112,인천,2019-07-31 18:00,25.4,,98
112,인천,2019-08-01 18:00,27.5,,86
112,인천,2019-08-02 18:00,30.4,,74
112,인천,2019-08-03 18:00,31.4,,63
112,인천,2019-08-04 18:00,31,,66
112,인천,2019-08-05 18:00,32.8,,54
112,인천,2019-08-06 18:00,33.7,,57
112,인천,2019-08-07 18:00,29.8,,63
112,인천,2019-08-08 18:00,29.2,,76
112,인천,2019-08-09 18:00,31.3,,63
112,인천,2019-08-10 18:00,34.5,,50
112,인천,2019-08-11 18:00,32.4,0,47
112,인천,2019-08-12 18:00,28.3,0.1,89
112,인천,2019-08-13 18:00,31.2,,69
112,인천,2019-08-14 18:00,31.2,,72
112,인천,2019-08-15 18:00,26.2,,83
112,인천,2019-08-16 18:00,26.8,,80
112,인천,2019-08-17 18:00,26.5,,69
112,인천,2019-08-18 18:00,27,,66
112,인천,2019-08-19 18:00,28.7,,58
112,인천,2019-08-20 18:00,30.2,,56
112,인천,2019-08-21 18:00,27,0,80
112,인천,2019-08-22 18:00,27.1,,70
112,인천,2019-08-23 18:00,27.4,,58
112,인천,2019-08-24 18:00,26.3,,62
112,인천,2019-08-25 18:00,26.9,,60
112,인천,2019-08-26 18:00,27.3,,71
112,인천,2019-08-27 18:00,26.7,,69
112,인천,2019-08-28 18:00,26.5,,71
112,인천,2019-08-29 18:00,25.4,,74
112,인천,2019-08-30 18:00,23.8,,77
112,인천,2019-08-31 18:00,24.9,,67
112,인천,2019-09-01 18:00,25.4,,66
112,인천,2019-09-02 18:00,25.8,,68
112,인천,2019-09-03 18:00,26,0,66
112,인천,2019-09-04 18:00,24.3,0,93
112,인천,2019-09-05 18:00,22.9,,94
112,인천,2019-09-06 18:00,26.1,0,89
112,인천,2019-09-07 18:00,22.9,0.9,96
112,인천,2019-09-08 18:00,24.9,,85
112,인천,2019-09-09 18:00,26.3,,68
112,인천,2019-09-10 18:00,24.1,2.3,98
112,인천,2019-09-11 18:00,27,,60
112,인천,2019-09-12 18:00,19.7,0.4,84
112,인천,2019-09-13 18:00,24,,72
112,인천,2019-09-14 18:00,23.3,,89
112,인천,2019-09-15 18:00,25.6,,69
112,인천,2019-09-16 18:00,27.2,,41
112,인천,2019-09-17 18:00,25.2,,55
112,인천,2019-09-18 18:00,20.9,,34
112,인천,2019-09-19 18:00,22.3,,36
112,인천,2019-09-20 18:00,22.2,,44
112,인천,2019-09-21 18:00,20.5,,70
112,인천,2019-09-22 18:00,20.5,,60
112,인천,2019-09-23 18:00,22.1,,51
112,인천,2019-09-24 18:00,22.2,,48
112,인천,2019-09-25 18:00,21.8,,71
112,인천,2019-09-26 18:00,24.2,,67
112,인천,2019-09-27 18:00,23.9,,73
112,인천,2019-09-28 18:00,24.3,,66
112,인천,2019-09-29 18:00,23.9,,66
112,인천,2019-09-30 18:00,23.7,,71
112,인천,2019-10-01 18:00,24.9,,70
112,인천,2019-10-02 18:00,21.1,1.9,94
112,인천,2019-10-03 18:00,25.8,,58
112,인천,2019-10-04 18:00,22.3,,86
112,인천,2019-10-05 18:00,18.5,,69
112,인천,2019-10-06 18:00,20.3,,55
112,인천,2019-10-07 18:00,15,0,97
112,인천,2019-10-08 18:00,15.4,,35
112,인천,2019-10-09 18:00,17,,37
112,인천,2019-10-10 18:00,17.9,,62
112,인천,2019-10-11 18:00,23,,44
112,인천,2019-10-12 18:00,19.3,,45
112,인천,2019-10-13 18:00,19.4,,61
112,인천,2019-10-14 18:00,14.5,,49
112,인천,2019-10-15 18:00,16.8,,64
112,인천,2019-10-16 18:00,15.8,,60
112,인천,2019-10-17 18:00,18.1,,43
112,인천,2019-10-18 18:00,20.6,,54
112,인천,2019-10-19 18:00,18.1,,75
112,인천,2019-10-20 18:00,17.5,,73
112,인천,2019-10-21 18:00,19.9,,65
112,인천,2019-10-22 18:00,19,,64
112,인천,2019-10-23 18:00,19,,51
112,인천,2019-10-24 18:00,20.8,,42
112,인천,2019-10-25 18:00,17.8,,71
112,인천,2019-10-26 18:00,11.1,,65
112,인천,2019-10-27 18:00,14.5,,54
112,인천,2019-10-28 18:00,15.5,,65
112,인천,2019-10-29 18:00,14.2,,54
112,인천,2019-10-30 18:00,14.5,,61
119,수원,2019-04-01 18:00,8.1,,37
119,수원,2019-04-02 18:00,9,,33
119,수원,2019-04-03 18:00,9.3,,28
119,수원,2019-04-04 18:00,13.4,,30
119,수원,2019-04-05 18:00,12.9,,27
119,수원,2019-04-06 18:00,11.8,0,36
119,수원,2019-04-07 18:00,16.8,,27
119,수원,2019-04-08 18:00,12,,33
119,수원,2019-04-09 18:00,9.1,1,72
119,수원,2019-04-10 18:00,9.9,,69
119,수원,2019-04-11 18:00,12.2,,50
119,수원,2019-04-12 18:00,13.9,,35
119,수원,2019-04-13 18:00,14.8,,24
119,수원,2019-04-14 18:00,10.5,,72
119,수원,2019-04-15 18:00,15.5,,21
119,수원,2019-04-16 18:00,19.9,,22
119,수원,2019-04-17 18:00,17.4,,51
119,수원,2019-04-18 18:00,13.5,,86
119,수원,2019-04-19 18:00,17.7,,51
119,수원,2019-04-20 18:00,16.7,,68
119,수원,2019-04-21 18:00,17.8,,65
119,수원,2019-04-22 18:00,25.3,,36
119,수원,2019-04-23 18:00,20.1,,61
119,수원,2019-04-24 18:00,19.5,,61
119,수원,2019-04-25 18:00,12.7,1.6,100
119,수원,2019-04-26 18:00,9.1,0,84
119,수원,2019-04-27 18:00,13.8,,53
119,수원,2019-04-28 18:00,14.9,,47
119,수원,2019-04-29 18:00,15.3,0.1,62
119,수원,2019-04-30 18:00,17.6,,49
119,수원,2019-05-01 18:00,16.6,,60
119,수원,2019-05-02 18:00,18.4,,34
119,수원,2019-05-03 18:00,21.1,,35
119,수원,2019-05-04 18:00,22.5,,30
119,수원,2019-05-05 18:00,21.4,,26
119,수원,2019-05-06 18:00,14.7,,41
119,수원,2019-05-07 18:00,17.2,,29
119,수원,2019-05-08 18:00,17.7,,56
119,수원,2019-05-09 18:00,18.8,,31
119,수원,2019-05-10 18:00,19.2,,48
119,수원,2019-05-11 18:00,21.7,,37
119,수원,2019-05-12 18:00,24.5,,34
119,수원,2019-05-13 18:00,19.7,,58
119,수원,2019-05-14 18:00,23.3,,45
119,수원,2019-05-15 18:00,23.2,,51
119,수원,2019-05-16 18:00,27.4,,35
119,수원,2019-05-17 18:00,23.1,,56
119,수원,2019-05-18 18:00,21.9,0,59
119,수원,2019-05-19 18:00,20.3,0.6,97
119,수원,2019-05-20 18:00,16,,49
119,수원,2019-05-21 18:00,20,,47
119,수원,2019-05-22 18:00,23.8,,35
119,수원,2019-05-23 18:00,26.7,,30
119,수원,2019-05-24 18:00,28.5,,50
119,수원,2019-05-25 18:00,26.3,,36
119,수원,2019-05-26 18:00,26.9,,30
119,수원,2019-05-27 18:00,15.3,0,98
119,수원,2019-05-28 18:00,21.5,,29
119,수원,2019-05-29 18:00,22.7,,34
119,수원,2019-05-30 18:00,21.6,,51
119,수원,2019-05-31 18:00,20.6,,49
119,수원,2019-06-01 18:00,20.9,,55
119,수원,2019-06-02 18:00,24.5,,26
119,수원,2019-06-03 18:00,27.8,,37
119,수원,2019-06-04 18:00,22.8,,68
119,수원,2019-06-05 18:00,23.4,,67
119,수원,2019-06-06 18:00,23.8,0.1,71
119,수원,2019-06-07 18:00,24,,58
119,수원,2019-06-08 18:00,23.5,,61
119,수원,2019-06-09 18:00,23,,72
119,수원,2019-06-10 18:00,22.1,,60
119,수원,2019-06-11 18:00,23.3,,51
119,수원,2019-06-12 18:00,23.1,,58
119,수원,2019-06-13 18:00,26.9,,45
119,수원,2019-06-14 18:00,24.1,,58
119,수원,2019-06-15 18:00,23.1,,64
119,수원,2019-06-16 18:00,23.6,,55
119,수원,2019-06-17 18:00,23.2,,64
119,수원,2019-06-18 18:00,23.9,,68
119,수원,2019-06-19 18:00,24.3,,68
119,수원,2019-06-20 18:00,23.4,,66
119,수원,2019-06-21 18:00,24.3,,73
119,수원,2019-06-22 18:00,28.4,,47
119,수원,2019-06-23 18:00,27.4,,46
119,수원,2019-06-24 18:00,26.6,,44
119,수원,2019-06-25 18:00,29.3,,43
119,수원,2019-06-26 18:00,27.2,,52
119,수원,2019-06-27 18:00,27.4,,71
119,수원,2019-06-28 18:00,25.2,,73
119,수원,2019-06-29 18:00,25.7,,73
119,수원,2019-06-30 18:00,25,,81
119,수원,2019-07-01 18:00,26.3,,57
119,수원,2019-07-02 18:00,27.1,,56
119,수원,2019-07-03 18:00,26.7,,66
119,수원,2019-07-04 18:00,27.1,,48
119,수원,2019-07-05 18:00,30.6,,42
119,수원,2019-07-06 18:00,34,,31
119,수원,2019-07-07 18:00,30,,38
119,수원,2019-07-08 18:00,27.6,,48
119,수원,2019-07-09 18:00,28.1,,47
119,수원,2019-07-10 18:00,21.5,0.5,80
119,수원,2019-07-11 18:00,23.8,,75
119,수원,2019-07-12 18:00,25.5,,70
119,수원,2019-07-13 18:00,26.9,,69
119,수원,2019-07-14 18:00,28.5,,60
119,수원,2019-07-15 18:00,24.3,0,83
119,수원,2019-07-16 18:00,27.5,,73
119,수원,2019-07-17 18:00,28,,66
119,수원,2019-07-18 18:00,30.4,,61
119,수원,2019-07-19 18:00,28.3,0,78
119,수원,2019-07-20 18:00,30,,67
119,수원,2019-07-21 18:00,26.6,,86
119,수원,2019-07-22 18:00,30.5,,69
119,수원,2019-07-23 18:00,30.5,,65
119,수원,2019-07-24 18:00,27.6,,84
119,수원,2019-07-25 18:00,26.2,0.2,94
119,수원,2019-07-26 18:00,26.5,0.9,92
119,수원,2019-07-27 18:00,30.1,,80
119,수원,2019-07-28 18:00,27.1,0,82
119,수원,2019-07-29 18:00,29.7,,72
119,수원,2019-07-30 18:00,29.4,,79
119,수원,2019-07-31 18:00,28.4,,84
119,수원,2019-08-01 18:00,29.8,,76
119,수원,2019-08-02 18:00,31.6,,67
119,수원,2019-08-03 18:00,29.9,0,74
119,수원,2019-08-04 18:00,30.4,,62
119,수원,2019-08-05 18:00,34,,60
119,수원,2019-08-06 18:00,34.2,,49
119,수원,2019-08-07 18:00,31.1,,63
119,수원,2019-08-08 18:00,30.4,,66
119,수원,2019-08-09 18:00,32.1,,62
119,수원,2019-08-10 18:00,34.6,,44
119,수원,2019-08-11 18:00,32,0,43
119,수원,2019-08-12 18:00,28.7,,75
119,수원,2019-08-13 18:00,33,,58
119,수원,2019-08-14 18:00,30.8,0,70
119,수원,2019-08-15 18:00,25.6,0.7,78
119,수원,2019-08-16 18:00,27.7,,69
119,수원,2019-08-17 18:00,27,,70
119,수원,2019-08-18 18:00,27.6,,49
119,수원,2019-08-19 18:00,29,,60
119,수원,2019-08-20 18:00,30.7,,35
119,수원,2019-08-21 18:00,28.7,,50
119,수원,2019-08-22 18:00,27.4,,63
119,수원,2019-08-23 18:00,27.3,,50
119,수원,2019-08-24 18:00,26.3,,66
119,수원,2019-08-25 18:00,27.3,,56
119,수원,2019-08-26 18:00,29.4,,54
119,수원,2019-08-27 18:00,27.3,,69
119,수원,2019-08-28 18:00,27,,68
119,수원,2019-08-29 18:00,24.6,,74
119,수원,2019-08-30 18:00,24.3,,66
119,수원,2019-08-31 18:00,26,,60
119,수원,2019-09-01 18:00,26.3,,57
119,수원,2019-09-02 18:00,26,,74
119,수원,2019-09-03 18:00,24.7,,79
119,수원,2019-09-04 18:00,22.9,0,98
119,수원,2019-09-05 18:00,22.7,0.4,100
119,수원,2019-09-06 18:00,28.2,,83
119,수원,2019-09-07 18:00,24,0,92
119,수원,2019-09-08 18:00,25.1,,90
119,수원,2019-09-09 18:00,25.9,0,84
119,수원,2019-09-10 18:00,25.8,0,97
119,수원,2019-09-11 18:00,26.5,,75
119,수원,2019-09-12 18:00,17.8,12.8,99
119,수원,2019-09-13 18:00,27,,58
119,수원,2019-09-14 18:00,23.4,,95
119,수원,2019-09-15 18:00,26.1,,77
119,수원,2019-09-16 18:00,27.9,,42
119,수원,2019-09-17 18:00,26.6,,47
119,수원,2019-09-18 18:00,21.9,,41
119,수원,2019-09-19 18:00,23,,61
119,수원,2019-09-20 18:00,22.6,,61
119,수원,2019-09-21 18:00,18.5,,84
119,수원,2019-09-22 18:00,17.5,0.3,94
119,수원,2019-09-23 18:00,21.7,,61
119,수원,2019-09-24 18:00,22,,46
119,수원,2019-09-25 18:00,22,,81
