day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,,
10.1수,롯데 자이언츠,7,1,0,14,0,0,패,0,대구
10.1수,삼성 라이온즈,7,1,2,7,0,0,승,1,대구
10.1수,두산 베어스,8,0,1,13,0,0,승,0,광주
10.1수,KIA 타이거즈,6,1,1,10,1,0,패,1,광주
10.1수,SK 와이번스,14,1,0,11,0,2,승,0,대전
10.1수,한화 이글스,6,0,0,10,1,0,패,1,대전
10.2목,한화 이글스,12,2,0,8,2,0,패,0,부산
10.2목,롯데 자이언츠,16,1,0,4,0,0,승,1,부산
10.2목,두산 베어스,8,0,0,4,1,1,패,0,광주
10.2목,KIA 타이거즈,9,1,0,8,1,0,승,1,광주
10.2목,SK 와이번스,5,0,0,8,1,1,패,0,창원
10.2목,NC 다이노스,12,2,4,5,0,1,승,1,창원
10.3금,한화 이글스,7,1,0,5,0,1,패,0,부산
10.3금,롯데 자이언츠,18,1,0,9,0,0,승,1,부산
10.3금,두산 베어스,3,0,3,10,0,1,패,0,광주
10.3금,KIA 타이거즈,8,0,2,5,1,2,승,1,광주
10.3금,키움 히어로즈,12,0,0,3,1,1,패,0,서울
10.3금,LG 트윈스,15,1,2,5,2,1,승,1,서울
10.4토,두산 베어스,10,0,1,8,0,0,패,0,창원
10.4토,NC 다이노스,5,1,2,9,0,1,승,1,창원
10.4토,삼성 라이온즈,17,0,4,4,1,1,승,0,광주
10.4토,KIA 타이거즈,12,0,0,7,0,1,패,1,광주
10.4토,키움 히어로즈,7,0,0,6,0,3,승,0,서울
10.4토,LG 트윈스,7,0,1,7,0,2,패,1,서울
10.5일,한화 이글스,8,1,1,4,3,0,패,0,인천
10.5일,SK 와이번스,9,2,2,5,1,2,승,1,인천
10.5일,두산 베어스,6,1,0,8,0,0,패,0,창원
10.5일,NC 다이노스,8,2,1,1,2,0,승,1,창원
10.5일,삼성 라이온즈,11,0,0,4,0,1,승,0,광주
10.5일,KIA 타이거즈,8,1,0,9,0,1,패,1,광주
10.5일,키움 히어로즈,9,0,0,9,2,2,패,0,서울
10.5일,LG 트윈스,8,0,0,4,2,0,승,1,서울
10.6월,한화 이글스,4,0,0,7,1,1,패,0,인천
10.6월,SK 와이번스,19,2,0,4,0,0,승,1,인천
10.6월,NC 다이노스,0,0,0,11,1,0,패,0,서울
10.6월,LG 트윈스,8,0,0,7,1,1,승,1,서울
10.6월,두산 베어스,9,0,1,7,1,0,승,0,대구
10.6월,삼성 라이온즈,6,0,3,6,0,4,패,1,대구
10.7화,KIA 타이거즈,12,1,0,8,0,2,패,0,서울
10.7화,키움 히어로즈,10,0,3,6,1,1,승,1,서울
10.7화,롯데 자이언츠,11,1,2,8,0,1,패,0,대전
10.7화,한화 이글스,11,2,1,6,1,1,승,1,대전
10.7화,NC 다이노스,3,0,0,4,0,0,패,0,인천
10.7화,SK 와이번스,5,0,2,6,2,0,승,1,인천
10.7화,삼성 라이온즈,8,1,2,7,0,3,패,0,서울
10.7화,LG 트윈스,14,0,0,3,3,0,승,1,서울
10.8수,KIA 타이거즈,9,0,0,11,1,2,패,0,서울
10.8수,두산 베어스,6,0,1,8,0,1,승,1,서울
10.8수,삼성 라이온즈,9,0,1,10,0,0,패,0,서울
10.8수,키움 히어로즈,8,0,3,12,0,0,승,1,서울
10.9목,KIA 타이거즈,15,0,0,9,1,2,패,0,서울
10.9목,LG 트윈스,15,0,2,7,0,0,승,1,서울
10.9목,NC 다이노스,14,5,1,11,0,0,승,0,대구
10.9목,삼성 라이온즈,9,2,0,3,1,0,패,1,대구
10.9목,두산 베어스,4,0,1,6,1,0,패,0,대전
10.9목,한화 이글스,5,0,1,6,0,0,승,1,대전
10.10금,NC 다이노스,15,3,1,3,4,1,승,0,부산
10.10금,롯데 자이언츠,4,0,0,7,1,2,패,1,부산
10.10금,두산 베어스,15,0,2,9,1,0,승,0,대전
10.10금,한화 이글스,14,0,0,11,2,0,패,1,대전
10.11토,한화 이글스,6,2,0,6,0,0,패,0,부산
10.11토,롯데 자이언츠,10,1,0,6,1,0,승,1,부산
10.11토,LG 트윈스,14,1,2,7,0,0,승,0,서울
10.11토,두산 베어스,9,1,0,5,2,0,패,1,서울
10.11토,삼성 라이온즈,6,2,0,4,1,0,패,0,광주
10.11토,KIA 타이거즈,10,0,1,9,1,0,승,1,광주
10.11토,키움 히어로즈,13,2,2,13,1,1,무,0,인천
10.11토,SK 와이번스,11,1,0,13,0,2,무,1,인천
10.12일,한화 이글스,5,0,1,7,0,1,패,0,부산
10.12일,롯데 자이언츠,8,1,1,7,1,0,승,1,부산
10.12일,LG 트윈스,7,0,1,6,1,0,패,0,서울
10.12일,두산 베어스,12,0,5,6,1,0,승,1,서울
10.12일,삼성 라이온즈,12,0,2,7,0,0,승,0,광주
10.12일,KIA 타이거즈,11,2,0,9,0,0,패,1,광주
10.13월,두산 베어스,14,1,0,4,2,0,패,0,인천
10.13월,SK 와이번스,12,1,1,6,0,0,승,1,인천
10.13월,삼성 라이온즈,28,4,0,6,2,0,승,0,대전
10.13월,한화 이글스,8,0,0,8,0,3,패,1,대전
10.13월,키움 히어로즈,10,1,1,11,0,1,승,0,광주
10.13월,KIA 타이거즈,7,1,0,10,1,1,패,1,광주
10.14화,삼성 라이온즈,2,1,1,12,0,0,패,0,창원
10.14화,NC 다이노스,6,1,2,12,0,0,승,1,창원
10.14화,키움 히어로즈,19,3,0,5,1,1,승,0,부산
10.14화,롯데 자이언츠,11,1,0,14,0,0,패,1,부산
10.15수,LG 트윈스,5,0,0,7,0,0,패,0,대구
10.15수,삼성 라이온즈,6,1,0,4,1,3,승,1,대구
10.15수,SK 와이번스,9,0,1,6,0,2,패,0,서울
10.15수,두산 베어스,10,1,0,11,0,0,승,1,서울
10.15수,키움 히어로즈,9,2,1,6,1,1,승,0,부산
10.15수,롯데 자이언츠,11,0,3,10,1,1,패,1,부산
10.16목,KIA 타이거즈,13,0,0,13,1,1,승,0,대구
10.16목,삼성 라이온즈,11,0,1,9,2,1,패,1,대구
10.16목,SK 와이번스,13,0,0,2,1,1,승,0,서울
10.16목,두산 베어스,14,0,0,10,3,2,패,1,서울
10.17금,한화 이글스,6,2,0,8,3,3,패,0,광주
10.17금,KIA 타이거즈,7,1,2,9,1,0,승,1,광주
10.17금,LG 트윈스,10,2,1,7,0,0,패,0,부산
