day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,game_location,기온(°C),강수량(mm),습도(%)
9.1토,한화 이글스,5,0,0,11,0,0,승,광주,26.8,0,68
9.1토,KIA 타이거즈,6,0,2,10,0,1,패,광주,26.8,0,68
9.1토,LG 트윈스,11,1,1,5,1,2,승,부산,24.1,0,67
9.1토,롯데 자이언츠,5,0,0,5,1,0,패,부산,24.1,0,67
9.1토,두산 베어스,9,3,0,5,3,1,무,인천,26.2,0,86
9.1토,SK 와이번스,13,2,0,10,2,0,무,인천,26.2,0,86
9.1토,키움 히어로즈,7,2,1,8,0,0,패,대구,26.8,0,57
9.1토,삼성 라이온즈,10,2,1,4,1,1,승,대구,26.8,0,57
9.2일,KIA 타이거즈,17,3,1,8,0,0,승,대전,26.8,0,77
9.2일,한화 이글스,4,0,0,10,0,0,패,대전,26.8,0,77
9.2일,LG 트윈스,6,0,0,12,0,0,패,부산,25.5,0,69
9.2일,롯데 자이언츠,15,3,1,4,1,0,승,부산,25.5,0,69
9.2일,두산 베어스,13,1,0,7,1,0,승,인천,25.9,0,80
9.2일,SK 와이번스,9,1,0,5,0,0,패,인천,25.9,0,80
9.2일,키움 히어로즈,7,1,1,9,0,0,패,대구,28.7,0,44
9.2일,삼성 라이온즈,8,2,2,8,3,0,승,대구,28.7,0,44
9.4화,KIA 타이거즈,7,0,1,6,2,0,패,부산,26.4,0,79
9.4화,롯데 자이언츠,8,1,2,10,0,0,승,부산,26.4,0,79
9.4화,LG 트윈스,10,0,3,7,0,0,승,대구,28.3,0,65
9.4화,삼성 라이온즈,12,0,0,7,1,3,패,대구,28.3,0,65
9.5수,LG 트윈스,7,0,0,8,1,0,패,대구,28.4,0,50
9.5수,삼성 라이온즈,4,0,1,9,0,0,승,대구,28.4,0,50
9.5수,두산 베어스,5,1,3,12,0,0,패,대전,24.5,0,63
9.5수,한화 이글스,6,0,2,9,0,0,승,대전,24.5,0,63
9.5수,SK 와이번스,13,0,0,8,1,0,승,광주,24.9,0,56
9.5수,KIA 타이거즈,9,1,0,4,1,1,패,광주,24.9,0,56
9.6목,롯데 자이언츠,6,0,0,9,0,0,패,대전,24,0,54
9.6목,한화 이글스,5,1,2,8,0,0,승,대전,24,0,54
9.6목,SK 와이번스,1,0,2,7,1,1,패,광주,25.9,0,49
9.6목,KIA 타이거즈,10,0,0,6,0,0,승,광주,25.9,0,49
9.6목,키움 히어로즈,5,0,0,4,1,0,패,서울,25.1,0,36
9.6목,두산 베어스,10,1,1,3,0,0,승,서울,25.1,0,36
9.7금,한화 이글스,8,0,1,9,1,1,패,부산,25.6,0,66
9.7금,롯데 자이언츠,7,1,1,4,0,0,승,부산,25.6,0,66
9.7금,SK 와이번스,6,1,1,7,1,1,패,광주,26.1,0,67
9.7금,KIA 타이거즈,16,1,2,2,0,1,승,광주,26.1,0,67
9.7금,키움 히어로즈,6,1,1,6,1,2,승,서울,25.2,0,45
9.7금,두산 베어스,14,0,0,8,1,2,패,서울,25.2,0,45
9.8토,한화 이글스,5,0,1,10,0,0,패,부산,25.1,0,82
9.8토,롯데 자이언츠,7,2,3,8,0,0,승,부산,25.1,0,82
9.8토,KIA 타이거즈,8,0,0,3,0,1,패,서울,20.5,0,67
9.8토,LG 트윈스,14,0,3,6,1,1,승,서울,20.5,0,67
9.8토,두산 베어스,9,1,1,13,2,0,승,대구,26.9,0,60
9.8토,삼성 라이온즈,7,1,2,15,0,1,패,대구,26.9,0,60
9.8토,키움 히어로즈,9,2,2,8,0,2,패,인천,20.8,0,76
9.8토,SK 와이번스,17,0,3,10,0,0,승,인천,20.8,0,76
9.9일,KIA 타이거즈,9,0,1,5,0,1,패,서울,23.3,0,59
9.9일,LG 트윈스,14,0,1,4,1,1,승,서울,23.3,0,59
9.9일,키움 히어로즈,3,0,0,8,2,0,패,인천,22.6,0,80
9.9일,SK 와이번스,5,2,3,7,0,0,승,인천,22.6,0,80
