day_text,,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,,지점명,,,,,,,,지점,지점명,일시,기온(°C),강수량(mm),습도(%)
5.7수,5.7,롯데 자이언츠,12,0,1,9,0,0,승,1,부산,,,,,,,,108,서울,5.16,23.1,,28
5.7수,5.7,삼성 라이온즈,6,0,0,8,0,0,승,0,인천,,,,,,,,108,서울,5.17,25,,33
5.7수,5.7,SK 와이번스,9,1,1,7,2,1,패,1,인천,,,,,,,,108,서울,5.18,24.9,,39
5.8목,5.8,한화 이글스,11,1,0,5,1,0,승,0,서울,,,,,,,,108,서울,5.19,22.2,,52
5.8목,5.8,LG 트윈스,7,0,0,5,3,0,패,1,서울,,,,,,,,108,서울,5.20,27.5,,30
5.8목,5.8,NC 다이노스,8,0,0,9,0,0,패,0,서울,,,,,,,,108,서울,5.21,22.6,,57
5.8목,5.8,키움 히어로즈,8,2,1,7,1,1,승,1,서울,,,,,,,,108,서울,5.22,26.4,,37
5.8목,5.8,두산 베어스,20,6,0,1,3,1,승,0,부산,,,,,,,,108,서울,5.23,24.8,,65
5.8목,5.8,롯데 자이언츠,11,0,2,8,2,1,패,1,부산,,,,,,,,108,서울,5.24,22.2,,70
5.8목,5.8,삼성 라이온즈,6,2,1,7,0,0,승,0,인천,,,,,,,,108,서울,5.25,19.1,0,97
5.8목,5.8,SK 와이번스,3,0,1,11,1,0,패,1,인천,,,,,,,,108,서울,5.26,23.4,,36
5.9금,5.9,KIA 타이거즈,9,2,0,9,0,0,승,0,대전,,,,,,,,108,서울,5.27,27,,40
5.9금,5.9,한화 이글스,7,0,3,12,0,1,패,1,대전,,,,,,,,108,서울,5.28,26.9,,59
5.9금,5.9,LG 트윈스,10,0,1,4,1,2,패,0,서울,,,,,,,,108,서울,5.29,28.7,,33
5.9금,5.9,키움 히어로즈,9,1,2,8,0,1,승,1,서울,,,,,,,,108,서울,5.30,29.6,,36
5.9금,5.9,롯데 자이언츠,9,1,1,9,0,0,승,0,창원,,,,,,,,108,서울,5.31,29.3,,46
5.9금,5.9,NC 다이노스,4,0,0,12,0,2,패,1,창원,,,,,,,,108,서울,6.1,26.3,,63
5.9금,5.9,삼성 라이온즈,17,4,0,1,0,0,승,0,서울,,,,,,,,108,서울,6.2,22.7,0.5,83
5.9금,5.9,두산 베어스,9,0,0,4,1,0,패,1,서울,,,,,,,,108,서울,6.3,18.9,4.5,100
5.10토,5.1,KIA 타이거즈,18,2,2,5,1,0,승,0,대전,,,,,,,,108,서울,6.4,25.3,,53
5.10토,5.1,한화 이글스,9,1,0,3,0,0,패,1,대전,,,,,,,,108,서울,6.5,24.2,,56
5.10토,5.1,LG 트윈스,11,0,2,9,1,1,승,0,서울,,,,,,,,108,서울,6.6,28.8,,51
5.10토,5.1,키움 히어로즈,7,0,1,6,0,2,패,1,서울,,,,,,,,108,서울,6.7,25.8,,55
5.10토,5.1,롯데 자이언츠,6,1,1,5,1,1,패,0,창원,,,,,,,,108,서울,6.8,22.5,,72
5.10토,5.1,NC 다이노스,8,1,1,10,0,1,승,1,창원,,,,,,,,108,서울,6.9,25.5,,63
5.10토,5.1,삼성 라이온즈,5,0,1,4,2,2,패,0,서울,,,,,,,,108,서울,6.10,23.9,1,86
5.10토,5.1,두산 베어스,15,1,2,5,2,1,승,1,서울,,,,,,,,108,서울,6.11,18.3,0,96
5.11일,5.1,KIA 타이거즈,9,1,0,4,0,1,승,0,대전,,,,,,,,108,서울,6.12,21.9,,74
5.11일,5.1,한화 이글스,6,0,3,6,2,1,패,1,대전,,,,,,,,108,서울,6.13,24.8,,66
5.11일,5.1,LG 트윈스,4,0,0,6,1,0,패,0,서울,,,,,,,,108,서울,6.14,26.1,,58
5.11일,5.1,키움 히어로즈,12,3,1,2,2,0,승,1,서울,,,,,,,,108,서울,6.15,26.8,,48
5.11일,5.1,롯데 자이언츠,6,0,0,4,1,2,패,0,창원,,,,,,,,108,서울,6.16,27.9,,46
5.11일,5.1,NC 다이노스,12,1,0,4,0,0,승,1,창원,,,,,,,,108,서울,6.17,26.5,,63
5.11일,5.1,삼성 라이온즈,3,0,1,4,0,1,패,0,서울,,,,,,,,108,서울,6.18,27.1,,63
5.11일,5.1,두산 베어스,13,2,0,5,1,0,승,1,서울,,,,,,,,108,서울,6.19,23.5,0,76
5.13화,5.1,한화 이글스,7,0,0,7,2,1,패,0,대구,,,,,,,,108,서울,6.20,26,0.2,77
5.13화,5.1,삼성 라이온즈,13,2,4,2,0,0,승,1,대구,,,,,,,,108,서울,6.21,25.7,0,73
