team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text
KIA 타이거즈,7,0,1,5,2,0,패
롯데 자이언츠,13,0,0,5,1,1,승
kt wiz,7,1,0,6,0,0,패
두산 베어스,9,2,0,8,0,1,승
LG 트윈스,9,1,0,7,2,1,패
한화 이글스,11,3,0,6,1,2,승
SK 와이번스,17,2,1,4,0,0,승
삼성 라이온즈,8,1,0,10,1,0,패
키움 히어로즈,17,3,1,9,0,1,승
NC 다이노스,9,1,0,9,1,0,패
KIA 타이거즈,17,1,2,7,0,1,승
롯데 자이언츠,12,2,0,7,2,6,패
LG 트윈스,7,1,0,7,0,1,패
한화 이글스,9,1,1,11,0,0,승
SK 와이번스,14,2,1,11,0,0,승
삼성 라이온즈,11,1,0,11,0,0,패
키움 히어로즈,14,1,0,6,0,2,패
NC 다이노스,17,6,0,3,1,0,승
KIA 타이거즈,9,1,1,9,2,3,패
롯데 자이언츠,10,1,1,7,1,1,승
kt wiz,8,0,0,10,1,0,승
두산 베어스,12,2,0,9,1,0,패
LG 트윈스,10,2,1,8,0,1,패
한화 이글스,11,1,0,3,2,0,승
SK 와이번스,5,1,0,13,0,1,패
삼성 라이온즈,9,1,2,5,2,0,승
키움 히어로즈,14,1,2,10,0,0,승
NC 다이노스,13,1,0,8,1,0,패
한화 이글스,13,2,1,3,3,1,승
삼성 라이온즈,11,1,1,5,2,1,패
롯데 자이언츠,9,1,1,7,2,2,패
SK 와이번스,10,0,0,5,0,0,승
NC 다이노스,14,3,3,10,0,1,승
KIA 타이거즈,11,1,2,5,0,0,패
두산 베어스,14,2,0,5,0,0,승
LG 트윈스,12,0,0,7,0,0,패
키움 히어로즈,15,4,1,7,0,0,승
kt wiz,9,1,0,11,2,0,패
한화 이글스,9,0,0,9,0,0,패
삼성 라이온즈,10,2,1,7,0,0,승
롯데 자이언츠,8,0,2,3,2,0,승
SK 와이번스,5,0,0,14,0,0,패
NC 다이노스,8,1,0,5,0,1,패
KIA 타이거즈,18,1,0,6,0,0,승
두산 베어스,11,1,1,6,0,0,승
LG 트윈스,5,0,0,7,2,0,패
키움 히어로즈,15,1,0,8,1,0,승
kt wiz,8,0,0,10,3,2,패
NC 다이노스,6,2,0,10,0,0,패
KIA 타이거즈,19,2,2,2,3,0,승
두산 베어스,20,2,0,6,0,0,승
LG 트윈스,7,2,0,11,0,1,패
한화 이글스,15,2,0,8,1,1,승
키움 히어로즈,15,1,4,14,0,2,패
롯데 자이언츠,11,0,0,8,1,0,승
LG 트윈스,7,0,1,10,0,2,패
두산 베어스,6,0,0,8,2,0,패
KIA 타이거즈,13,3,1,4,1,0,승
SK 와이번스,6,0,1,11,1,0,패
NC 다이노스,9,2,0,8,0,0,승
삼성 라이온즈,14,1,4,6,2,0,승
kt wiz,7,0,0,10,0,1,패
한화 이글스,7,2,0,5,0,0,승
키움 히어로즈,8,0,0,9,0,0,패
롯데 자이언츠,11,0,0,8,0,0,패
LG 트윈스,5,0,0,7,0,0,승
두산 베어스,16,0,0,5,0,0,승
KIA 타이거즈,8,0,0,7,2,1,패
SK 와이번스,10,0,0,6,1,2,승
NC 다이노스,7,1,0,9,0,0,패
삼성 라이온즈,17,1,1,4,1,1,승
kt wiz,13,0,0,10,0,0,패
한화 이글스,10,0,0,8,1,0,승
키움 히어로즈,9,1,1,8,1,3,패
롯데 자이언츠,7,1,1,5,1,1,승
LG 트윈스,8,0,0,8,0,0,패
두산 베어스,17,1,1,8,0,0,패
KIA 타이거즈,13,1,1,7,1,0,승
SK 와이번스,11,3,0,6,0,1,승
NC 다이노스,5,0,0,10,0,0,패
삼성 라이온즈,11,0,0,3,0,2,패
kt wiz,10,0,1,8,2,0,승
KIA 타이거즈,7,1,0,7,1,2,패
삼성 라이온즈,13,3,0,1,1,0,승
kt wiz,6,1,1,9,2,1,패
롯데 자이언츠,10,1,0,8,0,1,승
LG 트윈스,17,2,0,3,1,1,승
SK 와이번스,16,2,0,7,1,1,패
NC 다이노스,7,2,0,9,0,1,승
한화 이글스,9,1,0,9,0,0,패
키움 히어로즈,11,1,1,6,0,1,승
두산 베어스,10,1,0,10,1,2,패
KIA 타이거즈,11,3,2,10,1,2,승
삼성 라이온즈,11,0,1,6,0,0,패
kt wiz,4,1,0,10,2,0,패
롯데 자이언츠,11,0,0,9,1,0,승
LG 트윈스,5,0,2,8,0,0,패
SK 와이번스,15,2,0,5,0,0,승
NC 다이노스,5,0,0,10,0,2,패
한화 이글스,11,0,1,8,1,0,승
키움 히어로즈,6,2,1,10,0,0,승
두산 베어스,5,0,0,6,2,0,패
KIA 타이거즈,4,0,0,9,1,0,승
키움 히어로즈,7,1,0,11,2,0,패
kt wiz,8,1,1,12,1,0,승
한화 이글스,8,0,0,7,2,0,패
LG 트윈스,13,0,1,8,1,0,패
삼성 라이온즈,9,1,0,5,0,1,승
롯데 자이언츠,10,0,0,9,2,1,승
NC 다이노스,11,0,3,10,1,1,패
SK 와이번스,7,1,0,9,1,0,패
두산 베어스,12,2,0,9,0,0,승
KIA 타이거즈,13,0,0,8,1,0,패
키움 히어로즈,9,1,1,6,0,0,승
kt wiz,9,1,0,8,2,1,패
한화 이글스,4,1,0,7,0,1,승
LG 트윈스,16,0,1,5,1,1,승
삼성 라이온즈,11,0,1,7,0,2,패
SK 와이번스,6,2,0,10,1,1,패
두산 베어스,8,1,0,9,0,0,승
KIA 타이거즈,6,1,0,8,1,0,패
키움 히어로즈,12,3,1,7,1,0,승
kt wiz,11,2,0,6,0,2,패
한화 이글스,10,0,0,5,0,0,승
LG 트윈스,16,2,0,6,2,0,승
삼성 라이온즈,5,2,3,8,1,0,패
롯데 자이언츠,11,0,0,10,2,0,승
NC 다이노스,6,0,0,12,1,1,패
한화 이글스,10,1,0,4,4,1,승
LG 트윈스,9,0,2,11,0,1,패
NC 다이노스,11,0,0,2,1,1,승
kt wiz,4,0,0,6,1,1,패
두산 베어스,10,0,1,6,0,0,승
롯데 자이언츠,5,1,0,7,1,0,패
SK 와이번스,5,0,2,8,0,0,패
KIA 타이거즈,10,1,1,2,1,0,승
삼성 라이온즈,13,0,0,5,0,0,승
키움 히어로즈,3,0,0,9,1,1,패
