team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text
한화 이글스,6,0,0,6,1,1,승
LG 트윈스,6,0,0,3,3,0,패
NC 다이노스,10,0,0,9,1,0,패
kt wiz,8,0,0,3,1,0,승
두산 베어스,7,0,0,6,1,1,패
롯데 자이언츠,14,3,0,8,1,1,승
SK 와이번스,4,1,0,1,1,1,패
KIA 타이거즈,6,0,0,4,0,0,승
삼성 라이온즈,10,1,1,5,2,1,패
키움 히어로즈,15,1,3,6,1,0,승
한화 이글스,7,1,2,7,2,1,패
LG 트윈스,12,2,3,5,1,0,승
NC 다이노스,11,1,0,6,1,1,패
kt wiz,25,5,1,2,0,1,승
두산 베어스,10,0,1,11,1,0,승
롯데 자이언츠,10,0,1,12,1,2,패
SK 와이번스,7,0,0,8,0,0,패
KIA 타이거즈,13,3,0,5,1,1,승
삼성 라이온즈,10,0,0,10,0,0,승
키움 히어로즈,12,1,1,6,1,0,패
kt wiz,4,1,1,6,0,0,패
KIA 타이거즈,14,2,0,6,2,1,승
롯데 자이언츠,11,2,0,6,1,5,패
삼성 라이온즈,12,1,0,5,1,0,승
NC 다이노스,7,0,0,8,0,0,패
LG 트윈스,15,0,1,8,0,0,승
두산 베어스,12,0,2,7,1,2,패
한화 이글스,11,3,1,10,1,0,승
