day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,location,기온(°C),강수량(mm),습도(%),,,,
4.1화,NC 다이노스,6,0,0,9,0,2,패,광주,19,0,33,,,,
4.1화,KIA 타이거즈,4,0,0,8,0,0,승,광주,19,0,33,,,,
4.1화,두산 베어스,3,0,3,4,0,0,패,서울,19.2,0,25,,,,
4.1화,키움 히어로즈,13,2,0,8,1,1,승,서울,19.2,0,25,,,,
4.1화,SK 와이번스,15,0,3,7,0,2,승,서울,19.2,0,25,,,,
4.1화,LG 트윈스,10,2,2,9,2,2,패,서울,19.2,0,25,,,,
4.1화,삼성 라이온즈,10,2,0,6,0,0,승,대전,21.4,0,25,,,,
4.1화,한화 이글스,9,1,1,7,1,0,패,대전,21.4,0,25,,,,
4.2수,NC 다이노스,12,1,5,1,2,1,승,광주,20.2,0,26,,,,
4.2수,KIA 타이거즈,9,1,2,8,0,0,패,광주,20.2,0,26,,,,
4.2수,두산 베어스,15,3,0,5,0,0,승,서울,18.7,0,21,,,,
4.2수,키움 히어로즈,10,2,0,3,1,2,패,서울,18.7,0,21,,,,
4.2수,SK 와이번스,8,0,0,7,0,3,패,서울,18.7,0,21,,,,
4.2수,LG 트윈스,11,0,4,3,0,0,승,서울,18.7,0,21,,,,
4.2수,삼성 라이온즈,10,1,2,2,1,2,패,대전,22.1,0,29,,,,
4.2수,한화 이글스,14,3,0,6,2,0,승,대전,22.1,0,29,,,,
4.3목,NC 다이노스,11,2,1,4,0,1,승,광주,11.8,0,65,,,,
4.3목,KIA 타이거즈,9,1,1,8,2,0,패,광주,11.8,0,65,,,,
4.3목,두산 베어스,6,0,2,8,0,1,패,서울,10.1,0,61,,,,
4.3목,키움 히어로즈,8,0,1,7,2,0,승,서울,10.1,0,61,,,,
4.3목,SK 와이번스,10,2,2,5,0,1,승,서울,10.1,0,61,,,,
4.3목,LG 트윈스,10,2,0,8,1,2,패,서울,10.1,0,61,,,,
4.4금,한화 이글스,7,1,0,8,0,4,패,인천,7.3,0,56,,,,
4.4금,SK 와이번스,14,2,1,5,2,1,승,인천,7.3,0,56,,,,
4.4금,KIA 타이거즈,12,0,4,9,0,0,승,서울,8.5,0,37,,,,
4.4금,두산 베어스,6,0,0,5,1,1,패,서울,8.5,0,37,,,,
4.4금,삼성 라이온즈,8,0,0,5,2,0,패,부산,11.2,0,46,,,,
4.4금,롯데 자이언츠,7,0,0,5,1,0,승,부산,11.2,0,46,,,,
4.4금,키움 히어로즈,4,0,2,10,1,0,패,창원,12.2,0,34,,,,
4.4금,NC 다이노스,8,2,1,5,0,0,승,창원,12.2,0,34,,,,
4.5토,한화 이글스,5,0,0,5,1,1,패,인천,6.7,0,69,,,,
4.5토,SK 와이번스,10,0,2,3,1,0,승,인천,6.7,0,69,,,,
4.5토,KIA 타이거즈,11,0,1,3,2,2,승,서울,6.5,0,71,,,,
4.5토,두산 베어스,13,0,0,7,2,2,패,서울,6.5,0,71,,,,
4.5토,삼성 라이온즈,11,1,0,6,0,0,패,부산,12.2,0,49,,,,
4.5토,롯데 자이언츠,9,1,0,5,1,0,승,부산,12.2,0,49,,,,
4.5토,키움 히어로즈,8,2,0,5,0,0,승,창원,12.8,0,22,,,,
4.5토,NC 다이노스,11,3,0,11,0,0,패,창원,12.8,0,22,,,,
4.6일,한화 이글스,3,0,0,3,2,4,패,인천,8.3,0,71,,,,
4.6일,SK 와이번스,9,1,0,5,0,0,승,인천,8.3,0,71,,,,
4.6일,KIA 타이거즈,6,0,1,4,2,0,패,서울,10.7,0,39,,,,
4.6일,두산 베어스,10,0,1,7,0,0,승,서울,10.7,0,39,,,,
4.6일,삼성 라이온즈,10,2,0,9,1,0,승,부산,11.7,0,46,,,,
4.6일,롯데 자이언츠,7,0,0,5,1,0,패,부산,11.7,0,46,,,,
4.6일,키움 히어로즈,10,2,1,5,2,0,패,창원,13,0,33,,,,
4.6일,NC 다이노스,7,1,0,4,1,0,승,창원,13,0,33,,,,
4.8화,한화 이글스,11,1,0,3,1,0,승,창원,16.7,0,20,,,,
4.8화,NC 다이노스,6,0,1,8,1,1,패,창원,16.7,0,20,,,,
4.8화,KIA 타이거즈,15,2,4,4,1,2,승,서울,17.2,0,27,,,,
4.8화,키움 히어로즈,13,2,2,8,3,1,패,서울,17.2,0,27,,,,
4.8화,LG 트윈스,11,0,1,11,3,3,무,부산,15.7,0,38,,,,
4.8화,롯데 자이언츠,8,0,1,17,1,0,무,부산,15.7,0,38,,,,
4.8화,SK 와이번스,7,0,0,2,1,0,패,서울,17.2,0,27,,,,
4.8화,두산 베어스,7,0,0,4,1,2,승,서울,17.2,0,27,,,,
4.9수,한화 이글스,8,0,1,9,2,1,패,창원,18.3,0,34,,,,
4.9수,NC 다이노스,9,1,3,5,0,1,승,창원,18.3,0,34,,,,
4.9수,KIA 타이거즈,13,0,3,9,1,1,패,서울,13.1,0,75,,,,
4.9수,키움 히어로즈,12,4,1,10,0,2,승,서울,13.1,0,75,,,,
4.9수,LG 트윈스,9,1,0,5,2,0,승,부산,15.5,0,63,,,,
4.9수,롯데 자이언츠,9,2,1,6,1,0,패,부산,15.5,0,63,,,,
4.9수,SK 와이번스,7,2,0,8,0,0,승,서울,13.1,0,75,,,,
4.9수,두산 베어스,9,2,1,9,2,0,패,서울,13.1,0,75,,,,
4.10목,한화 이글스,9,1,0,7,0,0,승,창원,15.5,0,52,,,,
4.10목,NC 다이노스,11,0,4,7,1,0,패,창원,15.5,0,52,,,,
