day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,game_location,기온(°C),강수량(mm),습도(%)
7.1일,KIA 타이거즈,9,0,3,8,1,0,승,대전,27.3,0,62
7.1일,한화 이글스,7,0,0,6,2,2,패,대전,27.3,0,62
7.1일,LG 트윈스,9,1,0,6,0,1,승,인천,23.7,0,83
7.1일,SK 와이번스,12,2,0,2,2,0,패,인천,23.7,0,83
7.1일,롯데 자이언츠,9,0,0,2,1,1,패,서울,24.9,0,67
7.1일,두산 베어스,12,0,1,3,1,0,승,서울,24.9,0,67
7.1일,키움 히어로즈,7,0,0,7,1,2,패,대구,28.6,0,46
7.1일,삼성 라이온즈,6,0,1,5,0,0,승,대구,28.6,0,46
7.3화,한화 이글스,4,0,1,14,0,0,패,서울,21,16.5,92
7.3화,키움 히어로즈,7,1,1,8,0,1,승,서울,21,16.5,92
7.3화,두산 베어스,11,0,0,8,0,0,승,광주,24.5,0,83
7.3화,KIA 타이거즈,9,0,0,5,1,1,패,광주,24.5,0,83
7.3화,SK 와이번스,11,0,0,5,0,0,패,부산,26.6,0,64
7.3화,롯데 자이언츠,10,1,0,2,0,0,승,부산,26.6,0,64
7.3화,삼성 라이온즈,15,0,1,9,1,0,승,서울,21,16.5,92
7.3화,LG 트윈스,11,0,2,12,1,0,패,서울,21,16.5,92
7.4수,한화 이글스,8,3,0,12,1,2,패,서울,24.9,0,76
7.4수,키움 히어로즈,11,1,3,6,0,0,승,서울,24.9,0,76
7.4수,두산 베어스,4,0,0,3,1,1,패,광주,25.2,0,81
7.4수,KIA 타이거즈,5,0,0,3,1,0,승,광주,25.2,0,81
7.4수,SK 와이번스,10,2,1,8,0,1,패,부산,26.2,0,69
7.4수,롯데 자이언츠,11,0,1,5,0,0,승,부산,26.2,0,69
7.4수,삼성 라이온즈,7,0,0,6,0,0,승,서울,24.9,0,76
7.4수,LG 트윈스,5,0,0,3,0,1,패,서울,24.9,0,76
7.7토,KIA 타이거즈,7,1,2,8,2,1,패,서울,29.2,0,47
7.7토,키움 히어로즈,16,1,3,1,0,0,승,서울,29.2,0,47
7.7토,두산 베어스,12,0,1,5,0,1,승,서울,29.2,0,47
7.7토,LG 트윈스,10,1,2,10,0,1,패,서울,29.2,0,47
7.7토,SK 와이번스,6,1,0,6,1,0,패,대전,28.6,0,56
7.7토,한화 이글스,7,1,0,2,1,0,승,대전,28.6,0,56
7.7토,삼성 라이온즈,5,0,0,5,0,1,패,부산,22.8,0,67
7.7토,롯데 자이언츠,11,0,0,5,1,0,승,부산,22.8,0,67
7.8일,KIA 타이거즈,6,0,1,4,0,0,승,서울,28.7,0,55
7.8일,키움 히어로즈,9,0,1,12,1,1,패,서울,28.7,0,55
7.8일,두산 베어스,9,1,0,5,1,0,승,서울,28.7,0,55
7.8일,LG 트윈스,7,0,0,5,1,0,패,서울,28.7,0,55
7.8일,SK 와이번스,2,0,0,10,0,0,패,대전,30.2,0,65
7.8일,한화 이글스,8,3,0,4,3,0,승,대전,30.2,0,65
7.8일,삼성 라이온즈,12,1,0,6,0,0,승,부산,23.7,0,69
7.8일,롯데 자이언츠,7,1,0,4,0,1,패,부산,23.7,0,69
7.10화,한화 이글스,8,1,0,8,1,0,패,서울,28,0,49
7.10화,두산 베어스,6,0,1,7,0,1,승,서울,28,0,49
7.10화,LG 트윈스,6,0,2,9,0,0,패,대구,27.3,0,49
7.10화,삼성 라이온즈,7,0,0,11,1,0,승,대구,27.3,0,49
7.11수,한화 이글스,10,3,0,5,1,0,승,서울,24.2,0,80
7.11수,두산 베어스,9,0,1,3,2,2,패,서울,24.2,0,80
7.11수,키움 히어로즈,10,2,0,9,1,0,승,인천,22.8,0,91
7.11수,SK 와이번스,9,0,1,8,0,0,패,인천,22.8,0,91
7.12목,한화 이글스,4,0,0,6,0,0,패,서울,27.3,0,62
7.12목,두산 베어스,15,0,3,4,3,0,승,서울,27.3,0,62
7.12목,LG 트윈스,9,0,1,4,1,0,패,대구,30.3,0,52
7.12목,삼성 라이온즈,7,2,0,8,1,1,승,대구,30.3,0,52
7.12목,롯데 자이언츠,7,0,0,6,1,1,패,광주,28.7,0,75
7.12목,KIA 타이거즈,9,0,2,5,0,1,승,광주,28.7,0,75
