day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,game_location,기온(°C),강수량(mm),습도(%)
9.1,KIA 타이거즈,17,4,0,5,0,0,승,대구,28.9,0,44
9.1,삼성 라이온즈,14,3,0,5,2,3,패,대구,28.9,0,44
9.1,kt wiz,2,0,0,6,0,0,패,서울,27.7,0,44
9.1,두산 베어스,7,0,0,5,2,0,승,서울,27.7,0,44
9.1,LG 트윈스,8,0,0,12,0,0,승,대전,29.8,0,43
9.1,한화 이글스,3,0,0,9,1,1,패,대전,29.8,0,43
9.1,NC 다이노스,9,0,1,6,3,1,승,부산,25.8,0,82
9.1,롯데 자이언츠,8,0,0,8,0,0,패,부산,25.8,0,82
9.1,SK 와이번스,8,1,0,5,2,2,패,서울,27.7,0,44
9.1,키움 히어로즈,9,0,0,8,2,0,승,서울,27.7,0,44
9.2,kt wiz,9,1,1,9,0,1,패,서울,25.8,0,62
9.2,두산 베어스,10,0,0,8,0,1,승,서울,25.8,0,62
9.2,LG 트윈스,11,1,0,12,1,4,패,대전,22.4,0,87
9.2,한화 이글스,8,2,0,2,0,1,승,대전,22.4,0,87
9.2,SK 와이번스,17,1,0,8,1,0,패,서울,25.8,0,62
9.2,키움 히어로즈,16,2,2,5,0,0,승,서울,25.8,0,62
9.3,한화 이글스,22,1,0,11,1,0,승,서울,27.9,0,59
9.3,키움 히어로즈,17,2,1,11,1,2,패,서울,27.9,0,59
9.3,LG 트윈스,8,0,0,5,2,0,패,수원,27.3,0,65
9.3,kt wiz,9,1,0,3,0,1,승,수원,27.3,0,65
9.3,롯데 자이언츠,8,1,1,13,0,0,승,광주,29.3,0,61
9.3,KIA 타이거즈,8,1,0,5,2,0,패,광주,29.3,0,61
9.3,SK 와이번스,11,2,1,10,0,1,승,창원,23.6,0,93
9.3,NC 다이노스,14,1,0,10,3,1,패,창원,23.6,0,93
9.3,삼성 라이온즈,11,0,0,6,0,0,승,서울,27.9,0,59
