day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,game_location,기온(°C),강수량(mm),습도(%)
6.1,KIA 타이거즈,9,0,2,3,1,0,승,서울,28.9,0,27
6.1,LG 트윈스,10,0,1,8,0,2,패,서울,28.9,0,27
6.1,kt wiz,4,0,0,6,1,0,패,부산,20.9,0,50
6.1,롯데 자이언츠,8,0,2,8,2,0,승,부산,20.9,0,50
6.1,두산 베어스,7,1,0,7,1,3,패,창원,24,0,47
6.1,NC 다이노스,6,0,0,4,0,0,승,창원,24,0,47
6.1,SK 와이번스,15,1,2,8,0,0,승,대전,26.6,0,44
6.1,한화 이글스,10,0,0,8,0,1,패,대전,26.6,0,44
6.1,삼성 라이온즈,8,2,1,5,1,1,패,서울,28.9,0,27
6.1,키움 히어로즈,11,1,0,5,1,0,승,서울,28.9,0,27
6.2,KIA 타이거즈,6,0,0,8,2,2,패,서울,27.6,0,29
6.2,LG 트윈스,11,0,3,6,1,0,승,서울,27.6,0,29
6.2,kt wiz,8,0,0,7,2,2,승,부산,20.8,0,63
6.2,롯데 자이언츠,8,0,2,11,1,1,패,부산,20.8,0,63
6.2,두산 베어스,5,0,0,9,1,0,패,창원,21.3,0,59
6.2,NC 다이노스,8,1,1,5,0,1,승,창원,21.3,0,59
6.2,SK 와이번스,4,1,0,7,1,1,패,대전,25.8,0,53
6.2,한화 이글스,10,1,1,3,2,0,승,대전,25.8,0,53
6.2,삼성 라이온즈,20,2,1,5,1,0,승,서울,27.6,0,29
6.2,키움 히어로즈,12,4,0,8,0,0,패,서울,27.6,0,29
6.3,한화 이글스,9,1,3,13,0,3,승,대구,28.4,0,27
6.3,삼성 라이온즈,11,0,6,10,1,1,패,대구,28.4,0,27
6.3,LG 트윈스,12,1,0,5,3,1,패,수원,25.2,0,39
6.3,kt wiz,9,0,0,5,1,1,승,수원,25.2,0,39
6.3,NC 다이노스,4,1,1,11,1,0,승,부산,22.4,0,52
6.3,롯데 자이언츠,8,0,0,6,1,0,패,부산,22.4,0,52
6.3,SK 와이번스,4,0,0,5,1,0,패,서울,24.3,0,33
6.3,두산 베어스,9,1,2,4,0,0,승,서울,24.3,0,33
6.3,키움 히어로즈,14,1,4,2,2,0,승,광주,25.6,0,50
6.3,KIA 타이거즈,5,1,1,7,0,0,패,광주,25.6,0,50
6.4,한화 이글스,12,1,0,9,0,2,승,대구,20.5,0,79
6.4,삼성 라이온즈,12,2,1,5,2,0,패,대구,20.5,0,79
6.4,LG 트윈스,19,1,1,5,0,0,승,수원,21.3,0,66
6.4,kt wiz,9,0,0,3,0,0,패,수원,21.3,0,66
6.4,SK 와이번스,9,3,0,8,1,1,패,서울,23.8,0,55
6.4,두산 베어스,9,0,1,5,0,0,승,서울,23.8,0,55
6.5,한화 이글스,10,0,1,5,1,0,승,대구,22.7,0,58
6.5,삼성 라이온즈,9,0,0,6,0,2,패,대구,22.7,0,58
6.5,LG 트윈스,12,0,0,7,0,1,패,수원,27.1,0,49
6.5,kt wiz,11,2,1,7,0,1,승,수원,27.1,0,49
6.5,NC 다이노스,17,3,0,8,0,0,승,부산,21.8,0,67
6.5,롯데 자이언츠,11,1,0,11,0,2,패,부산,21.8,0,67
6.5,SK 와이번스,7,0,0,3,1,3,패,서울,29.4,0,39
6.5,두산 베어스,9,1,1,5,0,0,승,서울,29.4,0,39
6.5,키움 히어로즈,8,1,1,4,1,1,승,광주,24.4,0,63
6.5,KIA 타이거즈,10,1,0,7,1,3,패,광주,24.4,0,63
6.7,KIA 타이거즈,7,1,0,8,2,0,패,대전,25.4,0,60
6.7,한화 이글스,8,2,0,6,1,0,승,대전,25.4,0,60
6.7,롯데 자이언츠,12,2,0,8,0,0,승,인천,21.5,0,88
6.7,SK 와이번스,9,2,0,8,1,1,패,인천,21.5,0,88
6.7,두산 베어스,13,1,0,6,1,0,승,수원,22.9,0,65
6.7,kt wiz,4,0,1,6,1,3,패,수원,22.9,0,65
6.7,삼성 라이온즈,10,1,0,2,3,0,승,서울,24.7,0,59
6.7,LG 트윈스,12,1,1,5,2,2,패,서울,24.7,0,59
6.7,키움 히어로즈,5,1,1,9,0,0,패,창원,21.8,0,81
6.7,NC 다이노스,7,3,0,4,0,0,승,창원,21.8,0,81
6.8,KIA 타이거즈,4,1,0,5,1,0,패,대전,24.9,0,63
6.8,한화 이글스,12,1,2,10,0,1,승,대전,24.9,0,63
6.8,롯데 자이언츠,7,1,1,6,1,0,승,인천,21.6,0,98
6.8,SK 와이번스,6,0,0,10,2,0,패,인천,21.6,0,98
6.8,두산 베어스,8,0,0,3,0,1,패,수원,23.4,0,61
6.8,kt wiz,11,1,1,9,1,0,승,수원,23.4,0,61
6.8,삼성 라이온즈,16,1,0,7,1,1,패,서울,25.3,0,56
6.8,LG 트윈스,13,2,4,9,2,0,승,서울,25.3,0,56
6.8,키움 히어로즈,11,0,0,11,0,0,패,창원,22.8,0,82
6.8,NC 다이노스,8,3,0,6,0,0,승,창원,22.8,0,82
6.9,KIA 타이거즈,16,1,1,8,0,2,승,대전,29.5,0,44
6.9,한화 이글스,5,1,0,10,2,3,패,대전,29.5,0,44
6.9,롯데 자이언츠,7,1,4,6,2,0,패,인천,26.1,0,67
6.9,SK 와이번스,8,1,0,7,1,0,승,인천,26.1,0,67
6.9,두산 베어스,11,0,1,5,0,0,승,수원,26.3,0,53
6.9,kt wiz,7,0,1,4,2,2,패,수원,26.3,0,53
6.9,삼성 라이온즈,9,0,0,5,1,0,패,서울,28.5,0,50
6.9,LG 트윈스,13,3,2,9,0,1,승,서울,28.5,0,50
6.9,키움 히어로즈,11,0,0,11,2,2,패,창원,22.7,0,82
6.9,NC 다이노스,15,1,0,8,1,1,승,창원,22.7,0,82
6.1,kt wiz,17,0,7,11,0,1,승,서울,26.6,0,55
6.1,키움 히어로즈,8,0,2,10,1,1,패,서울,26.6,0,55
6.1,LG 트윈스,7,0,0,5,0,0,패,대전,29.1,0,55
