day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text
4.1화,NC 다이노스,6,0,0,9,0,2,패
4.1화,KIA 타이거즈,4,0,0,8,0,0,승
4.1화,두산 베어스,3,0,3,4,0,0,패
4.1화,키움 히어로즈,13,2,0,8,1,1,승
4.1화,SK 와이번스,15,0,3,7,0,2,승
4.1화,LG 트윈스,10,2,2,9,2,2,패
4.1화,삼성 라이온즈,10,2,0,6,0,0,승
4.1화,한화 이글스,9,1,1,7,1,0,패
4.2수,NC 다이노스,12,1,5,1,2,1,승
4.2수,KIA 타이거즈,9,1,2,8,0,0,패
4.2수,두산 베어스,15,3,0,5,0,0,승
4.2수,키움 히어로즈,10,2,0,3,1,2,패
4.2수,SK 와이번스,8,0,0,7,0,3,패
4.2수,LG 트윈스,11,0,4,3,0,0,승
4.2수,삼성 라이온즈,10,1,2,2,1,2,패
4.2수,한화 이글스,14,3,0,6,2,0,승
4.3목,NC 다이노스,11,2,1,4,0,1,승
4.3목,KIA 타이거즈,9,1,1,8,2,0,패
4.3목,두산 베어스,6,0,2,8,0,1,패
4.3목,키움 히어로즈,8,0,1,7,2,0,승
4.3목,SK 와이번스,10,2,2,5,0,1,승
4.3목,LG 트윈스,10,2,0,8,1,2,패
4.4금,한화 이글스,7,1,0,8,0,4,패
4.4금,SK 와이번스,14,2,1,5,2,1,승
4.4금,KIA 타이거즈,12,0,4,9,0,0,승
4.4금,두산 베어스,6,0,0,5,1,1,패
4.4금,삼성 라이온즈,8,0,0,5,2,0,패
4.4금,롯데 자이언츠,7,0,0,5,1,0,승
4.4금,키움 히어로즈,4,0,2,10,1,0,패
4.4금,NC 다이노스,8,2,1,5,0,0,승
4.5토,한화 이글스,5,0,0,5,1,1,패
4.5토,SK 와이번스,10,0,2,3,1,0,승
4.5토,KIA 타이거즈,11,0,1,3,2,2,승
4.5토,두산 베어스,13,0,0,7,2,2,패
4.5토,삼성 라이온즈,11,1,0,6,0,0,패
4.5토,롯데 자이언츠,9,1,0,5,1,0,승
4.5토,키움 히어로즈,8,2,0,5,0,0,승
4.5토,NC 다이노스,11,3,0,11,0,0,패
4.6일,한화 이글스,3,0,0,3,2,4,패
