day_text,location,day,times_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,지점,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),현지기압(hPa),지면온도(°C)
2013-04-02 19:00,광주,4.2화,18:30,KIA 타이거즈,8,0,2,5,1,1,승,156,5.2,,1.7,340.0,73.0,1006.2,7.0
2013-04-02 19:00,광주,4.2화,18:30,한화 이글스,11,0,1,8,1,2,패,156,5.2,,1.7,340.0,73.0,1006.2,7.0
2013-04-02 19:00,서울,4.2화,18:30,LG 트윈스,6,0,0,2,1,0,패,108,7.5,,2.7,270.0,78.0,1002.9,7.4
2013-04-02 19:00,서울,4.2화,18:30,키움 히어로즈,4,1,0,4,3,1,승,108,7.5,,2.7,270.0,78.0,1002.9,7.4
2013-04-02 19:00,부산,4.2화,18:30,롯데 자이언츠,11,1,3,5,0,2,승,159,13.3,,5.0,360.0,40.0,999.7,13.2
2013-04-02 19:00,부산,4.2화,18:30,NC 다이노스,4,0,2,7,2,2,패,159,13.3,,5.0,360.0,40.0,999.7,13.2
2013-04-02 19:00,인천,4.2화,18:30,SK 와이번스,4,1,0,6,1,0,패,112,7.7,,4.3,340.0,84.0,1005.1,7.0
2013-04-02 19:00,인천,4.2화,18:30,두산 베어스,13,0,1,4,1,1,승,112,7.7,,4.3,340.0,84.0,1005.1,7.0
2013-04-03 19:00,광주,4.3수,18:30,KIA 타이거즈,16,0,1,6,3,1,승,156,12.2,,1.4,290.0,29.0,1007.5,12.6
2013-04-03 19:00,광주,4.3수,18:30,한화 이글스,5,0,0,3,3,0,패,156,12.2,,1.4,290.0,29.0,1007.5,12.6
2013-04-03 19:00,서울,4.3수,18:30,LG 트윈스,16,1,4,5,1,1,승,108,9.2,,4.0,290.0,43.0,1005.4,8.0
2013-04-03 19:00,서울,4.3수,18:30,키움 히어로즈,12,3,0,11,2,1,패,108,9.2,,4.0,290.0,43.0,1005.4,8.0
2013-04-03 19:00,부산,4.3수,18:30,롯데 자이언츠,6,0,1,8,0,2,승,159,14.3,,6.3,250.0,45.0,1004.4,13.5
2013-04-03 19:00,부산,4.3수,18:30,NC 다이노스,8,0,0,4,1,3,패,159,14.3,,6.3,250.0,45.0,1004.4,13.5
2013-04-03 19:00,인천,4.3수,18:30,SK 와이번스,8,0,0,4,0,2,승,112,7.0,,3.5,250.0,80.0,1007.5,7.1
2013-04-03 19:00,인천,4.3수,18:30,두산 베어스,3,0,1,7,1,1,패,112,7.0,,3.5,250.0,80.0,1007.5,7.1
2013-04-04 19:00,광주,4.4목,18:30,KIA 타이거즈,17,0,3,16,0,0,승,156,17.2,,3.4,200.0,31.0,1006.1,15.4
2013-04-04 19:00,광주,4.4목,18:30,한화 이글스,10,0,0,10,1,1,패,156,17.2,,3.4,200.0,31.0,1006.1,15.4
2013-04-04 19:00,서울,4.4목,18:30,LG 트윈스,6,0,1,3,1,1,패,108,16.5,,3.0,290.0,31.0,1004.5,12.3
2013-04-04 19:00,서울,4.4목,18:30,키움 히어로즈,7,1,2,6,0,1,승,108,16.5,,3.0,290.0,31.0,1004.5,12.3
2013-04-04 19:00,부산,4.4목,18:30,롯데 자이언츠,8,0,3,3,0,0,승,159,12.5,,3.0,90.0,61.0,1009.1,12.3
2013-04-04 19:00,부산,4.4목,18:30,NC 다이노스,6,0,1,9,1,3,패,159,12.5,,3.0,90.0,61.0,1009.1,12.3
2013-04-04 19:00,인천,4.4목,18:30,SK 와이번스,11,0,2,6,2,1,승,112,13.8,,1.8,20.0,52.0,1006.4,10.9
2013-04-04 19:00,인천,4.4목,18:30,두산 베어스,7,2,0,4,1,0,패,112,13.8,,1.8,20.0,52.0,1006.4,10.9
2013-04-05 19:00,광주,4.5금,18:30,KIA 타이거즈,12,0,2,6,2,1,승,156,17.5,,2.5,180.0,64.0,1002.1,17.0
2013-04-05 19:00,광주,4.5금,18:30,롯데 자이언츠,10,0,2,10,1,1,패,156,17.5,,2.5,180.0,64.0,1002.1,17.0
2013-04-05 19:00,창원,4.5금,18:30,NC 다이노스,11,3,1,5,0,0,패,155,13.8,,1.6,140.0,68.0,1007.6,13.2
2013-04-05 19:00,창원,4.5금,18:30,삼성 라이온즈,14,1,0,3,1,0,승,155,13.8,,1.6,140.0,68.0,1007.6,13.2
2013-04-05 19:00,서울,4.5금,18:30,두산 베어스,6,1,1,5,1,2,패,108,15.6,,4.6,320.0,36.0,1000.0,13.1
2013-04-05 19:00,서울,4.5금,18:30,LG 트윈스,13,0,2,8,0,0,승,108,15.6,,4.6,320.0,36.0,1000.0,13.1
2013-04-05 19:00,서울,4.5금,18:30,키움 히어로즈,8,0,0,7,2,1,승,108,15.6,,4.6,320.0,36.0,1000.0,13.1
2013-04-05 19:00,서울,4.5금,18:30,한화 이글스,10,0,0,7,0,0,패,108,15.6,,4.6,320.0,36.0,1000.0,13.1
2013-04-07 14:00,광주,4.7일,14:00,KIA 타이거즈,7,0,0,8,0,0,승,156,6.8,,4.1,320.0,50.0,1001.5,20.5
2013-04-07 14:00,광주,4.7일,14:00,롯데 자이언츠,10,1,0,4,2,0,패,156,6.8,,4.1,320.0,50.0,1001.5,20.5
2013-04-07 14:00,창원,4.7일,14:00,NC 다이노스,7,0,0,8,1,0,패,155,10.8,,3.6,320.0,40.0,1000.7,22.9
2013-04-07 14:00,창원,4.7일,14:00,삼성 라이온즈,7,0,2,5,0,0,승,155,10.8,,3.6,320.0,40.0,1000.7,22.9
2013-04-07 14:00,서울,4.7일,14:00,두산 베어스,12,0,3,5,2,2,승,108,8.6,,4.5,270.0,36.0,995.9,22.1
2013-04-07 14:00,서울,4.7일,14:00,LG 트윈스,11,0,1,9,1,4,패,108,8.6,,4.5,270.0,36.0,995.9,22.1
2013-04-07 14:00,서울,4.7일,14:00,키움 히어로즈,10,0,1,4,0,0,승,108,8.6,,4.5,270.0,36.0,995.9,22.1
2013-04-07 14:00,서울,4.7일,14:00,한화 이글스,3,0,0,10,2,1,패,108,8.6,,4.5,270.0,36.0,995.9,22.1
2013-04-09 19:00,대전,4.9화,18:30,한화 이글스,8,1,0,8,2,0,패,133,7.1,,4.0,290.0,46.0,1007.4,7.9
2013-04-09 19:00,대전,4.9화,18:30,삼성 라이온즈,13,0,1,1,0,1,승,133,7.1,,4.0,290.0,46.0,1007.4,7.9
2013-04-09 19:00,창원,4.9화,18:30,NC 다이노스,10,0,5,5,0,4,패,155,10.5,,3.9,290.0,14.0,1010.0,6.3
2013-04-09 19:00,창원,4.9화,18:30,LG 트윈스,12,0,0,5,1,2,승,155,10.5,,3.9,290.0,14.0,1010.0,6.3
2013-04-09 19:00,서울,4.9화,18:30,두산 베어스,17,4,1,6,1,0,승,108,5.8,,5.6,250.0,56.0,1003.6,5.4
2013-04-09 19:00,서울,4.9화,18:30,KIA 타이거즈,8,1,2,8,0,1,패,108,5.8,,5.6,250.0,56.0,1003.6,5.4
2013-04-09 19:00,서울,4.9화,18:30,키움 히어로즈,6,0,0,11,1,0,패,108,5.8,,5.6,250.0,56.0,1003.6,5.4
2013-04-09 19:00,서울,4.9화,18:30,SK 와이번스,7,1,0,8,0,0,승,108,5.8,,5.6,250.0,56.0,1003.6,5.4
2013-04-10 19:00,대전,4.10수,18:30,한화 이글스,6,0,1,10,0,0,패,133,7.3,,2.1,290.0,37.0,1008.5,6.8
2013-04-10 19:00,대전,4.10수,18:30,삼성 라이온즈,5,2,2,10,0,0,승,133,7.3,,2.1,290.0,37.0,1008.5,6.8
2013-04-10 19:00,창원,4.10수,18:30,NC 다이노스,9,0,1,7,0,1,패,155,8.2,,2.3,290.0,30.0,1012.3,6.0
2013-04-10 19:00,창원,4.10수,18:30,LG 트윈스,7,0,2,8,0,0,승,155,8.2,,2.3,290.0,30.0,1012.3,6.0
2013-04-10 19:00,서울,4.10수,18:30,두산 베어스,9,1,3,9,2,2,패,108,6.4,,5.4,230.0,38.0,1005.3,3.9
2013-04-10 19:00,서울,4.10수,18:30,KIA 타이거즈,9,0,0,10,1,0,승,108,6.4,,5.4,230.0,38.0,1005.3,3.9
2013-04-10 19:00,서울,4.10수,18:30,키움 히어로즈,2,0,0,8,1,0,패,108,6.4,,5.4,230.0,38.0,1005.3,3.9
2013-04-10 19:00,서울,4.10수,18:30,SK 와이번스,9,2,1,3,0,0,승,108,6.4,,5.4,230.0,38.0,1005.3,3.9
2013-04-11 19:00,대전,4.11목,18:30,한화 이글스,8,0,1,12,0,1,패,133,7.9,,3.8,320.0,29.0,1008.6,6.0
2013-04-11 19:00,대전,4.11목,18:30,삼성 라이온즈,15,0,0,5,0,3,승,133,7.9,,3.8,320.0,29.0,1008.6,6.0
2013-04-11 19:00,창원,4.11목,18:30,NC 다이노스,12,0,2,5,1,0,승,155,10.9,,1.9,270.0,19.0,1011.0,7.0
2013-04-11 19:00,창원,4.11목,18:30,LG 트윈스,9,0,0,3,1,0,패,155,10.9,,1.9,270.0,19.0,1011.0,7.0
2013-04-11 19:00,서울,4.11목,18:30,두산 베어스,13,1,1,6,2,0,승,108,6.0,,5.6,270.0,43.0,1005.2,4.8
2013-04-11 19:00,서울,4.11목,18:30,KIA 타이거즈,2,0,2,11,0,0,패,108,6.0,,5.6,270.0,43.0,1005.2,4.8
2013-04-11 19:00,서울,4.11목,18:30,키움 히어로즈,7,0,1,9,0,0,승,108,6.0,,5.6,270.0,43.0,1005.2,4.8
2013-04-11 19:00,서울,4.11목,18:30,SK 와이번스,7,0,0,9,0,3,패,108,6.0,,5.6,270.0,43.0,1005.2,4.8
2013-04-12 19:00,서울,4.12금,18:30,LG 트윈스,12,1,1,6,0,0,승,108,8.3,,3.6,270.0,32.0,1006.5,7.9
2013-04-12 19:00,서울,4.12금,18:30,한화 이글스,5,0,0,5,2,0,패,108,8.3,,3.6,270.0,32.0,1006.5,7.9
2013-04-12 19:00,부산,4.12금,18:30,롯데 자이언츠,7,0,2,14,0,0,무,159,11.0,,3.9,250.0,44.0,1007.9,10.6
2013-04-12 19:00,부산,4.12금,18:30,두산 베어스,10,0,1,11,0,0,무,159,11.0,,3.9,250.0,44.0,1007.9,10.6
2013-04-12 19:00,인천,4.12금,18:30,SK 와이번스,10,1,1,6,1,1,승,112,6.6,,3.9,230.0,69.0,1008.6,6.1
2013-04-12 19:00,인천,4.12금,18:30,NC 다이노스,8,0,0,6,1,1,패,112,6.6,,3.9,230.0,69.0,1008.6,6.1
2013-04-12 19:00,대구,4.12금,18:30,삼성 라이온즈,6,0,2,9,1,0,패,143,11.4,,4.0,290.0,25.0,1009.6,11.5
2013-04-12 19:00,대구,4.12금,18:30,키움 히어로즈,5,1,2,5,0,1,승,143,11.4,,4.0,290.0,25.0,1009.6,11.5
2013-04-13 17:00,서울,4.13토,17:00,LG 트윈스,11,1,3,4,0,0,승,108,16.8,,5.6,230.0,20.0,996.6,18.0
2013-04-13 17:00,서울,4.13토,17:00,한화 이글스,9,0,1,7,1,1,패,108,16.8,,5.6,230.0,20.0,996.6,18.0
