day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,location,temp,rain,humidity,,,행 레이블,평균 : temp
6.27,삼성 라이온즈,6,0,1,5,1,0,0,대구,20.9,0,72,,,,
6.28,삼성 라이온즈,7,0,1,7,0,1,1,대구,25.4,0,57,,,,
6.29,삼성 라이온즈,8,1,0,9,0,0,1,대구,28.1,0,49,,,,
7.1일,삼성 라이온즈,6,0,1,5,0,0,1,대구,28.6,0,46,,,,
7.3화,삼성 라이온즈,15,0,1,9,1,0,1,서울,21,16.5,92,,,,
7.4수,삼성 라이온즈,7,0,0,6,0,0,1,서울,24.9,0,76,,,,
7.7토,삼성 라이온즈,5,0,0,5,0,1,0,부산,22.8,0,67,,,,
7.8일,삼성 라이온즈,12,1,0,6,0,0,1,부산,23.7,0,69,,,,
7.10화,삼성 라이온즈,7,0,0,11,1,0,1,대구,27.3,0,49,,,,
7.12목,삼성 라이온즈,7,2,0,8,1,1,1,대구,30.3,0,52,,,,
7.15일,삼성 라이온즈,13,4,0,5,0,2,1,대구,27.8,0,76,,,,
7.18수,삼성 라이온즈,16,2,0,6,0,1,1,대전,28.8,0,78,,,,
7.19목,삼성 라이온즈,15,0,2,10,0,0,1,대전,26.9,0,82,,,,
7.24화,삼성 라이온즈,10,1,2,5,0,1,0,대구,33.9,0,45,,,,
7.25수,삼성 라이온즈,9,2,1,2,1,0,1,대구,34.7,0,44,,,,
7.26목,삼성 라이온즈,12,0,1,5,1,0,1,대구,34.3,0,45,,,,
7.27금,삼성 라이온즈,11,0,3,4,0,1,1,서울,30.1,0,59,,,,
7.28토,삼성 라이온즈,6,2,3,10,1,0,1,서울,31.4,0,55,,,,
7.29일,삼성 라이온즈,9,4,0,6,0,0,1,서울,31.7,0,57,,,,
7.31화,삼성 라이온즈,6,1,2,2,1,0,0,대구,36.3,0,31,,,,
8.1,삼성 라이온즈,6,0,0,4,2,2,0,대구,31.4,0,0,,,,
8.2,삼성 라이온즈,7,0,0,7,0,0,0,대구,32.5,0,0,,,,
8.3,삼성 라이온즈,10,0,2,7,0,0,0,부산,30.6,0,0,,,,
8.4,삼성 라이온즈,11,3,0,6,1,1,1,부산,30.9,0,0,,,,
8.5,삼성 라이온즈,7,0,0,4,2,0,0,부산,31.8,0,0,,,,
8.7,삼성 라이온즈,8,0,1,9,1,0,0,인천,27.9,7.7,7.7,,,,
8.8,삼성 라이온즈,12,3,2,7,1,0,1,인천,31.2,0,0,,,,
8.9,삼성 라이온즈,5,0,0,6,1,0,0,인천,29.1,0,0,,,,
8.1,삼성 라이온즈,4,0,0,8,0,0,0,대구,25.8,2.5,2.5,,,,
8.11,삼성 라이온즈,11,2,1,3,1,0,1,대구,32.5,0,0,,,,
8.12,삼성 라이온즈,8,0,0,3,1,2,1,대구,25.9,10.5,10.5,,,,
8.14,삼성 라이온즈,10,1,1,5,0,0,1,대구,26.6,0,0,,,,
8.15,삼성 라이온즈,4,0,1,9,0,0,0,대구,31.8,0,0,,,,
8.17,삼성 라이온즈,7,0,0,1,0,0,1,서울,29.3,0,0,,,,
8.18,삼성 라이온즈,10,1,1,2,3,0,1,서울,27.6,0,0,,,,
8.19,삼성 라이온즈,20,2,0,6,1,5,1,서울,28.5,0,0,,,,
8.21,삼성 라이온즈,5,1,0,10,0,1,0,대구,30.6,0,0,,,,
8.24,삼성 라이온즈,12,0,0,5,0,0,1,서울,24.9,0,0,,,,
8.25,삼성 라이온즈,13,0,1,7,1,1,1,서울,28.2,0,0,,,,
8.26,삼성 라이온즈,18,0,0,5,1,0,1,서울,31.6,0,0,,,,
8.29,삼성 라이온즈,6,1,0,7,2,0,1,광주,26.8,0.1,0.1,,,,
8.31,삼성 라이온즈,9,0,1,3,3,0,0,대구,26,0,0,,,,
9.1토,삼성 라이온즈,10,2,1,4,1,1,1,대구,26.8,0,57,,,,
9.2일,삼성 라이온즈,8,2,2,8,3,0,1,대구,28.7,0,44,,,,
9.4화,삼성 라이온즈,12,0,0,7,1,3,0,대구,28.3,0,65,,,,
9.5수,삼성 라이온즈,4,0,1,9,0,0,1,대구,28.4,0,50,,,,
9.8토,삼성 라이온즈,7,1,2,15,0,1,0,대구,26.9,0,60,,,,
9.10월,삼성 라이온즈,13,1,2,8,1,1,1,대구,22,0,72,,,,
9.11화,삼성 라이온즈,6,0,1,9,1,0,0,대전,24.8,0,56,,,,
9.12수,삼성 라이온즈,6,0,1,12,1,0,0,대전,24.1,0,80,,,,
