day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,location,temp,rain,humidity,,,행 레이블,평균 : H_text,평균 : HR_text,평균 : S_text,평균 : ST_text,평균 : DU_text,평균 : ER_text
6.19,LG 트윈스,5,0,0,6,2,0,0,대전,29.6,0,51,,,,,,,,,
6.2,LG 트윈스,7,1,2,6,0,1,0,대전,28.1,0,44,,,,,,,,,
6.21,LG 트윈스,14,1,1,6,0,0,1,대전,31.2,0,39,,,,,,,,,
6.22,LG 트윈스,16,0,2,7,0,1,0,서울,25.9,0,51,,,,,,,,,
6.23,LG 트윈스,11,0,0,4,3,1,0,서울,28.9,0,47,,,,,,,,,
6.24,LG 트윈스,3,0,0,8,0,3,0,서울,31.4,0,37,,,,,,,,,
6.26,LG 트윈스,10,0,1,5,0,1,0,서울,27.3,0,37,,,,,,,,,
6.27,LG 트윈스,6,0,4,10,0,0,0,서울,28,0,41,,,,,,,,,
6.28,LG 트윈스,14,1,2,4,1,0,0,서울,27.4,0,46,,,,,,,,,
6.3,LG 트윈스,11,2,3,7,0,1,1,인천,20.4,0,100,,,,,,,,,
7.1일,LG 트윈스,9,1,0,6,0,1,1,인천,23.7,0,83,,,,,,,,,
7.3화,LG 트윈스,11,0,2,12,1,0,0,서울,21,16.5,92,,,,,,,,,
7.4수,LG 트윈스,5,0,0,3,0,1,0,서울,24.9,0,76,,,,,,,,,
7.7토,LG 트윈스,10,1,2,10,0,1,0,서울,29.2,0,47,,,,,,,,,
7.8일,LG 트윈스,7,0,0,5,1,0,0,서울,28.7,0,55,,,,,,,,,
7.10화,LG 트윈스,6,0,2,9,0,0,0,대구,27.3,0,49,,,,,,,,,
7.12목,LG 트윈스,9,0,1,4,1,0,0,대구,30.3,0,52,,,,,,,,,
7.13금,LG 트윈스,10,1,1,6,3,1,0,서울,28.6,0,65,,,,,,,,,
7.17화,LG 트윈스,6,0,0,3,0,0,1,서울,27.9,0,63,,,,,,,,,
7.18수,LG 트윈스,13,2,1,5,0,1,1,서울,27.6,0,81,,,,,,,,,
7.19목,LG 트윈스,6,0,0,7,1,1,0,서울,23.4,0,85,,,,,,,,,
7.24화,LG 트윈스,13,0,1,1,3,1,0,서울,29.5,0,66,,,,,,,,,
7.25수,LG 트윈스,7,0,0,2,3,0,0,서울,30.4,0,56,,,,,,,,,
7.26목,LG 트윈스,7,0,1,5,0,1,1,서울,30.6,0,55,,,,,,,,,
7.27금,LG 트윈스,10,1,2,4,0,0,1,인천,29,0,80,,,,,,,,,
7.28토,LG 트윈스,3,0,1,8,0,0,0,인천,29.4,0,84,,,,,,,,,
7.31화,LG 트윈스,11,1,1,5,1,0,1,서울,30.4,0,59,,,,,,,,,
8.1,LG 트윈스,11,0,0,3,3,0,0,서울,34.4,0,0,,,,,,,,,
8.2,LG 트윈스,3,0,0,6,0,1,0,서울,34.6,0,0,,,,,,,,,
8.3,LG 트윈스,15,1,4,6,2,0,1,서울,34.4,0,0,,,,,,,,,
8.4,LG 트윈스,6,0,1,8,2,1,0,서울,35.5,0,0,,,,,,,,,
8.5,LG 트윈스,11,0,1,4,1,3,0,서울,34.7,0,0,,,,,,,,,
8.7,LG 트윈스,9,0,4,4,1,1,1,서울,34.2,0,0,,,,,,,,,
8.8,LG 트윈스,13,2,0,4,2,1,0,서울,32.3,0,0,,,,,,,,,
8.9,LG 트윈스,7,0,0,12,0,1,0,서울,31,0,0,,,,,,,,,
8.1,LG 트윈스,11,1,0,4,0,1,1,대구,25.8,2.5,2.5,,,,,,,,,
8.11,LG 트윈스,5,1,0,7,0,0,0,대구,32.5,0,0,,,,,,,,,
8.12,LG 트윈스,12,0,1,9,0,1,0,대구,25.9,10.5,10.5,,,,,,,,,
8.16,LG 트윈스,17,1,1,10,1,0,1,서울,28.5,0,0,,,,,,,,,
8.17,LG 트윈스,11,0,1,8,1,0,1,대전,32.3,0,0,,,,,,,,,
8.18,LG 트윈스,10,0,2,4,0,0,1,대전,29.7,0,0,,,,,,,,,
8.19,LG 트윈스,10,2,0,3,2,0,0,대전,30.5,0,0,,,,,,,,,
8.21,LG 트윈스,12,1,0,5,2,0,1,광주,28.6,0,0,,,,,,,,,
8.22,LG 트윈스,5,1,2,7,0,1,0,광주,25.2,0,0,,,,,,,,,
8.23,LG 트윈스,6,0,0,9,1,0,0,광주,23.9,0,0,,,,,,,,,
8.24,LG 트윈스,10,0,1,5,0,2,0,서울,24.9,0,0,,,,,,,,,
8.25,LG 트윈스,8,0,0,11,0,3,0,서울,28.2,0,0,,,,,,,,,
8.26,LG 트윈스,7,0,0,6,2,0,0,서울,31.6,0,0,,,,,,,,,
8.29,LG 트윈스,9,0,0,5,2,0,1,서울,27.8,0,0,,,,,,,,,
9.1토,LG 트윈스,11,1,1,5,1,2,1,부산,24.1,0,67,,,,,,,,,
9.2일,LG 트윈스,6,0,0,12,0,0,0,부산,25.5,0,69,,,,,,,,,
9.4화,LG 트윈스,10,0,3,7,0,0,1,대구,28.3,0,65,,,,,,,,,
9.5수,LG 트윈스,7,0,0,8,1,0,0,대구,28.4,0,50,,,,,,,,,
9.8토,LG 트윈스,14,0,3,6,1,1,1,서울,20.5,0,67,,,,,,,,,
