day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,location,temp,rain,humidity,,,행 레이블,평균 : H_text,평균 : HR_text,평균 : S_text,평균 : ST_text,평균 : DU_text,평균 : ER_text
6.21일,kt wiz,5,0,0,11,0,0,0,광주,24.7,0,67,,,,,,,,,
6.23화,kt wiz,11,2,0,4,1,1,1,수원,27.5,0,55,,,,,,,,,
6.24수,kt wiz,8,0,0,11,2,0,0,수원,26.7,0,53,,,,,,,,,
6.25목,kt wiz,12,3,0,17,1,1,0,수원,24.9,0,68,,,,,,,,,
6.26금,kt wiz,5,1,0,2,1,0,0,대구,24,0,74,,,,,,,,,
6.27토,kt wiz,11,0,1,7,0,2,0,대구,22.4,0,67,,,,,,,,,
6.28일,kt wiz,13,2,6,10,0,0,1,대구,24.2,0,65,,,,,,,,,
7.1수,kt wiz,11,1,0,10,1,0,1,인천,23.2,0,92,,,,,,,,,
7.2목,kt wiz,8,1,1,6,1,1,0,인천,23.5,0,99,,,,,,,,,
7.3금,kt wiz,12,1,0,7,0,1,1,수원,24.8,0,56,,,,,,,,,
7.4토,kt wiz,15,2,2,7,0,0,1,수원,27.7,0,43,,,,,,,,,
7.5일,kt wiz,14,1,1,5,0,0,1,수원,25.4,0,59,,,,,,,,,
7.9목,kt wiz,8,0,1,9,1,0,0,창원,25.1,0,78,,,,,,,,,
7.10금,kt wiz,18,3,2,11,0,0,1,수원,32.7,0,52,,,,,,,,,
7.11토,kt wiz,13,1,0,4,1,0,1,수원,32,0,57,,,,,,,,,
7.14화,kt wiz,14,1,2,9,1,0,1,서울,29.9,0,56,,,,,,,,,
7.15수,kt wiz,8,0,2,4,1,3,0,서울,32.9,0,39,,,,,,,,,
7.16목,kt wiz,6,0,1,4,2,0,0,서울,27.9,0,41,,,,,,,,,
7.21화,kt wiz,9,1,0,5,2,0,0,수원,29.2,0,74,,,,,,,,,
7.22수,kt wiz,8,1,1,10,1,1,1,수원,28,0,74,,,,,,,,,
7.26일,kt wiz,7,0,0,8,1,4,0,서울,27.7,0,75,,,,,,,,,
7.28화,kt wiz,5,1,2,11,1,0,0,서울,29.8,0,63,,,,,,,,,
7.29수,kt wiz,7,1,0,8,0,0,0,서울,28.8,0,77,,,,,,,,,
7.30목,kt wiz,12,2,0,7,2,2,0,서울,31.5,0,65,,,,,,,,,
7.31금,kt wiz,6,0,0,5,1,2,0,수원,27.7,0,83,,,,,,,,,
8.1토,kt wiz,23,4,0,3,1,1,1,수원,30.3,0,70,,,,,,,,,
8.2일,kt wiz,20,3,0,9,4,0,1,수원,28.6,0,89,,,,,,,,,
8.4화,kt wiz,8,1,1,10,0,1,0,수원,29.1,0,75,,,,,,,,,
8.5수,kt wiz,10,1,0,2,1,2,0,수원,31.4,0,69,,,,,,,,,
8.6목,kt wiz,12,1,1,7,1,1,1,광주,33.7,0,54,,,,,,,,,
8.7금,kt wiz,7,1,1,5,0,2,0,광주,31.3,0,67,,,,,,,,,
8.8토,kt wiz,12,2,0,12,0,0,0,인천,27.2,0,98,,,,,,,,,
8.9일,kt wiz,14,3,1,10,1,0,1,인천,27.5,0,97,,,,,,,,,
8.11화,kt wiz,3,0,0,7,2,0,0,수원,28.5,0,69,,,,,,,,,
8.12수,kt wiz,8,2,0,4,0,1,0,수원,29.7,0,66,,,,,,,,,
8.13목,kt wiz,8,1,0,7,1,1,0,수원,27.9,1.3,69,,,,,,,,,
8.14금,kt wiz,9,1,1,6,1,0,1,수원,28.6,0,64,,,,,,,,,
8.15토,kt wiz,9,1,0,9,3,0,0,창원,27.6,0,71,,,,,,,,,
8.16일,kt wiz,7,2,0,6,2,0,1,창원,25.6,0,83,,,,,,,,,
8.18화,kt wiz,16,2,2,4,2,0,1,수원,30.6,0,54,,,,,,,,,
8.19수,kt wiz,15,1,1,11,1,5,1,수원,28.9,0,57,,,,,,,,,
8.20목,kt wiz,14,0,3,5,0,1,1,대전,25.3,0,79,,,,,,,,,
8.21금,kt wiz,5,2,0,6,0,1,0,대전,27.8,0,72,,,,,,,,,
8.22토,kt wiz,9,1,0,6,1,0,1,수원,26.9,0,58,,,,,,,,,
8.23일,kt wiz,12,2,0,11,2,0,0,수원,28.7,0,65,,,,,,,,,
8.26수,kt wiz,6,0,0,6,0,0,0,서울,23.4,0,62,,,,,,,,,
8.27목,kt wiz,12,1,1,3,2,1,1,수원,26.9,0,40,,,,,,,,,
8.28금,kt wiz,13,4,2,6,0,0,1,수원,26.3,0,67,,,,,,,,,
8.29토,kt wiz,12,1,0,4,1,0,1,수원,26.8,0,53,,,,,,,,,
8.30일,kt wiz,11,2,0,10,0,1,1,수원,27.3,0,58,,,,,,,,,
9.1화,kt wiz,11,1,2,9,1,1,0,부산,25.1,0,79,,,,,,,,,
9.2수,kt wiz,5,0,1,8,1,0,0,부산,25.1,0,85,,,,,,,,,
9.3목,kt wiz,9,0,0,13,1,1,1,서울,27.4,0,53,,,,,,,,,
9.4금,kt wiz,5,1,0,9,3,0,0,서울,27.6,0,50,,,,,,,,,
9.5토,kt wiz,14,1,0,9,1,1,1,수원,23.5,0,76,,,,,,,,,
9.6일,kt wiz,10,0,0,9,2,1,0,수원,24,0,56,,,,,,,,,
9.8화,kt wiz,9,0,0,8,0,1,0,대구,22.8,0,52,,,,,,,,,
9.9수,kt wiz,9,1,1,12,0,0,0,대구,26.4,0,35,,,,,,,,,
9.10목,kt wiz,9,1,0,5,1,0,1,수원,23.9,0,65,,,,,,,,,
9.11금,kt wiz,12,2,0,2,1,0,1,수원,22,0,76,,,,,,,,,
9.12토,kt wiz,16,1,3,9,1,0,1,서울,21.5,0,44,,,,,,,,,
9.13일,kt wiz,7,2,0,7,1,0,0,서울,23.5,0,40,,,,,,,,,
9.15화,kt wiz,6,3,0,9,1,0,0,창원,21.6,0,52,,,,,,,,,
9.17목,kt wiz,10,0,2,11,0,1,1,광주,25.4,0,59,,,,,,,,,
9.20일,kt wiz,11,0,1,3,2,1,0,서울,25,0,51,,,,,,,,,
9.21월,kt wiz,9,0,1,6,2,0,1,서울,27,0,33,,,,,,,,,
9.23수,kt wiz,1,0,0,10,0,4,0,수원,23.3,0,58,,,,,,,,,
9.24목,kt wiz,6,0,5,8,1,1,0,수원,24.8,0,63,,,,,,,,,
9.25금,kt wiz,14,1,0,5,4,1,1,서울,25.8,0,56,,,,,,,,,
9.27일,kt wiz,10,0,0,9,1,0,0,서울,26.6,0,29,,,,,,,,,
9.28월,kt wiz,10,1,0,8,1,2,0,수원,25.8,0,27,,,,,,,,,
9.29화,kt wiz,3,0,0,8,0,2,0,인천,24,0,48,,,,,,,,,
10.2금,kt wiz,8,1,1,12,1,1,0,대구,21.3,0,34,,,,,,,,,
10.3토,kt wiz,5,2,1,1,0,0,1,수원,19.4,0,47,,,,,,,,,
10.4일,kt wiz,11,0,1,7,0,2,0,부산,19.5,0,61,,,,,,,,,
4.1금,kt wiz,11,2,2,7,0,0,1,인천,16.1,0,39,,,,,,,,,
4.2토,kt wiz,8,0,0,3,2,1,0,인천,14.4,0,59,,,,,,,,,
4.3일,kt wiz,7,1,0,9,0,0,1,인천,11.3,0,72,,,,,,,,,
4.5화,kt wiz,11,1,2,6,1,3,1,수원,13.4,0,31,,,,,,,,,
4.6수,kt wiz,7,3,0,6,0,2,0,수원,21.6,0,21,,,,,,,,,
4.7목,kt wiz,4,0,0,9,0,1,0,수원,14.9,0,64,,,,,,,,,
4.8금,kt wiz,8,0,1,3,3,1,1,수원,9.9,0,90,,,,,,,,,
4.9토,kt wiz,11,0,2,7,1,3,0,수원,15.6,0,81,,,,,,,,,
4.10일,kt wiz,11,2,1,10,1,0,1,수원,11.7,0,89,,,,,,,,,
4.12화,kt wiz,7,2,1,6,0,1,0,서울,17.3,0,34,,,,,,,,,
4.13수,kt wiz,13,1,2,11,0,2,1,서울,20.6,0,56,,,,,,,,,
4.14목,kt wiz,10,2,1,7,0,2,1,서울,16.8,0,54,,,,,,,,,
4.15금,kt wiz,7,0,0,8,1,2,0,수원,18.4,0,33,,,,,,,,,
4.17일,kt wiz,9,0,1,8,1,1,0,수원,12.8,0,40,,,,,,,,,
4.19화,kt wiz,10,1,0,4,3,1,0,수원,14.7,0,52,,,,,,,,,
4.20수,kt wiz,8,2,4,13,0,1,0,수원,16.3,0,60,,,,,,,,,
4.21목,kt wiz,14,2,1,3,1,0,1,수원,18,0,81,,,,,,,,,
4.22금,kt wiz,16,2,0,5,1,0,1,대구,26.4,0,31,,,,,,,,,
4.23토,kt wiz,12,1,2,5,1,0,1,대구,20.8,0,17,,,,,,,,,
4.24일,kt wiz,6,0,0,6,1,1,0,대구,18.3,0,26,,,,,,,,,
4.26화,kt wiz,7,1,0,4,2,0,1,수원,25.8,0,35,,,,,,,,,
4.27수,kt wiz,3,0,0,6,1,0,0,수원,17.9,0,40,,,,,,,,,
4.28목,kt wiz,8,1,0,7,2,1,0,수원,18.9,0,40,,,,,,,,,
4.29금,kt wiz,7,0,1,5,1,2,0,서울,18.9,0,42,,,,,,,,,
4.30토,kt wiz,9,0,0,6,0,0,1,서울,18.8,0,35,,,,,,,,,
5.1일,kt wiz,9,0,0,3,3,1,0,서울,22.9,0,29,,,,,,,,,
5.4수,kt wiz,9,0,0,9,0,1,0,수원,17.7,0,39,,,,,,,,,
