day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,location,temp,rain,humidity,,,행 레이블,평균 : H_text,평균 : HR_text,평균 : S_text,평균 : ST_text,평균 : DU_text,평균 : ER_text
4.2화,NC 다이노스,4,0,2,7,2,2,0,부산,15.2,0,39,,,5-15,8.957142857,0.9,0.985714286,7.542857143,0.714285714,0.671428571
4.3수,NC 다이노스,8,0,0,4,1,3,0,부산,15.3,0,45,,,15-25,9.383399209,0.966403162,0.869565217,7.100790514,0.776679842,0.669960474
4.4목,NC 다이노스,6,0,1,9,1,3,0,부산,14.8,0,45,,,25-35,9.847938144,1.059278351,0.845360825,6.765463918,0.847938144,0.682989691
4.5금,NC 다이노스,11,3,1,5,0,0,0,창원,14.6,0,62,,,35-45,13,3.333333333,1,7.333333333,1.333333333,0.333333333
4.7일,NC 다이노스,7,0,0,8,1,0,0,창원,10.1,0,33,,,총합계,9.550155119,1.006204757,0.868665977,6.998965874,0.802481903,0.674250259
4.9화,NC 다이노스,10,0,5,5,0,4,0,창원,11.9,0,12,,,,,,,,,
4.10수,NC 다이노스,9,0,1,7,0,1,0,창원,8.9,0,31,,,,,,,,,
4.11목,NC 다이노스,12,0,2,5,1,0,1,창원,12.3,0,16,,,,,,,,,
4.12금,NC 다이노스,8,0,0,6,1,1,0,인천,7.6,0,61,,,,,,,,,
4.13토,NC 다이노스,5,1,0,3,1,0,1,인천,12.8,0,47,,,,,,,,,
4.14일,NC 다이노스,7,1,0,9,0,2,1,인천,7.7,0,34,,,,,,,,,
4.16화,NC 다이노스,7,0,2,15,0,3,0,창원,18.6,0,73,,,,,,,,,
4.17수,NC 다이노스,10,0,3,8,0,2,0,창원,13.7,0,68,,,,,,,,,
4.18목,NC 다이노스,8,0,0,7,0,2,0,창원,17.5,0,61,,,,,,,,,
4.19금,NC 다이노스,2,0,1,1,3,0,0,창원,11.3,0,43,,,,,,,,,
4.21일,NC 다이노스,7,1,0,4,2,0,0,창원,14.6,0,24,,,,,,,,,
4.25목,NC 다이노스,10,1,1,7,1,0,0,광주,14.1,0,70,,,,,,,,,
4.26금,NC 다이노스,8,2,2,8,1,2,0,서울,14.2,0,45,,,,,,,,,
4.27토,NC 다이노스,10,1,2,7,2,0,0,서울,13.8,0,43,,,,,,,,,
4.28일,NC 다이노스,6,0,0,6,0,1,0,서울,19.4,0,55,,,,,,,,,
4.30화,NC 다이노스,4,0,0,5,1,0,1,서울,16.1,0,36,,,,,,,,,
5.1수,NC 다이노스,12,2,3,5,0,0,1,창원,13,0,61,,,,,,,,,
5.2목,NC 다이노스,10,1,1,7,2,0,1,창원,15.1,0,61,,,,,,,,,
5.7화,NC 다이노스,13,0,2,11,0,1,0,창원,17.2,0,58,,,,,,,,,
5.8수,NC 다이노스,4,3,2,6,0,0,0,창원,19.5,0,40,,,,,,,,,
5.9목,NC 다이노스,12,0,1,7,0,0,1,창원,20.8,0,73,,,,,,,,,
5.10금,NC 다이노스,5,0,2,12,0,0,0,서울,13.9,0,83,,,,,,,,,
5.11토,NC 다이노스,10,0,0,9,0,0,0,서울,23.9,0,25,,,,,,,,,
5.12일,NC 다이노스,19,1,0,5,2,0,1,서울,21.5,0,58,,,,,,,,,
5.15수,NC 다이노스,12,1,0,7,2,0,1,부산,20.2,0,80,,,,,,,,,
5.16목,NC 다이노스,13,0,3,10,0,0,1,부산,14.8,0,65,,,,,,,,,
5.17금,NC 다이노스,5,1,1,16,0,0,0,창원,17.6,0,58,,,,,,,,,
5.18토,NC 다이노스,7,1,0,10,1,1,0,창원,21,0,57,,,,,,,,,
5.19일,NC 다이노스,13,0,1,5,1,1,0,창원,19.4,0,84,,,,,,,,,
5.21화,NC 다이노스,7,0,1,4,0,2,0,인천,20.5,0,25,,,,,,,,,
5.22수,NC 다이노스,9,2,2,8,1,1,1,인천,20,0,73,,,,,,,,,
5.23목,NC 다이노스,9,3,1,10,0,0,1,인천,21.8,0,74,,,,,,,,,
5.24금,NC 다이노스,13,0,0,3,0,0,1,광주,28.6,0,36,,,,,,,,,
5.25토,NC 다이노스,14,0,0,7,1,0,1,광주,28,0,44,,,,,,,,,
5.26일,NC 다이노스,8,0,3,5,3,2,0,광주,23.5,0,57,,,,,,,,,
5.29수,NC 다이노스,12,0,2,12,3,0,0,창원,21.2,0,77,,,,,,,,,
5.30목,NC 다이노스,13,0,1,4,1,0,1,창원,22.9,0,46,,,,,,,,,
5.31금,NC 다이노스,9,0,0,5,0,0,1,대전,24.5,0,52,,,,,,,,,
6.1토,NC 다이노스,13,0,0,7,1,0,1,대전,24.4,0,50,,,,,,,,,
6.2일,NC 다이노스,4,1,3,15,0,1,0,대전,28.2,0,41,,,,,,,,,
6.4화,NC 다이노스,11,0,0,9,1,0,0,창원,23.9,0,43,,,,,,,,,
6.5수,NC 다이노스,15,2,1,7,0,0,1,창원,23.3,0,63,,,,,,,,,
6.6목,NC 다이노스,12,1,1,8,1,0,1,창원,22.4,0,64,,,,,,,,,
6.11화,NC 다이노스,5,1,0,5,1,0,0,광주,23.1,0,79,,,,,,,,,
