day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,location,temp,rain,humidity,,,행 레이블,평균 : H_text,평균 : HR_text,평균 : S_text,평균 : ST_text,평균 : DU_text,평균 : ER_text
4.7,KIA 타이거즈,6,0,2,8,0,3,0,인천,8.3,0,33,,,5-15,9.77,0.887323944,0.85915493,6.943661972,0.85915493,0.746478873
4.8,KIA 타이거즈,6,0,0,3,2,0,0,인천,10.6,0,68,,,15-25,9.21,0.796218487,0.754201681,6.661764706,0.754201681,0.695378151
4.11,KIA 타이거즈,7,0,2,8,1,0,1,광주,11.8,0,71,,,25-35,9.57,0.971751412,0.777777778,6.52165725,0.822975518,0.662900188
4.12,KIA 타이거즈,5,1,0,8,1,1,0,광주,14.5,0,32,,,35-45,10.75,0.5,0.5,4.25,0.75,0.75
4.13,KIA 타이거즈,11,0,0,3,0,0,1,서울,11.6,0,50,,,총합계,9.43,0.887245841,0.771719039,6.6025878,0.794824399,0.682994455
4.14,KIA 타이거즈,9,0,6,3,1,1,1,서울,14.9,0,46,,,,,,,,,
4.15,KIA 타이거즈,8,1,0,4,3,0,0,서울,18,0,35,,,,,,,,,
4.17,KIA 타이거즈,5,0,1,6,0,0,1,서울,18.3,0,25,,,,,,,,,
4.18,KIA 타이거즈,3,0,0,6,2,1,0,서울,19.6,0,23,,,,,,,,,
4.19,KIA 타이거즈,8,1,2,10,0,0,1,서울,19.2,0,28,,,,,,,,,
4.2,KIA 타이거즈,11,0,0,6,2,1,0,광주,18.5,0,59,,,,,,,,,
4.24,KIA 타이거즈,11,0,1,10,0,0,0,광주,23.6,0,46,,,,,,,,,
4.26,KIA 타이거즈,3,0,2,13,0,0,0,광주,16.1,0,28,,,,,,,,,
4.27,KIA 타이거즈,4,0,1,8,0,0,0,서울,19.2,0,16,,,,,,,,,
4.28,KIA 타이거즈,9,1,1,5,1,1,1,서울,18.4,0,51,,,,,,,,,
4.29,KIA 타이거즈,7,0,1,5,0,0,0,서울,23.6,0,47,,,,,,,,,
5.5,KIA 타이거즈,12,0,3,4,1,1,1,광주,22.8,0,38,,,,,,,,,
5.6,KIA 타이거즈,18,1,3,2,1,2,1,광주,24,0,28,,,,,,,,,
5.8,KIA 타이거즈,7,0,2,15,0,1,0,대전,25.9,0,41,,,,,,,,,
5.9,KIA 타이거즈,11,2,3,10,1,0,1,대전,26.1,0,26,,,,,,,,,
5.1,KIA 타이거즈,7,0,5,5,2,0,1,대전,22.7,0,50,,,,,,,,,
5.11,KIA 타이거즈,7,0,2,3,0,0,1,광주,19.9,0,67,,,,,,,,,
5.12,KIA 타이거즈,9,1,0,4,0,1,0,광주,21.4,0,48,,,,,,,,,
5.13,KIA 타이거즈,6,1,0,5,1,1,0,광주,18.6,0,54,,,,,,,,,
