day_text,times_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text
10.1토,17:00,NC 다이노스,12,1,1,3,2,0,승
10.1토,17:00,롯데 자이언츠,4,0,0,12,0,2,패
10.1토,17:00,SK 와이번스,10,1,1,9,1,0,승
10.1토,17:00,LG 트윈스,4,0,1,6,3,0,패
10.2일,14:00,kt wiz,4,0,1,9,0,0,패
10.2일,14:00,KIA 타이거즈,5,0,0,4,0,0,승
10.2일,14:00,NC 다이노스,17,1,1,3,1,1,승
10.2일,14:00,롯데 자이언츠,6,4,0,6,0,0,패
10.2일,14:00,키움 히어로즈,13,1,2,11,1,1,승
10.2일,14:00,한화 이글스,6,1,0,6,1,0,패
10.3월,14:00,한화 이글스,20,1,0,2,3,0,승
10.3월,14:00,두산 베어스,8,1,0,5,0,1,패
10.3월,14:00,kt wiz,10,0,0,7,0,2,패
10.3월,14:00,KIA 타이거즈,13,0,0,4,1,2,승
10.3월,14:00,LG 트윈스,15,2,1,6,1,0,승
10.3월,14:00,삼성 라이온즈,6,0,0,9,0,3,패
10.4화,18:30,LG 트윈스,9,2,1,8,1,0,패
10.4화,18:30,삼성 라이온즈,10,1,0,3,1,0,승
10.4화,18:30,롯데 자이언츠,15,0,4,12,1,0,패
10.4화,18:30,두산 베어스,11,1,0,9,1,0,승
10.4화,18:30,키움 히어로즈,5,0,1,8,0,0,승
10.4화,18:30,NC 다이노스,7,0,2,9,1,0,패
10.5수,18:30,한화 이글스,14,2,0,16,1,0,승
10.5수,18:30,kt wiz,9,1,0,6,2,0,패
10.5수,18:30,KIA 타이거즈,11,0,2,6,1,0,승
10.5수,18:30,삼성 라이온즈,7,0,2,10,1,1,패
10.5수,18:30,키움 히어로즈,7,2,0,7,1,0,패
10.5수,18:30,NC 다이노스,13,4,1,6,0,1,승
10.6목,18:30,LG 트윈스,7,0,1,6,1,0,승
10.6목,18:30,롯데 자이언츠,7,0,0,9,2,0,패
10.6목,18:30,SK 와이번스,4,0,1,11,0,0,패
10.6목,18:30,NC 다이노스,6,0,1,10,1,1,승
10.6목,18:30,삼성 라이온즈,11,1,0,14,0,1,승
10.6목,18:30,KIA 타이거즈,6,1,1,7,2,0,패
10.7금,18:30,kt wiz,9,0,0,9,3,0,승
10.7금,18:30,NC 다이노스,12,0,0,3,0,1,패
10.7금,18:30,키움 히어로즈,8,0,2,10,0,0,패
10.7금,18:30,롯데 자이언츠,11,1,0,10,0,0,승
10.8토,17:00,KIA 타이거즈,11,2,1,7,0,2,패
10.8토,17:00,한화 이글스,10,1,1,8,2,0,승
10.8토,17:00,두산 베어스,16,2,0,6,1,2,승
10.8토,17:00,LG 트윈스,3,0,0,8,1,3,패
10.8토,17:00,삼성 라이온즈,10,2,1,4,1,2,패
10.8토,17:00,SK 와이번스,12,3,0,9,1,0,승
10.9일,14:00,kt wiz,14,0,1,7,0,1,승
10.9일,14:00,NC 다이노스,12,0,4,13,0,0,패
