day_text,times_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text
4.2화,18:30,KIA 타이거즈,8,0,2,5,1,1,승
4.2화,18:30,한화 이글스,11,0,1,8,1,2,패
4.2화,18:30,LG 트윈스,6,0,0,2,1,0,패
4.2화,18:30,키움 히어로즈,4,1,0,4,3,1,승
4.2화,18:30,롯데 자이언츠,11,1,3,5,0,2,승
4.2화,18:30,NC 다이노스,4,0,2,7,2,2,패
4.2화,18:30,SK 와이번스,4,1,0,6,1,0,패
4.2화,18:30,두산 베어스,13,0,1,4,1,1,승
4.3수,18:30,KIA 타이거즈,16,0,1,6,3,1,승
4.3수,18:30,한화 이글스,5,0,0,3,3,0,패
4.3수,18:30,LG 트윈스,16,1,4,5,1,1,승
4.3수,18:30,키움 히어로즈,12,3,0,11,2,1,패
4.3수,18:30,롯데 자이언츠,6,0,1,8,0,2,승
4.3수,18:30,NC 다이노스,8,0,0,4,1,3,패
4.3수,18:30,SK 와이번스,8,0,0,4,0,2,승
4.3수,18:30,두산 베어스,3,0,1,7,1,1,패
4.4목,18:30,KIA 타이거즈,17,0,3,16,0,0,승
4.4목,18:30,한화 이글스,10,0,0,10,1,1,패
4.4목,18:30,LG 트윈스,6,0,1,3,1,1,패
4.4목,18:30,키움 히어로즈,7,1,2,6,0,1,승
4.4목,18:30,롯데 자이언츠,8,0,3,3,0,0,승
4.4목,18:30,NC 다이노스,6,0,1,9,1,3,패
4.4목,18:30,SK 와이번스,11,0,2,6,2,1,승
4.4목,18:30,두산 베어스,7,2,0,4,1,0,패
4.5금,18:30,KIA 타이거즈,12,0,2,6,2,1,승
4.5금,18:30,롯데 자이언츠,10,0,2,10,1,1,패
4.5금,18:30,NC 다이노스,11,3,1,5,0,0,패
4.5금,18:30,삼성 라이온즈,14,1,0,3,1,0,승
4.5금,18:30,두산 베어스,6,1,1,5,1,2,패
4.5금,18:30,LG 트윈스,13,0,2,8,0,0,승
4.5금,18:30,키움 히어로즈,8,0,0,7,2,1,승
4.5금,18:30,한화 이글스,10,0,0,7,0,0,패
4.7일,14:00,KIA 타이거즈,7,0,0,8,0,0,승
4.7일,14:00,롯데 자이언츠,10,1,0,4,2,0,패
4.7일,14:00,NC 다이노스,7,0,0,8,1,0,패
4.7일,14:00,삼성 라이온즈,7,0,2,5,0,0,승
4.7일,14:00,두산 베어스,12,0,3,5,2,2,승
4.7일,14:00,LG 트윈스,11,0,1,9,1,4,패
4.7일,14:00,키움 히어로즈,10,0,1,4,0,0,승
4.7일,14:00,한화 이글스,3,0,0,10,2,1,패
4.9화,18:30,한화 이글스,8,1,0,8,2,0,패
4.9화,18:30,삼성 라이온즈,13,0,1,1,0,1,승
4.9화,18:30,NC 다이노스,10,0,5,5,0,4,패
4.9화,18:30,LG 트윈스,12,0,0,5,1,2,승
4.9화,18:30,두산 베어스,17,4,1,6,1,0,승
4.9화,18:30,KIA 타이거즈,8,1,2,8,0,1,패
4.9화,18:30,키움 히어로즈,6,0,0,11,1,0,패
4.9화,18:30,SK 와이번스,7,1,0,8,0,0,승
4.10수,18:30,한화 이글스,6,0,1,10,0,0,패
4.10수,18:30,삼성 라이온즈,5,2,2,10,0,0,승
4.10수,18:30,NC 다이노스,9,0,1,7,0,1,패
4.10수,18:30,LG 트윈스,7,0,2,8,0,0,승
4.10수,18:30,두산 베어스,9,1,3,9,2,2,패
4.10수,18:30,KIA 타이거즈,9,0,0,10,1,0,승
4.10수,18:30,키움 히어로즈,2,0,0,8,1,0,패
4.10수,18:30,SK 와이번스,9,2,1,3,0,0,승
4.11목,18:30,한화 이글스,8,0,1,12,0,1,패
4.11목,18:30,삼성 라이온즈,15,0,0,5,0,3,승
4.11목,18:30,NC 다이노스,12,0,2,5,1,0,승
4.11목,18:30,LG 트윈스,9,0,0,3,1,0,패
4.11목,18:30,두산 베어스,13,1,1,6,2,0,승
4.11목,18:30,KIA 타이거즈,2,0,2,11,0,0,패
4.11목,18:30,키움 히어로즈,7,0,1,9,0,0,승
4.11목,18:30,SK 와이번스,7,0,0,9,0,3,패
4.12금,18:30,LG 트윈스,12,1,1,6,0,0,승
4.12금,18:30,한화 이글스,5,0,0,5,2,0,패
