day_text,times_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text
6.1수,18:30,KIA 타이거즈,9,0,2,3,1,0,승
6.1수,18:30,LG 트윈스,10,0,1,8,0,2,패
6.1수,18:30,kt wiz,4,0,0,6,1,0,패
6.1수,18:30,롯데 자이언츠,8,0,2,8,2,0,승
6.1수,18:30,두산 베어스,7,1,0,7,1,3,패
6.1수,18:30,NC 다이노스,6,0,0,4,0,0,승
6.1수,18:30,SK 와이번스,15,1,2,8,0,0,승
6.1수,18:30,한화 이글스,10,0,0,8,0,1,패
6.1수,18:30,삼성 라이온즈,8,2,1,5,1,1,패
6.1수,18:30,키움 히어로즈,11,1,0,5,1,0,승
6.2목,18:30,KIA 타이거즈,6,0,0,8,2,2,패
6.2목,18:30,LG 트윈스,11,0,3,6,1,0,승
6.2목,18:30,kt wiz,8,0,0,7,2,2,승
6.2목,18:30,롯데 자이언츠,8,0,2,11,1,1,패
6.2목,18:30,두산 베어스,5,0,0,9,1,0,패
6.2목,18:30,NC 다이노스,8,1,1,5,0,1,승
6.2목,18:30,SK 와이번스,4,1,0,7,1,1,패
6.2목,18:30,한화 이글스,10,1,1,3,2,0,승
6.2목,18:30,삼성 라이온즈,20,2,1,5,1,0,승
6.2목,18:30,키움 히어로즈,12,4,0,8,0,0,패
6.3금,18:30,한화 이글스,9,1,3,13,0,3,승
6.3금,18:30,삼성 라이온즈,11,0,6,10,1,1,패
6.3금,18:30,LG 트윈스,12,1,0,5,3,1,패
6.3금,18:30,kt wiz,9,0,0,5,1,1,승
6.3금,18:30,NC 다이노스,4,1,1,11,1,0,승
6.3금,18:30,롯데 자이언츠,8,0,0,6,1,0,패
6.3금,18:30,SK 와이번스,4,0,0,5,1,0,패
6.3금,18:30,두산 베어스,9,1,2,4,0,0,승
6.3금,18:30,키움 히어로즈,14,1,4,2,2,0,승
6.3금,18:30,KIA 타이거즈,5,1,1,7,0,0,패
6.4토,17:00,한화 이글스,12,1,0,9,0,2,승
6.4토,17:00,삼성 라이온즈,12,2,1,5,2,0,패
6.4토,17:00,LG 트윈스,19,1,1,5,0,0,승
6.4토,17:00,kt wiz,9,0,0,3,0,0,패
6.4토,17:00,SK 와이번스,9,3,0,8,1,1,패
6.4토,17:00,두산 베어스,9,0,1,5,0,0,승
6.5일,17:00,한화 이글스,10,0,1,5,1,0,승
6.5일,17:00,삼성 라이온즈,9,0,0,6,0,2,패
6.5일,17:00,LG 트윈스,12,0,0,7,0,1,패
6.5일,17:00,kt wiz,11,2,1,7,0,1,승
6.5일,17:00,NC 다이노스,17,3,0,8,0,0,승
6.5일,17:00,롯데 자이언츠,11,1,0,11,0,2,패
6.5일,17:00,SK 와이번스,7,0,0,3,1,3,패
6.5일,17:00,두산 베어스,9,1,1,5,0,0,승
6.5일,17:00,키움 히어로즈,8,1,1,4,1,1,승
6.5일,17:00,KIA 타이거즈,10,1,0,7,1,3,패
6.7화,18:30,KIA 타이거즈,7,1,0,8,2,0,패
6.7화,18:30,한화 이글스,8,2,0,6,1,0,승
6.7화,18:30,롯데 자이언츠,12,2,0,8,0,0,승
6.7화,18:30,SK 와이번스,9,2,0,8,1,1,패
6.7화,18:30,두산 베어스,13,1,0,6,1,0,승
6.7화,18:30,kt wiz,4,0,1,6,1,3,패
