day_text,times_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text
7.1수,18:30,한화 이글스,5,0,0,8,2,1,패
7.1수,18:30,KIA 타이거즈,8,2,2,3,0,0,승
7.1수,18:30,kt wiz,11,1,0,10,1,0,승
7.1수,18:30,SK 와이번스,9,0,2,12,1,0,패
7.1수,18:30,LG 트윈스,10,0,0,5,2,1,패
7.1수,18:30,두산 베어스,15,1,0,1,0,4,승
7.1수,18:30,롯데 자이언츠,9,0,2,6,1,1,승
7.1수,18:30,NC 다이노스,10,1,1,7,1,1,패
7.1수,18:30,삼성 라이온즈,14,2,3,3,0,3,승
7.1수,18:30,키움 히어로즈,16,3,0,9,0,3,패
7.2목,18:30,한화 이글스,13,0,2,4,1,0,승
7.2목,18:30,KIA 타이거즈,7,2,3,8,1,1,패
7.2목,18:30,kt wiz,8,1,1,6,1,1,패
7.2목,18:30,SK 와이번스,5,1,0,8,0,0,승
7.2목,18:30,LG 트윈스,12,1,0,7,0,1,승
7.2목,18:30,두산 베어스,4,0,0,6,2,0,패
7.2목,18:30,롯데 자이언츠,4,1,1,7,0,1,패
7.2목,18:30,NC 다이노스,8,0,4,7,1,2,승
7.2목,18:30,삼성 라이온즈,10,0,0,6,1,1,패
7.2목,18:30,키움 히어로즈,6,0,0,5,0,0,승
7.3금,18:30,KIA 타이거즈,9,0,0,5,1,2,패
7.3금,18:30,kt wiz,12,1,0,7,0,1,승
7.3금,18:30,LG 트윈스,12,2,0,5,0,0,패
7.3금,18:30,삼성 라이온즈,17,1,1,4,2,1,승
7.3금,18:30,NC 다이노스,9,1,4,8,0,0,패
7.3금,18:30,한화 이글스,13,1,0,6,0,1,승
7.3금,18:30,SK 와이번스,16,1,0,7,3,2,승
7.3금,18:30,롯데 자이언츠,11,2,0,8,2,0,패
7.3금,18:30,키움 히어로즈,14,1,0,6,1,1,패
7.3금,18:30,두산 베어스,11,1,1,9,0,1,승
7.4토,18:00,KIA 타이거즈,11,1,0,7,1,2,패
7.4토,18:00,kt wiz,15,2,2,7,0,0,승
7.4토,18:00,LG 트윈스,5,3,0,9,0,1,패
7.4토,18:00,삼성 라이온즈,12,2,0,5,0,0,승
7.4토,18:00,NC 다이노스,14,2,2,9,0,0,패
7.4토,18:00,한화 이글스,9,0,0,5,2,0,승
7.4토,18:00,SK 와이번스,9,2,0,11,0,1,패
7.4토,18:00,롯데 자이언츠,10,1,2,10,1,0,승
7.4토,18:00,키움 히어로즈,13,0,1,8,2,3,승
7.4토,18:00,두산 베어스,10,0,0,5,0,2,패
7.5일,18:00,KIA 타이거즈,5,1,0,9,2,0,패
7.5일,18:00,kt wiz,14,1,1,5,0,0,승
7.5일,18:00,LG 트윈스,7,2,1,9,1,0,패
7.5일,18:00,삼성 라이온즈,14,2,2,2,1,1,승
7.5일,18:00,SK 와이번스,9,1,0,8,1,0,승
7.5일,18:00,롯데 자이언츠,9,1,0,6,1,2,패
7.5일,18:00,키움 히어로즈,9,1,2,7,1,0,승
7.5일,18:00,두산 베어스,6,0,0,6,1,0,패
7.7화,18:30,KIA 타이거즈,8,0,1,4,1,2,승
7.7화,18:30,키움 히어로즈,6,0,0,11,0,0,패
7.7화,18:30,롯데 자이언츠,17,1,1,9,1,2,승
7.7화,18:30,LG 트윈스,16,1,0,9,1,1,패
7.8수,18:30,KIA 타이거즈,7,2,1,11,1,0,패
7.8수,18:30,키움 히어로즈,15,0,2,12,0,1,승
7.8수,18:30,롯데 자이언츠,4,0,1,19,1,0,패
7.8수,18:30,LG 트윈스,8,0,1,7,1,1,승
7.8수,18:30,두산 베어스,14,1,2,5,2,0,승
7.8수,18:30,한화 이글스,7,0,1,10,0,1,패
7.9목,18:30,KIA 타이거즈,11,1,0,10,3,2,패
7.9목,18:30,키움 히어로즈,16,3,2,3,1,0,승
7.9목,18:30,kt wiz,8,0,1,9,1,0,패
7.9목,18:30,NC 다이노스,16,2,2,5,0,0,승
7.9목,18:30,롯데 자이언츠,5,0,2,7,0,2,패
7.9목,18:30,LG 트윈스,5,1,0,6,0,0,승
7.9목,18:30,두산 베어스,12,1,2,3,3,0,승
7.9목,18:30,한화 이글스,12,2,0,8,0,2,패
7.9목,18:30,SK 와이번스,8,0,0,10,0,0,패
7.9목,18:30,삼성 라이온즈,12,0,1,8,1,0,승
7.10금,18:30,한화 이글스,8,0,1,12,0,1,승
7.10금,18:30,LG 트윈스,8,1,1,7,0,2,패
7.10금,18:30,KIA 타이거즈,6,1,0,8,0,0,패
7.10금,18:30,SK 와이번스,11,1,0,6,0,1,승
7.10금,18:30,NC 다이노스,9,2,1,8,0,1,승
7.10금,18:30,키움 히어로즈,10,0,1,11,2,1,패
7.10금,18:30,두산 베어스,15,0,0,2,1,1,승
7.10금,18:30,롯데 자이언츠,7,1,0,11,1,0,패
7.10금,18:30,삼성 라이온즈,10,1,0,4,1,2,패
7.10금,18:30,kt wiz,18,3,2,11,0,0,승
7.11토,18:00,한화 이글스,9,1,1,7,1,1,승
7.11토,18:00,LG 트윈스,8,0,0,4,0,1,패
7.11토,18:00,KIA 타이거즈,4,0,0,9,1,2,패
7.11토,18:00,SK 와이번스,11,1,0,6,1,0,승
7.11토,18:00,NC 다이노스,15,1,5,6,0,0,승
7.11토,18:00,키움 히어로즈,7,2,0,10,1,2,패
7.11토,18:00,삼성 라이온즈,12,0,0,3,1,0,패
7.11토,18:00,kt wiz,13,1,0,4,1,0,승
7.14화,18:30,kt wiz,14,1,2,9,1,0,승
7.14화,18:30,두산 베어스,6,0,0,4,1,1,패
7.14화,18:30,LG 트윈스,12,1,0,8,2,0,승
7.14화,18:30,KIA 타이거즈,5,1,0,12,0,0,패
7.14화,18:30,롯데 자이언츠,9,1,0,6,0,0,패
7.14화,18:30,한화 이글스,13,0,1,9,0,1,승
7.14화,18:30,SK 와이번스,7,0,0,7,1,0,패
