day_text,times_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text
5.1수,18:30,KIA 타이거즈,14,0,1,4,0,0,승
5.1수,18:30,두산 베어스,8,0,1,2,1,0,패
5.1수,18:30,LG 트윈스,10,0,0,5,0,0,패
5.1수,18:30,NC 다이노스,12,2,3,5,0,0,승
5.1수,18:30,롯데 자이언츠,10,0,4,9,0,3,승
5.1수,18:30,한화 이글스,6,0,3,9,1,1,패
5.1수,18:30,키움 히어로즈,10,4,1,5,1,2,승
5.1수,18:30,삼성 라이온즈,11,1,0,7,0,0,패
5.2목,18:30,KIA 타이거즈,6,0,0,6,2,1,패
5.2목,18:30,두산 베어스,9,0,4,4,1,1,승
5.2목,18:30,LG 트윈스,3,0,0,8,0,1,패
5.2목,18:30,NC 다이노스,10,1,1,7,2,0,승
5.2목,18:30,롯데 자이언츠,10,1,2,9,0,1,승
5.2목,18:30,한화 이글스,7,1,0,5,1,0,패
5.2목,18:30,키움 히어로즈,10,0,2,5,0,1,승
5.2목,18:30,삼성 라이온즈,9,0,4,4,2,0,패
5.3금,18:30,KIA 타이거즈,10,0,1,8,1,0,패
5.3금,18:30,키움 히어로즈,4,1,0,10,1,0,승
5.3금,18:30,LG 트윈스,16,0,1,2,1,1,승
5.3금,18:30,두산 베어스,6,1,0,4,2,1,패
5.3금,18:30,SK 와이번스,4,0,0,7,0,1,패
5.3금,18:30,한화 이글스,9,0,1,3,3,1,승
5.3금,18:30,삼성 라이온즈,14,2,0,4,2,1,승
5.3금,18:30,롯데 자이언츠,6,0,1,9,0,2,패
5.4토,17:00,KIA 타이거즈,12,2,2,7,1,0,승
5.4토,17:00,키움 히어로즈,7,2,0,5,0,2,패
5.4토,17:00,LG 트윈스,10,0,0,2,2,0,패
5.4토,17:00,두산 베어스,8,0,1,3,0,1,승
5.4토,17:00,SK 와이번스,7,1,1,11,1,0,승
5.4토,17:00,한화 이글스,3,0,0,4,3,1,패
5.4토,17:00,삼성 라이온즈,9,1,0,4,1,0,승
5.4토,17:00,롯데 자이언츠,8,0,2,8,1,1,패
5.5일,14:00,KIA 타이거즈,15,0,2,7,1,0,승
5.5일,14:00,키움 히어로즈,11,2,2,5,2,1,패
5.5일,14:00,LG 트윈스,6,0,3,4,0,1,패
5.5일,14:00,두산 베어스,8,0,2,6,0,1,승
5.5일,14:00,SK 와이번스,15,2,4,2,0,1,승
5.5일,14:00,한화 이글스,14,1,0,3,3,2,패
5.5일,14:00,삼성 라이온즈,11,2,1,5,2,0,승
5.5일,14:00,롯데 자이언츠,6,0,2,7,0,0,패
5.7화,18:30,한화 이글스,8,0,2,8,0,0,승
5.7화,18:30,NC 다이노스,13,0,2,11,0,1,패
5.7화,18:30,롯데 자이언츠,7,0,1,6,0,0,승
5.7화,18:30,KIA 타이거즈,2,0,0,10,0,1,패
5.7화,18:30,두산 베어스,9,0,1,5,3,0,패
5.7화,18:30,SK 와이번스,14,2,1,5,1,0,승
5.7화,18:30,키움 히어로즈,11,1,0,3,1,2,승
5.7화,18:30,LG 트윈스,7,0,1,11,0,1,패
5.8수,18:30,한화 이글스,11,1,1,12,0,0,승
5.8수,18:30,NC 다이노스,4,3,2,6,0,0,패
5.8수,18:30,롯데 자이언츠,10,0,4,12,0,1,승
5.8수,18:30,KIA 타이거즈,3,0,0,4,0,0,패
5.8수,18:30,두산 베어스,14,1,0,5,2,0,패
5.8수,18:30,SK 와이번스,15,3,2,7,2,2,승
5.8수,18:30,키움 히어로즈,10,0,1,6,0,0,승
5.8수,18:30,LG 트윈스,6,0,1,10,1,0,패
5.9목,18:30,한화 이글스,7,0,0,9,0,1,패
5.9목,18:30,NC 다이노스,12,0,1,7,0,0,승
5.9목,18:30,두산 베어스,20,1,1,8,1,1,승
5.9목,18:30,SK 와이번스,7,0,1,6,1,0,패
5.10금,18:30,KIA 타이거즈,6,0,0,8,1,1,패
5.10금,18:30,삼성 라이온즈,4,0,2,10,0,1,승
5.10금,18:30,LG 트윈스,9,0,0,9,0,0,승
