day_text,times_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text
7.2화,18:30,KIA 타이거즈,14,1,3,5,1,1,승
7.2화,18:30,SK 와이번스,7,0,0,3,2,0,패
7.2화,18:30,삼성 라이온즈,9,0,0,6,0,1,승
7.2화,18:30,롯데 자이언츠,7,1,2,6,1,3,패
7.2화,18:30,키움 히어로즈,6,0,1,8,0,1,패
7.2화,18:30,NC 다이노스,6,2,1,6,0,0,승
7.3수,18:30,한화 이글스,18,0,0,8,3,0,패
7.3수,18:30,LG 트윈스,9,0,3,5,1,0,승
7.3수,18:30,KIA 타이거즈,11,0,0,4,1,0,패
7.3수,18:30,SK 와이번스,10,0,3,9,0,2,승
7.3수,18:30,삼성 라이온즈,6,1,0,9,0,2,패
7.3수,18:30,롯데 자이언츠,9,1,1,5,0,0,승
7.3수,18:30,키움 히어로즈,9,0,0,14,1,2,패
7.3수,18:30,NC 다이노스,8,0,0,9,1,2,승
7.5금,18:30,LG 트윈스,13,1,0,2,1,1,패
7.5금,18:30,키움 히어로즈,13,2,4,6,1,1,승
7.5금,18:30,삼성 라이온즈,10,2,1,3,1,2,패
7.5금,18:30,두산 베어스,15,2,0,4,1,1,승
7.6토,18:00,LG 트윈스,9,0,1,4,1,0,패
7.6토,18:00,키움 히어로즈,11,0,1,2,2,2,승
7.6토,18:00,롯데 자이언츠,8,1,0,7,0,1,패
7.6토,18:00,KIA 타이거즈,9,1,2,7,0,0,승
7.6토,18:00,SK 와이번스,6,0,1,8,0,0,패
7.6토,18:00,한화 이글스,8,2,0,2,0,0,승
7.6토,18:00,삼성 라이온즈,8,2,0,3,1,1,패
7.6토,18:00,두산 베어스,9,1,2,4,1,0,승
7.7일,18:00,LG 트윈스,4,1,1,11,0,0,패
7.7일,18:00,키움 히어로즈,16,2,2,8,1,2,승
7.7일,18:00,삼성 라이온즈,18,0,0,6,1,0,승
7.7일,18:00,두산 베어스,8,0,0,4,0,0,패
7.9화,18:30,롯데 자이언츠,6,0,2,5,0,0,패
7.9화,18:30,키움 히어로즈,7,1,0,3,0,1,승
7.9화,18:30,NC 다이노스,7,0,1,11,0,0,패
7.9화,18:30,LG 트윈스,8,0,0,2,1,1,승
7.9화,18:30,두산 베어스,10,0,6,9,0,0,승
7.9화,18:30,한화 이글스,3,0,1,7,2,1,패
7.9화,18:30,SK 와이번스,12,1,5,10,1,0,승
7.9화,18:30,삼성 라이온즈,4,2,0,8,0,3,패
7.10수,18:30,롯데 자이언츠,13,1,2,9,0,0,승
