지점,location,day_text,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),현지기압(hPa),지면온도(°C)
102,백령도,2018-04-01 1:00,7.8,,2.9,160,97,999.9,7.9
102,백령도,2018-04-01 2:00,7.9,,1.8,140,97,999.8,7.9
102,백령도,2018-04-01 3:00,7.2,,3,90,97,1000.1,7.7
102,백령도,2018-04-01 4:00,7.8,,1.7,90,97,999.8,7.8
102,백령도,2018-04-01 5:00,7.9,,2.2,110,97,999.6,7.9
102,백령도,2018-04-01 6:00,7.7,,6.1,140,97,997.8,7.6
102,백령도,2018-04-01 7:00,7.8,,5.8,140,97,997.2,7.9
102,백령도,2018-04-01 8:00,7.2,,4.3,140,97,998.6,8
102,백령도,2018-04-01 9:00,7.6,,5,140,97,999.1,9.3
102,백령도,2018-04-01 10:00,6.9,,4.7,110,97,999.3,10.7
102,백령도,2018-04-01 11:00,8.2,,2,110,97,999.7,12.7
102,백령도,2018-04-01 12:00,9.8,,3.2,160,97,999.5,14.9
102,백령도,2018-04-01 13:00,11.2,,3.9,160,97,997.8,20.5
102,백령도,2018-04-01 14:00,11.7,,1.7,140,88,997.7,19.3
102,백령도,2018-04-01 15:00,11.4,,2.7,110,84,996.9,19.8
102,백령도,2018-04-01 16:00,9.5,,4.3,110,94,996.3,14.6
102,백령도,2018-04-01 17:00,9.3,,4.3,140,96,996.1,13
102,백령도,2018-04-01 18:00,8.7,,5.7,140,97,996.1,11.1
102,백령도,2018-04-01 19:00,8.3,,6.8,140,97,995.8,9.2
102,백령도,2018-04-01 20:00,8.5,,6.4,140,97,996.4,8.9
102,백령도,2018-04-01 21:00,8,,5.7,110,97,996.6,8.4
102,백령도,2018-04-01 22:00,8,,5,110,97,997.1,8.4
102,백령도,2018-04-01 23:00,8,,4.3,140,97,996.9,8.3
102,백령도,2018-04-02 0:00,8.1,,6.4,160,97,996.4,8.3
102,백령도,2018-04-02 1:00,8,,5.2,160,97,996.5,8.2
102,백령도,2018-04-02 2:00,8.4,,4.8,180,97,996.6,8.4
