day_text,team_text,score_text
6.1목,KIA 타이거즈,7점
6.1목,NC 다이노스,8점
6.1목,롯데 자이언츠,2점
6.1목,삼성 라이온즈,13점
6.1목,두산 베어스,8점
6.1목,한화 이글스,6점
6.1목,SK 와이번스,10점
6.1목,kt wiz,4점
6.1목,키움 히어로즈,1점
6.1목,LG 트윈스,6점
6.2금,KIA 타이거즈,1점
6.2금,삼성 라이온즈,5점
6.2금,kt wiz,11점
6.2금,롯데 자이언츠,8점
6.2금,NC 다이노스,4점
6.2금,LG 트윈스,1점
6.2금,두산 베어스,15점
6.2금,키움 히어로즈,4점
6.2금,SK 와이번스,4점
6.2금,한화 이글스,5점
6.3토,KIA 타이거즈,5점
6.3토,삼성 라이온즈,6점
6.3토,kt wiz,10점
6.3토,롯데 자이언츠,1점
6.3토,NC 다이노스,4점
6.3토,LG 트윈스,3점
6.3토,두산 베어스,5점
6.3토,키움 히어로즈,8점
6.3토,SK 와이번스,5점
6.3토,한화 이글스,2점
6.4일,KIA 타이거즈,13점
6.4일,삼성 라이온즈,3점
6.4일,kt wiz,8점
6.4일,롯데 자이언츠,14점
6.4일,NC 다이노스,6점
6.4일,LG 트윈스,5점
6.4일,두산 베어스,6점
6.4일,키움 히어로즈,1점
6.4일,SK 와이번스,7점
6.4일,한화 이글스,4점
6.6화,삼성 라이온즈,12점
6.6화,두산 베어스,10점
6.6화,키움 히어로즈,5점
6.6화,SK 와이번스,6점
6.6화,롯데 자이언츠,5점
6.6화,NC 다이노스,4점
6.7수,한화 이글스,0점
6.7수,KIA 타이거즈,7점
6.7수,LG 트윈스,11점
6.7수,kt wiz,7점
6.7수,롯데 자이언츠,4점
6.7수,NC 다이노스,12점
6.7수,삼성 라이온즈,7점
6.7수,두산 베어스,9점
6.7수,키움 히어로즈,6점
6.7수,SK 와이번스,2점
6.8목,한화 이글스,4점
6.8목,KIA 타이거즈,8점
6.8목,LG 트윈스,5점
6.8목,kt wiz,4점
6.8목,롯데 자이언츠,0점
6.8목,NC 다이노스,16점
6.8목,삼성 라이온즈,3점
6.8목,두산 베어스,4점
6.8목,키움 히어로즈,6점
6.8목,SK 와이번스,2점
6.9금,kt wiz,5점
6.9금,NC 다이노스,6점
6.9금,두산 베어스,4점
6.9금,롯데 자이언츠,0점
6.9금,SK 와이번스,1점
6.9금,LG 트윈스,3점
6.9금,삼성 라이온즈,8점
6.9금,한화 이글스,5점
6.9금,키움 히어로즈,7점
6.9금,KIA 타이거즈,5점
6.10토,kt wiz,1점
6.10토,NC 다이노스,4점
6.10토,두산 베어스,6점
6.10토,롯데 자이언츠,7점
6.10토,SK 와이번스,4점
6.10토,LG 트윈스,3점
6.10토,삼성 라이온즈,2점
6.10토,한화 이글스,10점
6.10토,키움 히어로즈,8점
6.10토,KIA 타이거즈,4점
6.11일,kt wiz,0점
6.11일,NC 다이노스,5점
6.11일,두산 베어스,4점
6.11일,롯데 자이언츠,7점
6.11일,SK 와이번스,1점
6.11일,LG 트윈스,19점
6.11일,삼성 라이온즈,7점
6.11일,한화 이글스,4점
6.11일,키움 히어로즈,2점
6.11일,KIA 타이거즈,6점
6.13화,한화 이글스,11점
6.13화,SK 와이번스,8점
6.13화,KIA 타이거즈,10점
6.13화,롯데 자이언츠,7점
6.13화,kt wiz,0점
6.13화,삼성 라이온즈,4점
6.13화,LG 트윈스,4점
6.13화,두산 베어스,7점
6.13화,NC 다이노스,14점
6.13화,키움 히어로즈,5점
6.14수,한화 이글스,3점
6.14수,SK 와이번스,6점
6.14수,KIA 타이거즈,6점
6.14수,롯데 자이언츠,3점
6.14수,kt wiz,7점
6.14수,삼성 라이온즈,5점
6.14수,LG 트윈스,5점
6.14수,두산 베어스,1점
6.14수,NC 다이노스,4점
6.14수,키움 히어로즈,8점
6.15목,한화 이글스,3점
6.15목,SK 와이번스,4점
6.15목,KIA 타이거즈,7점
6.15목,롯데 자이언츠,5점
6.15목,kt wiz,2점
6.15목,삼성 라이온즈,6점
6.15목,LG 트윈스,12점
6.15목,두산 베어스,6점
6.15목,NC 다이노스,9점
6.15목,키움 히어로즈,8점
6.16금,한화 이글스,15점
6.16금,kt wiz,14점
6.16금,LG 트윈스,9점
6.16금,KIA 타이거즈,8점
6.16금,롯데 자이언츠,1점
6.16금,키움 히어로즈,2점
6.16금,NC 다이노스,11점
6.16금,두산 베어스,5점
6.16금,SK 와이번스,2점
6.16금,삼성 라이온즈,1점
6.17토,한화 이글스,9점
6.17토,kt wiz,1점
6.17토,LG 트윈스,3점
6.17토,KIA 타이거즈,4점
6.17토,롯데 자이언츠,2점
6.17토,키움 히어로즈,8점
6.17토,NC 다이노스,4점
6.17토,두산 베어스,14점
6.17토,SK 와이번스,14점
6.17토,삼성 라이온즈,10점
6.18일,한화 이글스,13점
6.18일,kt wiz,5점
6.18일,LG 트윈스,16점
6.18일,KIA 타이거즈,8점
6.18일,롯데 자이언츠,3점
6.18일,키움 히어로즈,14점
6.18일,NC 다이노스,11점
6.18일,두산 베어스,13점
6.18일,SK 와이번스,5점
6.18일,삼성 라이온즈,7점
6.20화,롯데 자이언츠,10점
6.20화,kt wiz,2점
6.20화,NC 다이노스,1점
6.20화,SK 와이번스,7점
6.20화,삼성 라이온즈,3점
6.20화,LG 트윈스,5점
6.20화,키움 히어로즈,5점
6.20화,한화 이글스,6점
6.21수,롯데 자이언츠,10점
6.21수,kt wiz,4점
6.21수,NC 다이노스,2점
6.21수,SK 와이번스,1점
6.21수,두산 베어스,8점
6.21수,KIA 타이거즈,20점
6.21수,삼성 라이온즈,10점
6.21수,LG 트윈스,3점
6.21수,키움 히어로즈,6점
6.21수,한화 이글스,5점
6.22목,롯데 자이언츠,3점
6.22목,kt wiz,10점
6.22목,NC 다이노스,6점
6.22목,SK 와이번스,13점
6.22목,두산 베어스,5점
6.22목,KIA 타이거즈,11점
6.22목,삼성 라이온즈,5점
6.22목,LG 트윈스,1점
6.22목,키움 히어로즈,12점
6.22목,한화 이글스,13점
6.23금,한화 이글스,3점
6.23금,삼성 라이온즈,5점
6.23금,KIA 타이거즈,1점
6.23금,NC 다이노스,4점
6.23금,kt wiz,2점
6.23금,SK 와이번스,4점
6.23금,LG 트윈스,3점
6.23금,키움 히어로즈,8점
6.23금,롯데 자이언츠,1점
6.23금,두산 베어스,9점
6.24토,한화 이글스,2점
6.24토,삼성 라이온즈,8점
