day_text,team_text,score_text
8.23수,kt wiz,9점
8.23수,롯데 자이언츠,7점
8.23수,KIA 타이거즈,5점
8.23수,NC 다이노스,3점
8.23수,LG 트윈스,9점
8.23수,두산 베어스,4점
8.23수,SK 와이번스,1점
8.23수,삼성 라이온즈,1점
8.23수,키움 히어로즈,5점
8.24목,kt wiz,1점
8.24목,NC 다이노스,7점
8.24목,LG 트윈스,0점
8.24목,롯데 자이언츠,11점
8.24목,SK 와이번스,9점
8.24목,삼성 라이온즈,7점
8.24목,키움 히어로즈,5점
8.24목,두산 베어스,6점
8.25금,KIA 타이거즈,3점
8.25금,한화 이글스,6점
8.25금,kt wiz,5점
8.25금,NC 다이노스,7점
8.25금,LG 트윈스,2점
8.25금,롯데 자이언츠,8점
8.25금,SK 와이번스,7점
8.25금,삼성 라이온즈,5점
8.25금,키움 히어로즈,3점
8.25금,두산 베어스,4점
8.26토,한화 이글스,1점
8.26토,SK 와이번스,2점
8.26토,KIA 타이거즈,8점
8.26토,NC 다이노스,7점
8.26토,kt wiz,8점
8.26토,삼성 라이온즈,14점
8.26토,LG 트윈스,4점
8.26토,두산 베어스,5점
8.26토,키움 히어로즈,1점
8.26토,롯데 자이언츠,6점
8.27일,한화 이글스,2점
8.27일,SK 와이번스,4점
8.27일,KIA 타이거즈,4점
8.27일,NC 다이노스,5점
8.27일,kt wiz,3점
8.27일,삼성 라이온즈,2점
8.27일,LG 트윈스,1점
8.27일,두산 베어스,1점
8.27일,키움 히어로즈,9점
8.27일,롯데 자이언츠,8점
8.29화,KIA 타이거즈,10점
8.29화,삼성 라이온즈,9점
8.29화,LG 트윈스,4점
8.29화,한화 이글스,8점
8.29화,롯데 자이언츠,5점
8.29화,두산 베어스,7점
8.29화,NC 다이노스,13점
8.29화,kt wiz,2점
8.29화,SK 와이번스,4점
8.29화,키움 히어로즈,8점
8.30수,KIA 타이거즈,5점
8.30수,삼성 라이온즈,1점
8.30수,LG 트윈스,6점
8.30수,한화 이글스,5점
8.30수,롯데 자이언츠,5점
8.30수,두산 베어스,2점
8.30수,NC 다이노스,5점
8.30수,kt wiz,9점
8.30수,SK 와이번스,0점
8.30수,키움 히어로즈,10점
8.31목,kt wiz,1점
8.31목,한화 이글스,10점
8.31목,NC 다이노스,5점
8.31목,롯데 자이언츠,8점
8.31목,두산 베어스,4점
8.31목,KIA 타이거즈,9점
8.31목,삼성 라이온즈,4점
8.31목,SK 와이번스,5점
8.31목,키움 히어로즈,5점
8.31목,LG 트윈스,3점
