day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,location,temp,rain,humidity,,,,,,,,,
6.27,키움 히어로즈,9,0,6,4,0,1,1,서울,28,0,41,,,,,,,,,
6.28,키움 히어로즈,7,0,0,6,0,2,0,서울,27.4,0,46,,,,,,,,,
6.29,키움 히어로즈,5,0,0,6,0,1,0,대구,28.1,0,49,,,,,,,,,
7.1일,키움 히어로즈,7,0,0,7,1,2,0,대구,28.6,0,46,,,,,,,,,
7.3화,키움 히어로즈,7,1,1,8,0,1,1,서울,21,16.5,92,,,,,,,,,
7.4수,키움 히어로즈,11,1,3,6,0,0,1,서울,24.9,0,76,,,,,,,,,
7.7토,키움 히어로즈,16,1,3,1,0,0,1,서울,29.2,0,47,,,,,,,,,
7.8일,키움 히어로즈,9,0,1,12,1,1,0,서울,28.7,0,55,,,,,,,,,
7.11수,키움 히어로즈,10,2,0,9,1,0,1,인천,22.8,0,91,,,,,,,,,
7.12목,키움 히어로즈,6,1,0,8,0,1,0,인천,26.4,0,78,,,,,,,,,
7.13금,키움 히어로즈,12,0,3,1,0,1,1,서울,28.6,0,65,,,,,,,,,
7.17화,키움 히어로즈,9,0,4,4,0,0,1,서울,27.9,0,63,,,,,,,,,
7.18수,키움 히어로즈,7,0,2,4,2,2,0,서울,27.6,0,81,,,,,,,,,
7.19목,키움 히어로즈,6,0,2,7,0,0,1,서울,23.4,0,85,,,,,,,,,
7.24화,키움 히어로즈,8,1,0,5,0,0,1,광주,30.8,0,67,,,,,,,,,
7.25수,키움 히어로즈,6,0,2,6,0,0,0,광주,31.5,0,63,,,,,,,,,
7.26목,키움 히어로즈,4,0,0,7,1,1,0,광주,31.4,0,59,,,,,,,,,
7.27금,키움 히어로즈,11,0,2,7,1,1,0,서울,30.1,0,59,,,,,,,,,
7.28토,키움 히어로즈,3,0,1,8,0,0,0,서울,31.4,0,55,,,,,,,,,
7.29일,키움 히어로즈,10,0,0,6,1,0,0,서울,31.7,0,57,,,,,,,,,
7.31화,키움 히어로즈,12,3,0,9,1,2,1,인천,29.1,0,77,,,,,,,,,
8.1,키움 히어로즈,6,3,0,8,0,1,0,인천,32.7,0,0,,,,,,,,,
8.2,키움 히어로즈,6,1,0,12,0,1,0,인천,33.6,0,0,,,,,,,,,
8.3,키움 히어로즈,6,1,0,5,0,1,0,서울,34.4,0,0,,,,,,,,,
8.4,키움 히어로즈,6,1,0,8,0,1,1,서울,35.5,0,0,,,,,,,,,
8.5,키움 히어로즈,10,1,1,4,0,1,1,서울,34.7,0,0,,,,,,,,,
8.7,키움 히어로즈,4,1,3,6,0,0,0,광주,31.1,0,0,,,,,,,,,
8.8,키움 히어로즈,1,0,1,9,0,0,0,광주,31.1,0,0,,,,,,,,,
8.9,키움 히어로즈,3,0,0,10,0,0,0,광주,29.6,0,0,,,,,,,,,
8.1,키움 히어로즈,5,0,0,12,0,0,0,서울,28.3,0,0,,,,,,,,,
8.11,키움 히어로즈,8,0,3,0,0,1,1,서울,30.1,0,0,,,,,,,,,
8.16,키움 히어로즈,11,0,1,10,0,0,1,서울,28.5,0,0,,,,,,,,,
8.17,키움 히어로즈,7,0,1,9,0,1,1,부산,29.9,0,0,,,,,,,,,
8.18,키움 히어로즈,10,0,0,6,2,0,0,부산,29.2,0,0,,,,,,,,,
8.19,키움 히어로즈,5,0,0,5,0,1,0,부산,29.4,0,0,,,,,,,,,
8.22,키움 히어로즈,7,0,1,7,1,0,1,서울,23.2,0,0,,,,,,,,,
8.23,키움 히어로즈,8,0,0,6,2,0,0,서울,24.4,0,0,,,,,,,,,
8.24,키움 히어로즈,8,0,1,7,0,0,1,서울,24.9,0,0,,,,,,,,,
8.25,키움 히어로즈,10,0,1,4,2,1,0,서울,28.2,0,0,,,,,,,,,
8.26,키움 히어로즈,6,1,3,5,2,0,1,서울,31.6,0,0,,,,,,,,,
8.29,키움 히어로즈,12,1,1,13,1,1,0,대전,28.2,0,0,,,,,,,,,
8.31,키움 히어로즈,10,0,5,7,0,0,1,대구,26,0,0,,,,,,,,,
9.1토,키움 히어로즈,7,2,1,8,0,0,0,대구,26.8,0,57,,,,,,,,,
9.2일,키움 히어로즈,7,1,1,9,0,0,0,대구,28.7,0,44,,,,,,,,,
