day_text,time_text,team_text,location,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,temp,rain,wind,d_wind,humidity,atmosphere,surface
4.1일,14:00,KIA 타이거즈,광주,9,2,0,2,1,0,패,21.8,,4.7,230,64,1008.3,28.9
4.1일,14:00,LG 트윈스,광주,10,1,0,3,0,0,승,21.8,,4.7,230,64,1008.3,28.9
4.1일,14:00,NC 다이노스,창원,7,0,1,6,0,1,패,21.3,,2.6,140,60,1012.3,26.3
4.1일,14:00,롯데 자이언츠,창원,10,0,0,5,1,0,승,21.3,,2.6,140,60,1012.3,26.3
4.1일,14:00,두산 베어스,서울,10,1,1,10,0,1,패,17.5,,2.1,200,67,1006.1,18
4.1일,14:00,kt wiz,서울,13,4,1,7,1,0,승,17.5,,2.1,200,67,1006.1,18
4.1일,14:00,키움 히어로즈,서울,9,2,3,6,0,1,패,17.5,,2.1,200,67,1006.1,18
4.1일,14:00,삼성 라이온즈,서울,14,1,2,9,0,2,승,17.5,,2.1,200,67,1006.1,18
4.1일,14:00,SK 와이번스,인천,15,6,1,5,0,0,승,15.3,,1.3,250,80,1008,16
4.1일,14:00,한화 이글스,인천,4,1,0,10,0,1,패,15.3,,1.3,250,80,1008,16
4.3화,19:00,KIA 타이거즈,광주,5,2,0,7,0,0,패,21.3,,4.8,230,67,1008.4,20.1
4.3화,19:00,SK 와이번스,광주,14,6,0,7,0,1,승,21.3,,4.8,230,67,1008.4,20.1
4.3화,19:00,kt wiz,수원,11,1,0,9,0,0,승,18.3,,2.7,290,71,1011.5,15.7
4.3화,19:00,키움 히어로즈,수원,6,0,0,7,1,1,패,18.3,,2.7,290,71,1011.5,15.7
4.3화,19:00,LG 트윈스,서울,16,2,1,11,1,1,패,18,,3.1,290,74,1005.5,16.6
4.3화,19:00,두산 베어스,서울,12,1,2,10,0,0,승,18,,3.1,290,74,1005.5,16.6
4.3화,19:00,롯데 자이언츠,부산,15,1,0,11,1,2,패,18.1,,7.8,230,78,1008.6,18.7
