day_text.1,time_text,team_text,location,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,temp,rain,wind,d_wind,humidity,atmosphere,surface
4.1금,19:00,한화 이글스,대전,13,0,0,10,1,2,패,19.4,,2.1,200,27,1006.1,16.9
4.1금,19:00,LG 트윈스,대전,9,1,2,11,0,0,승,19.4,,2.1,200,27,1006.1,16.9
4.1금,19:00,KIA 타이거즈,광주,8,1,0,10,1,0,패,18.4,,2.7,250,26,1006.3,15.7
4.1금,19:00,NC 다이노스,광주,9,2,0,9,1,1,승,18.4,,2.7,250,26,1006.3,15.7
4.1금,19:00,kt wiz,수원,11,2,2,7,0,0,승,16.6,,1.6,270,24,1010.8,12.2
4.1금,19:00,SK 와이번스,수원,10,1,0,7,1,1,패,16.6,,1.6,270,24,1010.8,12.2
4.1금,19:00,롯데 자이언츠,부산,11,0,1,6,2,1,승,16.4,,3.1,70,51,1007.3,15.1
4.1금,19:00,키움 히어로즈,부산,6,0,0,6,0,1,패,16.4,,3.1,70,51,1007.3,15.1
4.1금,19:00,두산 베어스,서울,8,2,2,3,1,0,승,17.3,,1.8,290,20,1004.4,12.9
4.1금,19:00,삼성 라이온즈,서울,8,0,1,6,2,2,패,17.3,,1.8,290,20,1004.4,12.9
4.2토,14:00,롯데 자이언츠,부산,8,0,2,9,0,1,패,17.6,,2.6,230,71,1010.5,31
4.2토,14:00,키움 히어로즈,부산,9,0,1,6,1,0,승,17.6,,2.6,230,71,1010.5,31
4.2토,17:00,한화 이글스,대전,13,0,0,9,0,2,패,23.3,,2.4,250,19,1008.1,27.3
4.2토,17:00,LG 트윈스,대전,12,1,1,9,0,1,승,23.3,,2.4,250,19,1008.1,27.3
4.2토,17:00,KIA 타이거즈,광주,8,1,1,8,0,0,승,21.8,,3.6,230,40,1008.3,25.6
4.2토,17:00,NC 다이노스,광주,7,1,1,5,1,0,패,21.8,,3.6,230,40,1008.3,25.6
4.2토,17:00,kt wiz,수원,8,0,0,3,2,1,패,19,,1.9,290,36,1013.5,16.9
4.2토,17:00,SK 와이번스,수원,10,1,2,6,1,2,승,19,,1.9,290,36,1013.5,16.9
4.2토,17:00,두산 베어스,서울,12,1,1,6,1,1,패,18.7,,3.6,270,28,1006.7,21.3
4.2토,17:00,삼성 라이온즈,서울,16,2,1,7,1,0,승,18.7,,3.6,270,28,1006.7,21.3
4.3일,14:00,kt wiz,수원,7,1,0,9,0,0,승,12.3,0,0,0,85,1013.9,13.3
4.3일,14:00,SK 와이번스,수원,8,0,1,4,0,1,패,12.3,0,0,0,85,1013.9,13.3
4.3일,14:00,롯데 자이언츠,부산,12,0,0,5,1,0,패,15.5,0,4.1,90,83,1007.8,17.3
4.3일,14:00,키움 히어로즈,부산,11,0,3,7,0,1,승,15.5,0,4.1,90,83,1007.8,17.3
4.5화,19:00,LG 트윈스,서울,7,0,1,9,0,1,패,12.5,,3.6,290,33,1005.5,11.9
4.5화,19:00,KIA 타이거즈,서울,6,1,0,10,2,0,승,12.5,,3.6,290,33,1005.5,11.9
4.5화,19:00,키움 히어로즈,서울,7,1,2,11,1,1,패,12.5,,3.6,290,33,1005.5,11.9
4.5화,19:00,한화 이글스,서울,13,0,1,1,1,2,승,12.5,,3.6,290,33,1005.5,11.9
4.5화,19:00,NC 다이노스,창원,5,0,0,9,1,0,패,14.4,,0.8,250,54,1010.7,11.9
4.5화,19:00,두산 베어스,창원,6,0,2,5,0,0,승,14.4,,0.8,250,54,1010.7,11.9
4.5화,19:00,SK 와이번스,인천,4,0,1,12,0,2,패,10,,2.7,250,70,1007.8,9.2
4.5화,19:00,롯데 자이언츠,인천,5,0,0,7,0,1,승,10,,2.7,250,70,1007.8,9.2
4.5화,19:00,삼성 라이온즈,대구,10,0,0,6,1,0,패,18.3,,2.1,320,20,1007.9,13.6
4.5화,19:00,kt wiz,대구,11,1,2,6,1,3,승,18.3,,2.1,320,20,1007.9,13.6
4.6수,19:00,NC 다이노스,창원,2,0,0,12,1,3,패,12.8,0,0.5,160,73,1010.3,12.7
4.6수,19:00,두산 베어스,창원,5,1,0,8,0,0,승,12.8,0,0.5,160,73,1010.3,12.7
4.6수,19:00,SK 와이번스,인천,1,0,0,2,1,1,패,15.2,,5.4,250,65,1003.1,13.8
4.6수,19:00,롯데 자이언츠,인천,14,3,1,2,0,1,승,15.2,,5.4,250,65,1003.1,13.8
4.6수,19:00,삼성 라이온즈,대구,14,0,2,3,1,2,승,15.7,0.3,1.7,160,46,1008.9,13.7
4.6수,19:00,kt wiz,대구,7,3,0,6,0,2,패,15.7,0.3,1.7,160,46,1008.9,13.7
4.6수,19:00,키움 히어로즈,서울,6,0,0,12,0,0,승,20.5,,1.8,180,20,1000.9,16.2
4.6수,19:00,한화 이글스,서울,11,2,1,5,1,1,패,20.5,,1.8,180,20,1000.9,16.2
4.7목,19:00,LG 트윈스,서울,11,2,2,9,0,0,승,15.5,,3.9,290,62,999.5,13.8
4.7목,19:00,KIA 타이거즈,서울,9,0,1,6,1,0,패,15.5,,3.9,290,62,999.5,13.8
4.7목,19:00,키움 히어로즈,서울,7,2,1,4,1,0,승,15.5,,3.9,290,62,999.5,13.8
4.7목,19:00,한화 이글스,서울,12,2,0,10,0,1,패,15.5,,3.9,290,62,999.5,13.8
4.7목,19:00,NC 다이노스,창원,15,0,0,4,0,0,승,13.7,,0.8,160,85,1005.6,13.5
4.7목,19:00,두산 베어스,창원,10,0,0,9,1,0,패,13.7,,0.8,160,85,1005.6,13.5
4.7목,19:00,SK 와이번스,인천,12,3,2,5,0,0,승,13.9,,1.5,250,88,1001.7,12.2
4.7목,19:00,롯데 자이언츠,인천,5,1,0,8,0,0,패,13.9,,1.5,250,88,1001.7,12.2
4.7목,19:00,삼성 라이온즈,대구,9,1,3,4,0,1,승,16.9,,2.1,290,65,1003.4,14.1
4.7목,19:00,kt wiz,대구,4,0,0,9,0,1,패,16.9,,2.1,290,65,1003.4,14.1
4.8금,19:00,한화 이글스,대전,5,1,0,9,1,1,패,16.7,,2.9,200,59,1006.4,14.3
