day_text.1,time_text,team_text,location,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,temp,rain,wind,d_wind,humidity,atmosphere,surface
4.8수,19:00,삼성 라이온즈,부산,5,1,1,8,0,1,승,8.6,,4,70,67,1017,8.7
4.8수,19:00,NC 다이노스,창원,14,3,0,5,0,0,승,10,,2.4,180,59,1020.5,9.8
4.8수,19:00,KIA 타이거즈,창원,5,1,1,7,0,0,패,10,,2.4,180,59,1020.5,9.8
4.9목,19:00,kt wiz,수원,7,1,0,8,0,0,패,10.6,,2.4,270,43,1019.4,9.2
4.9목,19:00,SK 와이번스,수원,16,3,0,10,1,0,승,10.6,,2.4,270,43,1019.4,9.2
4.9목,19:00,LG 트윈스,서울,5,0,1,5,3,1,패,11.2,,4,270,39,1012.8,9.1
4.9목,19:00,한화 이글스,서울,7,1,0,9,0,1,승,11.2,,4,270,39,1012.8,9.1
4.9목,19:00,키움 히어로즈,서울,0,0,0,8,0,2,패,11.2,,4,270,39,1012.8,9.1
4.9목,19:00,두산 베어스,서울,5,0,3,6,1,0,승,11.2,,4,270,39,1012.8,9.1
4.9목,19:00,롯데 자이언츠,부산,9,1,1,4,1,0,패,9.8,,3.2,50,67,1015.3,10.3
4.9목,19:00,삼성 라이온즈,부산,11,3,2,5,0,0,승,9.8,,3.2,50,67,1015.3,10.3
4.9목,19:00,NC 다이노스,창원,13,1,4,11,0,1,승,10.6,,2.6,200,62,1018.7,10.3
4.9목,19:00,KIA 타이거즈,창원,7,2,1,5,1,0,패,10.6,,2.6,200,62,1018.7,10.3
4.10금,19:00,한화 이글스,대전,14,1,0,12,2,0,패,15,,1.9,340,41,1012.8,12.4
4.10금,19:00,롯데 자이언츠,대전,10,2,2,20,0,3,승,15,,1.9,340,41,1012.8,12.4
4.10금,19:00,KIA 타이거즈,광주,10,1,0,13,1,1,패,13.9,,1.7,340,38,1012.6,11.8
4.10금,19:00,삼성 라이온즈,광주,12,3,1,10,0,0,승,13.9,,1.7,340,38,1012.6,11.8
4.10금,19:00,kt wiz,수원,5,0,0,16,0,1,패,12.1,,3.2,290,38,1017.7,9.5
4.10금,19:00,키움 히어로즈,수원,6,1,0,8,0,0,승,12.1,,3.2,290,38,1017.7,9.5
4.10금,19:00,두산 베어스,서울,5,0,2,5,2,0,패,13.4,,4.7,270,36,1011.2,10.7
4.10금,19:00,LG 트윈스,서울,9,1,0,9,0,0,승,13.4,,4.7,270,36,1011.2,10.7
4.10금,19:00,SK 와이번스,인천,6,0,0,5,1,1,승,11.7,,2.7,340,54,1013.4,8.7
4.10금,19:00,NC 다이노스,인천,2,0,0,9,1,1,패,11.7,,2.7,340,54,1013.4,8.7
4.11토,17:00,한화 이글스,대전,8,2,2,6,1,1,승,21.5,,0.9,90,21,1014.3,25.2
4.11토,17:00,롯데 자이언츠,대전,3,0,1,8,1,4,패,21.5,,0.9,90,21,1014.3,25.2
4.11토,17:00,KIA 타이거즈,광주,6,0,0,11,1,0,패,21.4,,3.6,230,22,1014.3,23.4
4.11토,17:00,삼성 라이온즈,광주,10,2,2,7,1,1,승,21.4,,3.6,230,22,1014.3,23.4
4.11토,17:00,kt wiz,수원,10,0,1,6,0,0,승,19,,3.6,290,25,1019.6,14.9
4.11토,17:00,키움 히어로즈,수원,9,0,0,12,0,3,패,19,,3.6,290,25,1019.6,14.9
4.11토,17:00,두산 베어스,서울,12,1,2,4,0,2,승,19,,4.1,270,20,1013.1,18.7
4.11토,17:00,LG 트윈스,서울,10,2,1,5,2,3,패,19,,4.1,270,20,1013.1,18.7
