day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text
10.1월,롯데 자이언츠,5,0,0,7,0,1,패
10.1월,KIA 타이거즈,11,1,0,6,0,0,승
10.1월,두산 베어스,4,0,1,6,0,1,패
10.1월,키움 히어로즈,7,1,1,5,0,0,승
10.1월,SK 와이번스,6,3,0,9,0,1,승
10.1월,한화 이글스,8,0,1,10,0,1,패
10.1월,삼성 라이온즈,17,2,0,4,0,0,승
10.1월,LG 트윈스,9,0,0,4,1,0,패
10.2화,롯데 자이언츠,12,1,0,8,1,1,승
10.2화,KIA 타이거즈,7,0,1,8,1,0,패
10.2화,두산 베어스,9,1,0,2,1,3,승
10.2화,키움 히어로즈,3,0,1,9,0,0,패
10.2화,SK 와이번스,11,0,2,8,1,1,패
10.2화,한화 이글스,10,1,1,6,0,0,승
10.2화,삼성 라이온즈,8,0,1,3,0,0,승
10.2화,LG 트윈스,8,0,0,6,1,0,패
10.3수,KIA 타이거즈,7,1,0,7,1,0,승
10.3수,한화 이글스,10,0,3,7,0,2,패
10.3수,두산 베어스,4,1,1,3,1,0,패
10.3수,삼성 라이온즈,8,0,1,8,2,1,승
10.3수,SK 와이번스,6,1,1,2,0,0,패
10.3수,LG 트윈스,8,1,0,8,1,1,승
10.4목,SK 와이번스,5,1,2,7,0,0,패
10.4목,삼성 라이온즈,6,0,0,5,0,0,승
10.4목,키움 히어로즈,5,1,0,13,0,0,무
10.4목,한화 이글스,7,1,1,12,1,0,무
10.5금,롯데 자이언츠,16,0,0,9,1,1,승
10.5금,SK 와이번스,10,1,3,10,1,1,패
10.5금,삼성 라이온즈,4,0,0,8,1,0,패
10.5금,KIA 타이거즈,9,0,0,4,0,0,승
10.5금,키움 히어로즈,6,1,0,4,1,1,패
10.5금,두산 베어스,8,1,0,6,1,0,승
10.6토,LG 트윈스,6,0,0,7,1,0,승
10.6토,두산 베어스,5,0,0,10,0,0,패
10.6토,롯데 자이언츠,7,0,3,10,0,1,패
10.6토,SK 와이번스,9,0,2,4,1,0,승
10.6토,삼성 라이온즈,11,0,1,4,1,0,승
10.6토,KIA 타이거즈,5,0,0,10,0,0,패
10.8월,롯데 자이언츠,12,1,0,5,0,4,승
10.8월,두산 베어스,10,0,0,5,1,1,패
10.9화,롯데 자이언츠,8,1,1,3,1,0,승
10.9화,두산 베어스,7,0,1,4,1,1,패
10.11목,두산 베어스,10,1,2,4,0,0,무
10.11목,롯데 자이언츠,9,0,0,7,2,1,무
10.12금,두산 베어스,7,1,0,7,0,1,패
10.12금,롯데 자이언츠,12,0,0,5,2,0,승
10.16화,롯데 자이언츠,5,0,0,14,0,0,패
10.16화,SK 와이번스,6,1,2,8,0,0,승
10.17수,롯데 자이언츠,12,1,0,5,0,1,승
10.17수,SK 와이번스,10,1,4,7,0,1,패
10.19금,SK 와이번스,5,0,0,7,0,1,패
10.19금,롯데 자이언츠,9,0,2,5,0,0,승
10.20토,SK 와이번스,8,0,3,8,0,0,승
10.20토,롯데 자이언츠,6,1,0,9,1,1,패
10.22월,롯데 자이언츠,7,0,2,9,0,2,패
10.22월,SK 와이번스,8,0,1,6,1,2,승
10.24수,SK 와이번스,5,0,1,6,0,0,패
10.24수,삼성 라이온즈,5,1,0,6,0,1,승
10.25목,SK 와이번스,5,1,0,9,1,1,패
10.25목,삼성 라이온즈,7,1,0,9,0,0,승
10.28일,삼성 라이온즈,8,1,0,6,0,3,패
10.28일,SK 와이번스,17,3,2,7,0,1,승
10.29월,삼성 라이온즈,8,0,0,9,0,0,패
10.29월,SK 와이번스,8,2,0,10,0,0,승
10.31수,SK 와이번스,6,0,1,9,0,1,패
10.31수,삼성 라이온즈,5,0,1,2,0,1,승
