day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,game_location,기온(°C),강수량(mm),습도(%),,,,지점명,일시,기온(°C),강수량(mm),습도(%)
7.14,두산 베어스,17,0,1,3,2,0,패,인천,,,,,,,서울,6.2,25.5,,41
7.14,SK 와이번스,10,1,0,9,0,1,승,인천,,,,,,,서울,6.3,26.9,,25
7.15,KIA 타이거즈,9,0,1,7,1,0,패,대구,,,,,,,서울,6.4,27.4,,26
7.15,삼성 라이온즈,13,4,0,5,0,2,승,대구,,,,,,,서울,6.5,24.2,,57
7.17,롯데 자이언츠,9,0,1,6,1,0,패,서울,,,,,,,서울,6.6,25.2,,49
7.17,키움 히어로즈,9,0,4,4,0,0,승,서울,,,,,,,서울,6.7,26.3,,51
7.17,두산 베어스,10,1,0,8,0,1,승,광주,,,,,,,서울,6.8,24.3,,53
7.17,KIA 타이거즈,7,0,0,8,0,0,패,광주,,,,,,,서울,6.9,27.3,,47
7.17,SK 와이번스,7,0,0,6,0,0,패,서울,,,,,,,서울,6.10,25.8,,52
7.17,LG 트윈스,6,0,0,3,0,0,승,서울,,,,,,,서울,6.11,24.6,,51
7.18,롯데 자이언츠,11,0,1,6,0,0,승,서울,,,,,,,서울,6.12,21.6,0.1,73
7.18,키움 히어로즈,7,0,2,4,2,2,패,서울,,,,,,,서울,6.13,27.3,,43
7.18,두산 베어스,4,0,0,6,0,0,패,광주,,,,,,,서울,6.14,29.5,,33
7.18,KIA 타이거즈,8,2,0,4,0,0,승,광주,,,,,,,서울,6.15,25,,51
7.18,SK 와이번스,9,0,2,10,1,0,패,서울,,,,,,,서울,6.16,24.5,,60
7.18,LG 트윈스,13,2,1,5,0,1,승,서울,,,,,,,서울,6.17,27.5,,31
7.18,삼성 라이온즈,16,2,0,6,0,1,승,대전,,,,,,,서울,6.18,26.8,,38
7.18,한화 이글스,12,0,1,9,1,0,패,대전,,,,,,,서울,6.19,27.2,,37
7.19,롯데 자이언츠,11,0,3,3,1,0,패,서울,,,,,,,서울,6.20,28.6,,36
7.19,키움 히어로즈,6,0,2,7,0,0,승,서울,,,,,,,서울,6.21,30.3,,39
7.19,두산 베어스,4,0,0,5,2,0,패,광주,,,,,,,서울,6.22,25.9,,51
7.19,KIA 타이거즈,8,1,0,2,0,0,승,광주,,,,,,,서울,6.23,28.9,,47
7.19,SK 와이번스,17,1,2,5,1,0,승,서울,,,,,,,서울,6.24,31.4,,37
7.19,LG 트윈스,6,0,0,7,1,1,패,서울,,,,,,,서울,6.25,30.5,,33
7.19,삼성 라이온즈,15,0,2,10,0,0,승,대전,,,,,,,서울,6.26,27.3,,37
7.19,한화 이글스,14,1,1,8,1,1,패,대전,,,,,,,서울,6.27,28,,41
7.24,LG 트윈스,13,0,1,1,3,1,패,서울,,,,,,,서울,6.28,27.4,,46
7.24,두산 베어스,14,2,2,5,0,2,승,서울,,,,,,,서울,6.29,27.4,0,57
7.24,롯데 자이언츠,8,1,1,10,0,1,패,대전,,,,,,,서울,6.30,21.3,,82
7.24,한화 이글스,10,0,1,8,0,0,승,대전,,,,,,,서울,7.1,24.9,,67
7.24,SK 와이번스,15,1,2,6,2,0,승,대구,,,,,,,서울,7.2,24.3,,62
7.24,삼성 라이온즈,10,1,2,5,0,1,패,대구,,,,,,,서울,7.3,21,16.5,92
7.24,키움 히어로즈,8,1,0,5,0,0,승,광주,,,,,,,서울,7.4,24.9,,76
7.24,KIA 타이거즈,3,1,0,7,1,0,패,광주,,,,,,,서울,7.5,22.4,0.5,91
7.25,LG 트윈스,7,0,0,2,3,0,패,서울,,,,,,,서울,7.6,19.9,2,88
7.25,두산 베어스,8,0,1,2,0,0,승,서울,,,,,,,서울,7.7,29.2,,47
7.25,롯데 자이언츠,4,1,1,5,0,2,패,대전,,,,,,,서울,7.8,28.7,,55
7.25,한화 이글스,14,1,0,4,1,0,승,대전,,,,,,,서울,7.9,30.9,,45
7.25,SK 와이번스,11,1,1,8,0,1,패,대구,,,,,,,서울,7.10,28,,49
7.25,삼성 라이온즈,9,2,1,2,1,0,승,대구,,,,,,,서울,7.11,24.2,,80
7.25,키움 히어로즈,6,0,2,6,0,0,패,광주,,,,,,,서울,7.12,27.3,,62
7.25,KIA 타이거즈,6,0,1,3,0,0,승,광주,,,,,,,서울,7.13,28.6,,65
7.26,LG 트윈스,7,0,1,5,0,1,승,서울,,,,,,,서울,7.14,21.9,2.5,87
7.26,두산 베어스,6,0,0,6,1,0,패,서울,,,,,,,서울,7.15,20.1,0.5,90
7.26,롯데 자이언츠,12,3,2,8,1,0,승,대전,,,,,,,서울,7.16,24.7,,65
7.26,한화 이글스,8,1,3,10,0,0,패,대전,,,,,,,서울,7.17,27.9,,63
7.26,SK 와이번스,6,0,2,11,1,1,패,대구,,,,,,,서울,7.18,27.6,,81
7.26,삼성 라이온즈,12,0,1,5,1,0,승,대구,,,,,,,서울,7.19,23.4,,85
7.26,키움 히어로즈,4,0,0,7,1,1,패,광주,,,,,,,서울,7.20,28.8,,60
7.26,KIA 타이거즈,14,0,1,6,2,2,승,광주,,,,,,,서울,7.21,30.6,,55
7.27,한화 이글스,9,0,1,7,1,0,승,광주,,,,,,,서울,7.22,29.8,,63
7.27,KIA 타이거즈,5,0,2,11,0,0,패,광주,,,,,,,서울,7.23,28.9,,67
7.27,LG 트윈스,10,1,2,4,0,0,승,인천,,,,,,,서울,7.24,29.5,,66
7.27,SK 와이번스,9,0,1,3,2,2,패,인천,,,,,,,서울,7.25,30.4,,56
7.27,롯데 자이언츠,6,1,0,5,0,0,패,서울,,,,,,,서울,7.26,30.6,,55
7.27,두산 베어스,10,0,1,2,1,1,승,서울,,,,,,,서울,7.27,30.1,,59
7.27,삼성 라이온즈,11,0,3,4,0,1,승,서울,,,,,,,서울,7.28,31.4,,55
7.27,키움 히어로즈,11,0,2,7,1,1,패,서울,,,,,,,서울,7.29,31.7,,57
7.28,한화 이글스,10,2,0,6,1,1,승,광주,,,,,,,서울,7.30,29.7,,65
7.28,KIA 타이거즈,2,0,1,8,0,0,패,광주,,,,,,,서울,7.31,30.4,,59
7.28,LG 트윈스,3,0,1,8,0,0,패,인천,,,,,,,서울,8.1,34.4,,47
7.28,SK 와이번스,5,0,1,9,0,0,승,인천,,,,,,,서울,8.2,34.6,,44
7.28,롯데 자이언츠,5,0,1,6,1,1,패,서울,,,,,,,서울,8.3,34.4,,42
7.28,두산 베어스,8,0,1,2,1,0,승,서울,,,,,,,서울,8.4,35.5,,33
7.28,삼성 라이온즈,6,2,3,10,1,0,승,서울,,,,,,,서울,8.5,34.7,,42
7.28,키움 히어로즈,3,0,1,8,0,0,패,서울,,,,,,,서울,8.6,34,,47
7.29,한화 이글스,11,1,3,9,0,0,승,광주,,,,,,,서울,8.7,34.2,,35
7.29,KIA 타이거즈,7,0,0,5,2,2,패,광주,,,,,,,서울,8.8,32.3,,48
7.29,LG 트윈스,12,1,0,11,2,0,무,인천,,,,,,,서울,8.9,31,,59
7.29,SK 와이번스,10,0,0,4,1,3,무,인천,,,,,,,서울,8.10,28.3,,56
7.29,롯데 자이언츠,8,0,0,4,0,0,승,서울,,,,,,,서울,8.11,30.1,,58
7.29,두산 베어스,9,0,0,6,1,1,패,서울,,,,,,,서울,8.12,24.9,1,90
7.29,삼성 라이온즈,9,4,0,6,0,0,승,서울,,,,,,,서울,8.13,29.8,,57
7.29,키움 히어로즈,10,0,0,6,1,0,패,서울,,,,,,,서울,8.14,29.4,,57
7.31,한화 이글스,11,0,0,2,1,1,패,서울,,,,,,,서울,8.15,22.8,,88
7.31,LG 트윈스,11,1,1,5,1,0,승,서울,,,,,,,서울,8.16,28.5,,55
7.31,KIA 타이거즈,9,1,1,3,2,1,패,부산,,,,,,,서울,8.17,29.3,,67
7.31,롯데 자이언츠,8,0,0,8,0,0,승,부산,,,,,,,서울,8.18,27.6,0,80
7.31,두산 베어스,5,0,0,5,0,0,승,대구,,,,,,,서울,8.19,28.5,,72
7.31,삼성 라이온즈,6,1,2,2,1,0,패,대구,,,,,,,서울,8.20,25.6,0.5,88
7.31,키움 히어로즈,12,3,0,9,1,2,승,인천,,,,,,,서울,8.21,28.2,,71
7.31,SK 와이번스,9,0,2,7,1,0,패,인천,,,,,,,서울,8.22,23.2,,70
,,,,,,,,,,,,,,,,서울,8.23,24.4,,62
,,,,,,,,,,,,,,,,서울,8.24,24.9,,68
,,,,,,,,,,,,,,,,서울,8.25,28.2,,63
,,,,,,,,,,,,,,,,서울,8.26,31.6,,56
,,,,,,,,,,,,,,,,서울,8.27,31.2,,51
,,,,,,,,,,,,,,,,서울,8.28,26.3,0.5,71
,,,,,,,,,,,,,,,,서울,8.29,27.8,,57
,,,,,,,,,,,,,,,,서울,8.30,19.4,3,86
,,,,,,,,,,,,,,,,서울,8.31,26.8,,66
,,,,,,,,,,,,,,,,서울,9.1,27.7,,61
,,,,,,,,,,,,,,,,서울,9.2,27.2,,57
,,,,,,,,,,,,,,,,서울,9.3,27,,62
,,,,,,,,,,,,,,,,서울,9.4,21.3,7,91
,,,,,,,,,,,,,,,,서울,9.5,24.5,,38
,,,,,,,,,,,,,,,,서울,9.6,25.1,,36
,,,,,,,,,,,,,,,,서울,9.7,25.2,,45
,,,,,,,,,,,,,,,,서울,9.8,20.5,,67
,,,,,,,,,,,,,,,,서울,9.9,23.3,,59
,,,,,,,,,,,,,,,,서울,9.10,26.3,,48
,,,,,,,,,,,,,,,,서울,9.11,25.9,,42
,,,,,,,,,,,,,,,,서울,9.12,22,,74
,,,,,,,,,,,,,,,,서울,9.13,19.1,0.5,89
,,,,,,,,,,,,,,,,서울,9.14,20.2,,56
,,,,,,,,,,,,,,,,서울,9.15,23.9,,53
,,,,,,,,,,,,,,,,서울,9.16,21.6,,58
,,,,,,,,,,,,,,,,서울,9.17,17.1,3.5,87
,,,,,,,,,,,,,,,,서울,9.18,22.1,,62
,,,,,,,,,,,,,,,,서울,9.19,22.9,,48
,,,,,,,,,,,,,,,,서울,9.20,22.5,,58
,,,,,,,,,,,,,,,,서울,9.21,22.4,,43
,,,,,,,,,,,,,,,,서울,9.22,23.6,,36
,,,,,,,,,,,,,,,,서울,9.23,24.6,,38
,,,,,,,,,,,,,,,,서울,9.24,25.3,,26
,,,,,,,,,,,,,,,,서울,9.25,25.5,,34
,,,,,,,,,,,,,,,,서울,9.26,23.4,,52
,,,,,,,,,,,,,,,,서울,9.27,21.5,,54
,,,,,,,,,,,,,,,,서울,9.28,18.5,,75
,,,,,,,,,,,,,,,,서울,9.29,17.4,,52
,,,,,,,,,,,,,,,,서울,9.30,18.5,,53
,,,,,,,,,,,,,,,,서울,10.1,20.9,,58
,,,,,,,,,,,,,,,,서울,10.2,22.2,,53
,,,,,,,,,,,,,,,,서울,10.3,22.6,,45
,,,,,,,,,,,,,,,,서울,10.4,20.8,,56
,,,,,,,,,,,,,,,,서울,10.5,20.8,,48
,,,,,,,,,,,,,,,,서울,10.6,21.3,,53
,,,,,,,,,,,,,,,,서울,10.7,22.1,,32
,,,,,,,,,,,,,,,,서울,10.8,20.6,,42
,,,,,,,,,,,,,,,,서울,10.9,19.4,,53
,,,,,,,,,,,,,,,,서울,10.10,17.9,,55
,,,,,,,,,,,,,,,,서울,10.11,16.6,,34
,,,,,,,,,,,,,,,,서울,10.12,18.3,,46
,,,,,,,,,,,,,,,,서울,10.13,19.6,,32
,,,,,,,,,,,,,,,,서울,10.14,18.4,,18
,,,,,,,,,,,,,,,,서울,10.15,17.4,,32
,,,,,,,,,,,,,,,,서울,10.16,19,,39
,,,,,,,,,,,,,,,,서울,10.17,12,,30
,,,,,,,,,,,,,,,,서울,10.18,14,,42
,,,,,,,,,,,,,,,,서울,10.19,16.4,,48
,,,,,,,,,,,,,,,,서울,10.20,18,,68
,,,,,,,,,,,,,,,,서울,10.21,20,,62
,,,,,,,,,,,,,,,,서울,10.22,12.6,,73
team_text,번호,,,,,,,,,,,,,,,서울,10.23,12.5,,42
두산 베어스,1,,,,,,,,,,,,,,,서울,10.24,15.9,,49
LG 트윈스,2,,,,,,,,,,,,,,,서울,10.25,16.9,,70
키움 히어로즈,3,,,,,,,,,,,,,,,서울,10.26,18.3,,39
KIA 타이거즈,4,,,,,,,,,,,,,,,서울,10.27,15,0,93
롯데 자이언츠,5,,,,,,,,,,,,,,,서울,10.28,14.7,,60
삼성 라이온즈,6,,,,,,,,,,,,,,,서울,10.29,12.9,,54
SK 와이번즈,7,,,,,,,,,,,,,,,서울,10.30,9.5,,49
한화 이글스,8,,,,,,,,,,,,,,,인천,4.1,6.3,,28
,,,,,,,,,,,,,,,,인천,4.2,11.5,0,89
,,,,,,,,,,,,,,,,인천,4.3,6.3,,36
,,,,,,,,,,,,,,,,인천,4.4,8,,75
,,,,,,,,,,,,,,,,인천,4.5,8.3,,30
,,,,,,,,,,,,,,,,인천,4.6,7.4,,24
,,,,,,,,,,,,,,,,인천,4.7,8.3,,33
,,,,,,,,,,,,,,,,인천,4.8,10.6,,68
,,,,,,,,,,,,,,,,인천,4.9,16.3,,62
,,,,,,,,,,,,,,,,인천,4.10,13,0.5,92
,,,,,,,,,,,,,,,,인천,4.11,14.7,,57
,,,,,,,,,,,,,,,,인천,4.12,8.6,,58
,,,,,,,,,,,,,,,,인천,4.13,9.5,,69
,,,,,,,,,,,,,,,,인천,4.14,11,,77
,,,,,,,,,,,,,,,,인천,4.15,13.8,,52
,,,,,,,,,,,,,,,,인천,4.16,11.7,,65
,,,,,,,,,,,,,,,,인천,4.17,15.8,,22
,,,,,,,,,,,,,,,,인천,4.18,16,,38
,,,,,,,,,,,,,,,,인천,4.19,15.2,,48
,,,,,,,,,,,,,,,,인천,4.20,19.7,,47
,,,,,,,,,,,,,,,,인천,4.21,11.6,3.5,94
,,,,,,,,,,,,,,,,인천,4.22,8.5,0,96
,,,,,,,,,,,,,,,,인천,4.23,17.1,,74
,,,,,,,,,,,,,,,,인천,4.24,20.9,,65
,,,,,,,,,,,,,,,,인천,4.25,14.5,0.5,91
,,,,,,,,,,,,,,,,인천,4.26,11.8,,56
,,,,,,,,,,,,,,,,인천,4.27,17,,25
,,,,,,,,,,,,,,,,인천,4.28,16.8,,54
,,,,,,,,,,,,,,,,인천,4.29,20.9,,54
,,,,,,,,,,,,,,,,인천,4.30,27.4,,27
,,,,,,,,,,,,,,,,인천,5.1,23.4,,50
,,,,,,,,,,,,,,,,인천,5.2,23.9,,46
,,,,,,,,,,,,,,,,인천,5.3,23.6,,37
,,,,,,,,,,,,,,,,인천,5.4,17.8,,52
,,,,,,,,,,,,,,,,인천,5.5,18.5,,34
,,,,,,,,,,,,,,,,인천,5.6,15.6,,47
,,,,,,,,,,,,,,,,인천,5.7,19,,41
,,,,,,,,,,,,,,,,인천,5.8,21,,25
,,,,,,,,,,,,,,,,인천,5.9,19,,48
,,,,,,,,,,,,,,,,인천,5.10,21.1,,51
,,,,,,,,,,,,,,,,인천,5.11,17.9,,64
,,,,,,,,,,,,,,,,인천,5.12,17.9,,59
,,,,,,,,,,,,,,,,인천,5.13,20.5,,43
,,,,,,,,,,,,,,,,인천,5.14,16.7,,89
,,,,,,,,,,,,,,,,인천,5.15,13.4,,86
,,,,,,,,,,,,,,,,인천,5.16,16.7,,75
,,,,,,,,,,,,,,,,인천,5.17,18.2,,56
,,,,,,,,,,,,,,,,인천,5.18,19.3,,46
,,,,,,,,,,,,,,,,인천,5.19,21.2,,27
,,,,,,,,,,,,,,,,인천,5.20,22.1,,32
,,,,,,,,,,,,,,,,인천,5.21,24.8,,31
,,,,,,,,,,,,,,,,인천,5.22,24.1,,41
,,,,,,,,,,,,,,,,인천,5.23,22.3,,36
,,,,,,,,,,,,,,,,인천,5.24,19.1,,61
,,,,,,,,,,,,,,,,인천,5.25,19.5,,63
,,,,,,,,,,,,,,,,인천,5.26,19.3,,52
,,,,,,,,,,,,,,,,인천,5.27,20.8,0.3,42
,,,,,,,,,,,,,,,,인천,5.28,19.6,,65
,,,,,,,,,,,,,,,,인천,5.29,20.6,,52
,,,,,,,,,,,,,,,,인천,5.30,22.6,,40
,,,,,,,,,,,,,,,,인천,5.31,21.3,,57
,,,,,,,,,,,,,,,,인천,6.1,22.4,,59
,,,,,,,,,,,,,,,,인천,6.2,23.6,,49
,,,,,,,,,,,,,,,,인천,6.3,24.8,,43
,,,,,,,,,,,,,,,,인천,6.4,25.5,,40
,,,,,,,,,,,,,,,,인천,6.5,22.2,,85
,,,,,,,,,,,,,,,,인천,6.6,21.8,,81
,,,,,,,,,,,,,,,,인천,6.7,23.7,,74
,,,,,,,,,,,,,,,,인천,6.8,22.6,,74
