day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,game_location,기온(°C),강수량(mm),습도(%),,,,
7.2화,KIA 타이거즈,14,1,3,5,1,1,승,인천,23.9,0,95,,,,
7.2화,SK 와이번스,7,0,0,3,2,0,패,인천,23.9,0,95,,,,
7.2화,삼성 라이온즈,9,0,0,6,0,1,승,부산,24.9,0,91,,,,
7.2화,롯데 자이언츠,7,1,2,6,1,3,패,부산,24.9,0,91,,,,
7.2화,키움 히어로즈,6,0,1,8,0,1,패,창원,26.1,0,83,,,,
7.2화,NC 다이노스,6,2,1,6,0,0,승,창원,26.1,0,83,,,,
7.3수,한화 이글스,18,0,0,8,3,0,패,서울,28.4,0,54,,,,
7.3수,LG 트윈스,9,0,3,5,1,0,승,서울,28.4,0,54,,,,
7.3수,KIA 타이거즈,11,0,0,4,1,0,패,인천,24.2,0,92,,,,
7.3수,SK 와이번스,10,0,3,9,0,2,승,인천,24.2,0,92,,,,
7.3수,삼성 라이온즈,6,1,0,9,0,2,패,부산,24.5,0,80,,,,
7.3수,롯데 자이언츠,9,1,1,5,0,0,승,부산,24.5,0,80,,,,
7.3수,키움 히어로즈,9,0,0,14,1,2,패,창원,25.4,0,83,,,,
7.3수,NC 다이노스,8,0,0,9,1,2,승,창원,25.4,0,83,,,,
7.5금,LG 트윈스,13,1,0,2,1,1,패,서울,29.1,0,60,,,,
7.5금,키움 히어로즈,13,2,4,6,1,1,승,서울,29.1,0,60,,,,
7.5금,삼성 라이온즈,10,2,1,3,1,2,패,서울,29.1,0,60,,,,
7.5금,두산 베어스,15,2,0,4,1,1,승,서울,29.1,0,60,,,,
7.6토,LG 트윈스,9,0,1,4,1,0,패,서울,29.2,0,57,,,,
7.6토,키움 히어로즈,11,0,1,2,2,2,승,서울,29.2,0,57,,,,
7.6토,롯데 자이언츠,8,1,0,7,0,1,패,광주,26.5,0,78,,,,
7.6토,KIA 타이거즈,9,1,2,7,0,0,승,광주,26.5,0,78,,,,
7.6토,SK 와이번스,6,0,1,8,0,0,패,대전,29.4,0,68,,,,
7.6토,한화 이글스,8,2,0,2,0,0,승,대전,29.4,0,68,,,,
7.6토,삼성 라이온즈,8,2,0,3,1,1,패,서울,29.2,0,57,,,,
7.6토,두산 베어스,9,1,2,4,1,0,승,서울,29.2,0,57,,,,
7.7일,LG 트윈스,4,1,1,11,0,0,패,서울,25,0,82,,,,
7.7일,키움 히어로즈,16,2,2,8,1,2,승,서울,25,0,82,,,,
7.7일,삼성 라이온즈,18,0,0,6,1,0,승,서울,25,0,82,,,,
7.7일,두산 베어스,8,0,0,4,0,0,패,서울,25,0,82,,,,
7.9화,롯데 자이언츠,6,0,2,5,0,0,패,서울,24.9,0,81,,,,
7.9화,키움 히어로즈,7,1,0,3,0,1,승,서울,24.9,0,81,,,,
7.9화,NC 다이노스,7,0,1,11,0,0,패,서울,24.9,0,81,,,,
7.9화,LG 트윈스,8,0,0,2,1,1,승,서울,24.9,0,81,,,,
7.9화,두산 베어스,10,0,6,9,0,0,승,대전,29.7,0,75,,,,
7.9화,한화 이글스,3,0,1,7,2,1,패,대전,29.7,0,75,,,,
7.9화,SK 와이번스,12,1,5,10,1,0,승,대구,32.2,0,52,,,,
7.9화,삼성 라이온즈,4,2,0,8,0,3,패,대구,32.2,0,52,,,,
7.10수,롯데 자이언츠,13,1,2,9,0,0,승,서울,26,0,79,,,,
7.10수,키움 히어로즈,8,0,0,3,0,1,패,서울,26,0,79,,,,
7.10수,NC 다이노스,3,0,1,10,1,0,패,서울,26,0,79,,,,
7.10수,LG 트윈스,11,0,0,0,1,0,승,서울,26,0,79,,,,
7.10수,두산 베어스,9,0,4,4,0,0,승,대전,31.2,0,74,,,,
7.10수,한화 이글스,8,0,2,5,1,1,패,대전,31.2,0,74,,,,
7.10수,SK 와이번스,7,2,0,11,2,2,패,대구,33.7,0,46,,,,
7.10수,삼성 라이온즈,10,1,0,5,1,0,승,대구,33.7,0,46,,,,
7.11목,NC 다이노스,7,1,1,7,2,1,패,서울,24.9,0,86,,,,
7.11목,LG 트윈스,9,0,1,9,0,1,승,서울,24.9,0,86,,,,
7.11목,두산 베어스,2,0,2,4,2,0,패,대전,29.7,0,73,,,,
7.11목,한화 이글스,6,1,2,6,0,1,승,대전,29.7,0,73,,,,
7.11목,SK 와이번스,10,2,3,3,1,0,승,대구,33.8,0,45,,,,
7.11목,삼성 라이온즈,10,0,2,6,1,1,패,대구,33.8,0,45,,,,
7.12금,한화 이글스,8,1,0,4,1,0,패,대구,31.2,0,53,,,,
7.12금,삼성 라이온즈,13,2,2,7,0,0,승,대구,31.2,0,53,,,,
7.12금,롯데 자이언츠,4,0,3,7,1,3,패,창원,29,0,70,,,,
7.12금,NC 다이노스,5,0,1,2,1,1,승,창원,29,0,70,,,,
7.13토,한화 이글스,8,0,0,6,1,1,패,대구,29.9,0,69,,,,
7.13토,삼성 라이온즈,7,1,0,6,0,2,승,대구,29.9,0,69,,,,
7.13토,KIA 타이거즈,10,0,0,6,1,0,패,서울,25.5,0,84,,,,
7.13토,두산 베어스,17,1,1,5,1,2,승,서울,25.5,0,84,,,,
7.13토,LG 트윈스,20,1,0,9,1,1,승,인천,23.9,0,99,,,,
7.13토,SK 와이번스,7,1,2,6,1,1,패,인천,23.9,0,99,,,,
7.13토,롯데 자이언츠,11,2,2,7,0,2,패,창원,29.6,0,71,,,,
7.13토,NC 다이노스,12,1,2,3,2,0,승,창원,29.6,0,71,,,,
7.14일,롯데 자이언츠,8,0,0,8,0,1,패,창원,28.6,0,76,,,,
7.14일,NC 다이노스,15,0,0,9,2,0,승,창원,28.6,0,76,,,,
7.16화,한화 이글스,13,0,3,11,2,0,승,광주,29.7,0,50,,,,
7.16화,KIA 타이거즈,8,0,1,10,1,0,패,광주,29.7,0,50,,,,
7.16화,LG 트윈스,11,3,2,8,1,0,승,부산,27.9,0,68,,,,
7.16화,롯데 자이언츠,5,1,0,9,2,1,패,부산,27.9,0,68,,,,
7.16화,NC 다이노스,6,0,0,7,1,3,패,서울,27.6,0,65,,,,
7.16화,두산 베어스,6,0,1,4,1,0,승,서울,27.6,0,65,,,,
7.16화,키움 히어로즈,9,2,0,7,2,1,패,인천,25.8,0,88,,,,
7.16화,SK 와이번스,13,1,0,8,0,0,승,인천,25.8,0,88,,,,
7.17수,한화 이글스,6,0,3,9,3,2,패,광주,28.2,0,67,,,,
7.17수,KIA 타이거즈,8,1,2,10,0,1,승,광주,28.2,0,67,,,,
7.17수,LG 트윈스,10,1,1,5,1,1,승,부산,27.9,0,64,,,,
7.17수,롯데 자이언츠,11,1,1,8,1,0,패,부산,27.9,0,64,,,,
7.17수,NC 다이노스,4,0,2,6,1,3,패,서울,24.7,0,87,,,,
7.17수,두산 베어스,7,0,1,4,0,0,승,서울,24.7,0,87,,,,
7.17수,키움 히어로즈,13,3,0,7,0,1,패,인천,23.6,0,99,,,,
7.17수,SK 와이번스,12,2,0,5,1,1,승,인천,23.6,0,99,,,,
7.23화,KIA 타이거즈,4,0,1,1,3,0,패,서울,26.2,0,88,,,,
7.23화,LG 트윈스,17,0,3,4,1,1,승,서울,26.2,0,88,,,,
7.23화,롯데 자이언츠,10,1,1,7,1,1,승,대전,27.3,0,95,,,,
7.23화,한화 이글스,11,1,1,10,1,0,패,대전,27.3,0,95,,,,
7.23화,NC 다이노스,2,0,1,7,1,1,패,대구,29.9,0,67,,,,
7.23화,삼성 라이온즈,9,1,0,4,1,0,승,대구,29.9,0,67,,,,
7.23화,두산 베어스,9,3,1,6,3,1,패,서울,26.2,0,88,,,,
7.23화,키움 히어로즈,11,3,0,7,0,2,승,서울,26.2,0,88,,,,
7.24수,KIA 타이거즈,16,0,6,6,1,0,승,서울,26.6,0,58,,,,
7.24수,LG 트윈스,9,0,1,8,0,2,패,서울,26.6,0,58,,,,
7.24수,롯데 자이언츠,14,1,2,5,0,1,승,대전,28.4,0,77,,,,
7.24수,한화 이글스,14,0,0,7,4,0,패,대전,28.4,0,77,,,,
7.24수,NC 다이노스,6,1,2,3,0,1,패,대구,32,0,53,,,,
7.24수,삼성 라이온즈,9,1,0,5,1,1,승,대구,32,0,53,,,,
7.24수,두산 베어스,10,0,0,5,0,1,패,서울,26.6,0,58,,,,
7.24수,키움 히어로즈,10,1,1,6,0,0,승,서울,26.6,0,58,,,,
7.25목,KIA 타이거즈,2,0,0,4,0,0,패,서울,29.4,0,51,,,,
7.25목,LG 트윈스,8,0,2,4,0,0,승,서울,29.4,0,51,,,,
7.25목,롯데 자이언츠,7,1,1,6,1,1,승,대전,29.3,0,71,,,,
7.25목,한화 이글스,7,0,1,4,3,0,패,대전,29.3,0,71,,,,
7.25목,NC 다이노스,4,0,1,10,2,0,패,대구,32.9,0,37,,,,
7.25목,삼성 라이온즈,10,1,2,6,0,0,승,대구,32.9,0,37,,,,
