player_list,team_list,win_list,loose_list,save_list,hold_list,starting_list,inning_list,strike_list,bb_list,homerun_list,era_list,fip_list,war_list
김윤식,LG,2,1,0,0,1,16.2,9,10,1,2.7,5.04,0.39
이상규,LG,0,0,0,0,0,1,1,1,0,0,4.36,0.04
채지선,LG,0,0,0,0,0,1.2,1,1,0,5.4,3.96,0
김대유,LG,0,1,0,9,0,12.2,14,2,0,1.42,2.1,0.54
오주원,키움,1,1,1,0,0,8,4,1,0,5.63,2.74,-0.05
최원태,키움,2,1,0,0,6,31,20,10,2,3.48,4.07,0.35
김재웅,키움,0,1,1,0,0,18,20,11,1,3,3.69,0.39
양현,키움,0,2,0,4,0,14,8,7,0,3.21,3.08,0.4
안우진,키움,0,3,0,0,6,25.1,25,14,2,4.62,4.43,0.16
요키시,키움,3,3,0,0,7,41,30,12,8,3.73,5.31,0.79
김선기,키움,1,1,0,0,0,7,4,4,0,6.43,4.79,-0.3
김동혁,키움,0,0,0,0,0,21.2,7,6,1,2.49,4.56,0.5
김정인,키움,1,2,0,0,6,26,19,16,6,5.88,6.98,-0.18
박관진,키움,0,0,0,0,0,0.2,0,3,0,81,21.36,-0.36
구승민,롯데,1,3,0,0,0,11.2,18,6,3,11.57,5.42,-0.66
김원중,롯데,0,2,4,0,0,12,10,3,2,3.75,4.36,0.5
이인복,롯데,0,0,0,1,0,11.2,11,2,1,6.94,2.85,-0.04
서준원,롯데,0,0,0,0,1,15.2,6,10,1,6.89,4.96,-0.04
박진형,롯데,2,1,0,0,0,7.2,11,5,1,9.39,3.75,-0.19
김건국,롯데,0,0,0,0,0,10,9,5,1,2.7,4.36,0.25
김유영,롯데,0,0,0,0,0,4.1,5,5,1,8.31,7.52,-0.04
최준용,롯데,2,1,0,6,0,17.1,18,7,4,4.15,5.67,0.5
스트레일리,롯데,2,3,0,0,7,37.1,35,12,3,3.38,3.58,0.86
우규민,삼성,3,0,1,6,0,16.1,15,1,0,0,1.71,1.07
뷰캐넌,삼성,4,1,0,0,7,43.2,43,15,2,2.27,2.95,2.04
홍정우,삼성,0,0,0,1,0,30,29,12,5,6.6,5.09,0.06
양창섭,삼성,1,1,0,1,0,14.1,13,8,2,6.28,5.04,-0.01
심창민,삼성,2,0,0,3,0,14,13,6,2,2.57,4.86,0.28
이승현,삼성,0,1,0,1,0,5.1,5,4,1,11.81,6.17,-0.25
오승환,삼성,0,1,10,0,0,13.1,13,6,1,4.05,3.74,0.06
장필준,삼성,0,0,0,1,0,12.1,8,10,0,2.92,4.5,0.22
김윤수,삼성,0,0,0,0,1,9.1,11,11,2,7.71,7.33,-0.23
라이블리,삼성,0,1,0,0,7,33.1,38,13,4,4.05,4.26,0.76
최지광,삼성,0,0,0,5,0,14.2,16,5,1,5.52,3.09,0.17
임현준,삼성,1,1,0,2,0,5.1,4,2,0,5.06,3.55,0.08
조영우,SSG,1,4,1,0,0,15,16,7,4,9,6.09,-0.45
서진용,SSG,1,0,3,0,0,15,16,10,3,4.2,5.43,0.24
김세현,SSG,0,0,0,0,0,4.1,5,7,0,10.38,5.21,-0.12
정수민,SSG,0,1,0,0,2,10.1,8,11,1,9.58,6.55,-0.16
김택형,SSG,0,0,0,0,0,10,9,7,1,6.3,4.96,-0.01
오원석,SSG,1,0,0,1,4,25.2,29,16,2,7.01,4.1,-0.28
윤대경,한화,0,1,0,2,0,19.1,15,14,2,4.66,5.17,0.24
윤호솔,한화,2,0,0,1,0,12.2,7,4,3,2.84,6.52,0.11
킹엄,한화,3,2,0,0,6,33.1,29,9,4,4.59,4.08,0.35
김진영,한화,0,1,0,0,0,7.1,3,6,2,7.36,8.13,-0.09
문동욱,한화,0,0,0,0,0,1.1,2,1,0,0,2.61,0.04
김이환,한화,0,0,0,0,3,12.2,8,11,1,7.82,6.2,-0.25
김범수,한화,2,4,0,2,1,20.1,24,13,1,6.2,3.56,-0.1
강재민,한화,1,0,1,4,0,17,18,6,0,1.06,2.83,0.82
정우람,한화,0,0,4,0,0,11,10,6,0,1.64,3.72,0.69
이승재,KIA,2,0,0,1,0,10,7,3,1,3.6,4.46,0.29
김재열,KIA,1,0,0,0,0,5,2,4,1,1.8,8.16,0.16
최원준,두산,3,0,0,0,6,33.2,25,9,5,2.94,4.97,1.15
박세웅,롯데,2,2,0,0,6,32,24,12,6,4.78,5.61,0.68
김대우,롯데,1,1,0,4,0,17.1,17,11,1,2.08,4.23,0.88
김태훈,SSG,2,1,1,5,0,19,20,11,2,1.89,4.68,1.21
이태양,SSG,3,0,0,4,0,18,16,1,2,1.5,3.19,0.98
김상수,SSG,2,0,6,0,0,14,14,11,2,4.5,5.15,0.39
박종훈,SSG,3,2,0,0,7,43.2,35,16,1,2.68,3.43,1.63
켈리,LG,2,2,0,0,7,40,24,18,4,3.83,5.04,0.72
고우석,LG,0,1,7,0,0,12.2,10,2,0,0.71,2.49,0.9
김종수,한화,0,1,0,0,0,6.2,7,8,4,10.8,12.66,-0.19
박주홍,한화,1,1,0,0,1,3,3,9,0,12,10.36,-0.14
김민우,한화,3,2,0,0,7,36,30,19,5,5,5.25,0.3
김대우,삼성,0,1,0,0,0,15.1,9,5,2,5.87,4.86,0.1
김민수,KT,2,1,0,5,1,18.1,21,7,1,3.44,3.09,0.09
김태훈,키움,1,2,0,5,0,18,15,10,0,4.5,3.03,0.21
김성민,키움,1,0,0,4,0,17.1,20,10,0,1.04,3.13,0.84
스미스,키움,1,0,0,0,2,10,5,5,1,6.3,5.16,-0.06
김유신,KIA,0,2,0,0,3,13.2,9,12,3,7.9,7.53,-0.27
