player_list,team_list,win_list,loose_list,save_list,hold_list,starting_list,inning_list,strike_list,bb_list,homerun_list,era_list,fip_list,war_list,연봉(2020),연봉(2021)
우규민,삼성,3,0,1,6,0,16.1,15,1,0,0.0,1.71,1.07,70000,20000
뷰캐넌,삼성,4,1,0,0,7,43.2,43,15,2,2.27,2.95,2.04,60000,60000
홍정우,삼성,0,0,0,1,0,30.0,29,12,5,6.6,5.09,0.06,3000,3000
양창섭,삼성,1,1,0,1,0,14.1,13,8,2,6.28,5.04,-0.01,5000,5000
심창민,삼성,2,0,0,3,0,14.0,13,6,2,2.57,4.86,0.28,28000,28000
오승환,삼성,0,1,10,0,0,13.1,13,6,1,4.05,3.74,0.06,120000,120000
장필준,삼성,0,0,0,1,0,12.1,8,10,0,2.92,4.5,0.22,21500,21500
김윤수,삼성,0,0,0,0,1,9.1,11,11,2,7.71,7.33,-0.23,3700,3700
라이블리,삼성,0,1,0,0,7,33.1,38,13,4,4.05,4.26,0.76,50000,50000
최지광,삼성,0,0,0,5,0,14.2,16,5,1,5.52,3.09,0.17,6000,12000
임현준,삼성,1,1,0,2,0,5.1,4,2,0,5.06,3.55,0.08,10000,10000
조영우,SSG,1,4,1,0,0,15.0,16,7,4,9.0,6.09,-0.45,3300,5000
서진용,SSG,1,0,3,0,0,15.0,16,10,3,4.2,5.43,0.24,20000,17000
김세현,SSG,0,0,0,0,0,4.1,5,7,0,10.38,5.21,-0.12,12000,8000
정수민,SSG,0,1,0,0,2,10.1,8,11,1,9.58,6.55,-0.16,4200,3600
김택형,SSG,0,0,0,0,0,10.0,9,7,1,6.3,4.96,-0.01,3700,3000
오원석,SSG,1,0,0,1,4,25.2,29,16,2,7.01,4.1,-0.28,2700,3000
윤대경,한화,0,1,0,2,0,19.1,15,14,2,4.66,5.17,0.24,2800,7700
윤호솔,한화,2,0,0,1,0,12.2,7,4,3,2.84,6.52,0.11,2900,2900
킹엄,한화,3,2,0,0,6,33.1,29,9,4,4.59,4.08,0.35,50000,250000
김진영,한화,0,1,0,0,0,7.1,3,6,2,7.36,8.13,-0.09,3200,7900
문동욱,한화,0,0,0,0,0,1.1,2,1,0,0.0,2.61,0.04,3200,3600
김이환,한화,0,0,0,0,3,12.2,8,11,1,7.82,6.2,-0.25,3700,4100
김범수,한화,2,4,0,2,1,20.1,24,13,1,6.2,3.56,-0.1,6500,6500
강재민,한화,1,0,1,4,0,17.0,18,6,0,1.06,2.83,0.82,2700,7900
정우람,한화,0,0,4,0,0,11.0,10,6,0,1.64,3.72,0.69,80000,80000
최원준,두산,3,0,0,0,6,33.2,25,9,5,2.94,4.97,1.15,5900,16000
박세웅,롯데,2,2,0,0,6,32.0,24,12,6,4.78,5.61,0.68,11000,156500
김대우,롯데,1,1,0,4,0,17.1,17,11,1,2.08,4.23,0.88,2900,5000
김대우,삼성,0,1,0,0,0,15.1,9,5,2,5.87,4.86,0.1,2900,5000
김태훈,SSG,2,1,1,5,0,19.0,20,11,2,1.89,4.68,1.21,7500,10000
김태훈,SSG,2,1,1,5,0,19.0,20,11,2,1.89,4.68,1.21,24000,16000
김태훈,키움,1,2,0,5,0,18.0,15,10,0,4.5,3.03,0.21,7500,10000
김태훈,키움,1,2,0,5,0,18.0,15,10,0,4.5,3.03,0.21,24000,16000
이태양,SSG,3,0,0,4,0,18.0,16,1,2,1.5,3.19,0.98,7300,10000
김상수,SSG,2,0,6,0,0,14.0,14,11,2,4.5,5.15,0.39,16500,30000
박종훈,SSG,3,2,0,0,7,43.2,35,16,1,2.68,3.43,1.63,29000,32000
켈리,LG,2,2,0,0,7,40.0,24,18,4,3.83,5.04,0.72,90000,700000
고우석,LG,0,1,7,0,0,12.2,10,2,0,0.71,2.49,0.9,22000,18000
김종수,한화,0,1,0,0,0,6.2,7,8,4,10.8,12.66,-0.19,3800,6100
박주홍,한화,1,1,0,0,1,3.0,3,9,0,12.0,10.36,-0.14,3500,3300
김민우,한화,3,2,0,0,7,36.0,30,19,5,5.0,5.25,0.3,4200,9000
김민수,KT,2,1,0,5,1,18.1,21,7,1,3.44,3.09,0.09,6500,7000
김성민,키움,1,0,0,4,0,17.1,20,10,0,1.04,3.13,0.84,5500,6000
