day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,location,temp,rain,humidity,,,,,,SK와이번스,,,
6.5,SK 와이번스,9,1,1,6,0,0,1,서울,24.2,0,57,,,,,,,,,
6.6,SK 와이번스,4,0,0,14,0,0,0,서울,25.2,0,49,,,,,,,,,
6.7,SK 와이번스,12,1,0,6,1,0,1,서울,26.3,0,51,,,,,,,,,
6.8,SK 와이번스,8,2,1,7,1,0,1,인천,22.6,0,74,,,,,,,,,
6.9,SK 와이번스,9,0,0,6,0,3,0,인천,25.3,0,62,,,,,,,,,
6.1,SK 와이번스,10,2,1,2,0,0,1,인천,24.2,0,78,,,,,,,,,
6.12,SK 와이번스,11,3,0,8,2,1,1,서울,21.6,0.1,73,,,,,,,,,
6.13,SK 와이번스,11,1,0,7,1,0,0,서울,27.3,0,43,,,,,,,,,
6.14,SK 와이번스,6,0,0,4,0,0,1,서울,29.5,0,33,,,,,,,,,
6.15,SK 와이번스,7,0,0,4,0,2,1,인천,25.6,0,60,,,,,,,,,
6.16,SK 와이번스,7,0,0,5,0,0,1,인천,23.1,0,83,,,,,,,,,
6.17,SK 와이번스,8,1,0,7,2,0,0,인천,24.2,0,68,,,,,,,,,
6.19,SK 와이번스,8,0,1,7,2,0,0,인천,29.5,0,47,,,,,,,,,
6.2,SK 와이번스,7,1,2,7,1,0,1,인천,23.8,0,86,,,,,,,,,
6.21,SK 와이번스,7,0,0,8,1,0,0,인천,26.1,0,66,,,,,,,,,
6.22,SK 와이번스,12,2,1,5,3,2,1,광주,27.4,0,49,,,,,,,,,
6.23,SK 와이번스,10,0,0,7,0,0,0,광주,27.2,0,52,,,,,,,,,
6.24,SK 와이번스,7,0,0,7,1,2,0,광주,27.6,0,55,,,,,,,,,
6.26,SK 와이번스,6,3,1,9,0,2,0,대구,21.8,0,63,,,,,,,,,
6.27,SK 와이번스,7,1,2,7,0,0,1,대구,20.9,0,72,,,,,,,,,
6.28,SK 와이번스,7,0,0,8,0,1,0,대구,25.4,0,57,,,,,,,,,
6.3,SK 와이번스,5,0,2,9,0,1,0,인천,20.4,0,100,,,,,,,,,
7.1일,SK 와이번스,12,2,0,2,2,0,0,인천,23.7,0,83,,,,,,,,,
7.3화,SK 와이번스,11,0,0,5,0,0,0,부산,26.6,0,64,,,,,,,,,
7.4수,SK 와이번스,10,2,1,8,0,1,0,부산,26.2,0,69,,,,,,,,,
7.7토,SK 와이번스,6,1,0,6,1,0,0,대전,28.6,0,56,,,,,,,,,
7.8일,SK 와이번스,2,0,0,10,0,0,0,대전,30.2,0,65,,,,,,,,,
7.11수,SK 와이번스,9,0,1,8,0,0,0,인천,22.8,0,91,,,,,,,,,
7.12목,SK 와이번스,10,1,0,3,2,0,1,인천,26.4,0,78,,,,,,,,,
7.13금,SK 와이번스,9,0,0,4,1,0,1,인천,26.6,0,88,,,,,,,,,
7.14토,SK 와이번스,10,1,0,9,0,1,1,인천,24.6,0,84,,,,,,,,,
7.17화,SK 와이번스,7,0,0,6,0,0,0,서울,27.9,0,63,,,,,,,,,
7.18수,SK 와이번스,9,0,2,10,1,0,0,서울,27.6,0,81,,,,,,,,,
7.19목,SK 와이번스,17,1,2,5,1,0,1,서울,23.4,0,85,,,,,,,,,
7.24화,SK 와이번스,15,1,2,6,2,0,1,대구,33.9,0,45,,,,,,,,,
7.25수,SK 와이번스,11,1,1,8,0,1,0,대구,34.7,0,44,,,,,,,,,
7.26목,SK 와이번스,6,0,2,11,1,1,0,대구,34.3,0,45,,,,,,,,,
7.27금,SK 와이번스,9,0,1,3,2,2,0,인천,29,0,80,,,,,,,,,
7.28토,SK 와이번스,5,0,1,9,0,0,1,인천,29.4,0,84,,,,,,,,,
7.31화,SK 와이번스,9,0,2,7,1,0,0,인천,29.1,0,77,,,,,,,,,
8.1,SK 와이번스,11,1,0,3,0,1,1,인천,32.7,0,0,,,,,,,,,
8.2,SK 와이번스,11,3,1,8,0,1,1,인천,33.6,0,0,,,,,,,,,
8.3,SK 와이번스,7,1,1,8,1,1,0,대전,33.7,0,0,,,,,,,,,
8.4,SK 와이번스,12,0,3,8,0,0,1,대전,34.1,0,0,,,,,,,,,
8.5,SK 와이번스,3,0,1,4,0,0,1,대전,35.6,0,0,,,,,,,,,
8.7,SK 와이번스,7,0,0,2,0,0,1,인천,27.9,7.7,7.7,,,,,,,,,
8.8,SK 와이번스,8,1,2,11,1,0,0,인천,31.2,0,0,,,,,,,,,
8.9,SK 와이번스,7,1,1,7,0,0,1,인천,29.1,0,0,,,,,,,,,
8.1,SK 와이번스,6,2,2,6,0,0,1,서울,28.3,0,0,,,,,,,,,
8.11,SK 와이번스,6,0,1,3,0,0,0,서울,30.1,0,0,,,,,,,,,
8.14,SK 와이번스,5,0,0,5,0,0,0,부산,26.3,0.5,0.5,,,,,,,,,
8.15,SK 와이번스,13,0,1,5,0,0,1,부산,28.4,0,0,,,,,,,,,
8.16,SK 와이번스,10,0,0,4,1,1,1,부산,29.2,0,0,,,,,,,,,
8.17,SK 와이번스,12,1,0,3,0,0,1,인천,28.8,0,0,,,,,,,,,
8.18,SK 와이번스,6,1,0,7,0,0,1,인천,27,0,0,,,,,,,,,
8.19,SK 와이번스,5,0,2,10,0,1,1,인천,27.4,0,0,,,,,,,,,
