day_text,day,times_text,team_text,location,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text
2017-04-01 14:00,4.1토,14:00,한화 이글스,대전,16,1,0,8,0,1,승
2017-04-01 14:00,4.1토,14:00,두산 베어스,대전,9,1,1,7,0,0,패
2017-04-01 14:00,4.1토,14:00,KIA 타이거즈,광주,14,0,0,9,0,1,승
2017-04-01 14:00,4.1토,14:00,삼성 라이온즈,광주,10,1,1,8,0,2,패
2017-04-01 14:00,4.1토,14:00,LG 트윈스,서울,11,2,1,9,0,0,승
2017-04-01 14:00,4.1토,14:00,키움 히어로즈,서울,12,0,1,9,1,0,패
2017-04-01 17:00,4.1토,17:00,kt wiz,수원,3,1,0,6,0,0,승
2017-04-01 17:00,4.1토,17:00,SK 와이번스,수원,7,0,0,5,1,0,패
2017-04-01 17:00,4.1토,17:00,롯데 자이언츠,부산,6,0,0,11,0,1,승
2017-04-01 17:00,4.1토,17:00,NC 다이노스,부산,7,0,0,9,0,1,패
2017-04-02 14:00,4.2일,14:00,한화 이글스,대전,8,1,2,9,0,2,패
2017-04-02 14:00,4.2일,14:00,두산 베어스,대전,8,2,0,7,2,1,승
2017-04-02 14:00,4.2일,14:00,KIA 타이거즈,광주,10,1,0,12,0,2,패
2017-04-02 14:00,4.2일,14:00,삼성 라이온즈,광주,17,2,1,6,1,1,승
2017-04-02 14:00,4.2일,14:00,kt wiz,수원,11,2,1,6,0,0,승
2017-04-02 14:00,4.2일,14:00,SK 와이번스,수원,3,1,0,4,2,2,패
2017-04-02 14:00,4.2일,14:00,LG 트윈스,서울,10,1,1,9,0,1,승
2017-04-02 14:00,4.2일,14:00,키움 히어로즈,서울,3,0,1,6,0,1,패
2017-04-02 14:00,4.2일,14:00,롯데 자이언츠,부산,13,5,1,10,1,1,승
2017-04-02 14:00,4.2일,14:00,NC 다이노스,부산,4,0,2,10,1,0,패
2017-04-04 19:00,4.4화,18:30,NC 다이노스,창원,3,0,0,10,0,1,패
2017-04-04 19:00,4.4화,18:30,한화 이글스,창원,10,1,0,5,2,1,승
2017-04-04 19:00,4.4화,18:30,SK 와이번스,인천,5,0,0,10,2,1,패
2017-04-04 19:00,4.4화,18:30,KIA 타이거즈,인천,6,0,1,4,1,0,승
2017-04-04 19:00,4.4화,18:30,삼성 라이온즈,대구,7,0,0,12,0,2,패
2017-04-04 19:00,4.4화,18:30,LG 트윈스,대구,16,0,2,5,0,1,승
2017-04-04 19:00,4.4화,18:30,키움 히어로즈,서울,9,1,0,5,1,0,패
2017-04-04 19:00,4.4화,18:30,롯데 자이언츠,서울,9,2,1,7,1,0,승
2017-04-04 19:00,4.4화,19:00,두산 베어스,서울,8,0,3,4,1,1,승
2017-04-04 19:00,4.4화,19:00,kt wiz,서울,3,0,0,7,0,0,패
2017-04-06 19:00,4.6목,18:30,NC 다이노스,창원,11,0,0,8,3,1,승
2017-04-06 19:00,4.6목,18:30,한화 이글스,창원,8,1,0,7,2,1,패
2017-04-06 19:00,4.6목,18:30,두산 베어스,서울,7,1,0,11,0,0,패
2017-04-06 19:00,4.6목,18:30,kt wiz,서울,8,1,1,10,1,0,승
2017-04-06 19:00,4.6목,18:30,SK 와이번스,인천,8,2,2,5,0,0,패
2017-04-06 19:00,4.6목,18:30,KIA 타이거즈,인천,10,0,3,10,1,0,승
2017-04-06 19:00,4.6목,18:30,삼성 라이온즈,대구,4,0,0,7,0,2,패
2017-04-06 19:00,4.6목,18:30,LG 트윈스,대구,8,1,0,6,0,0,승
2017-04-06 19:00,4.6목,18:30,키움 히어로즈,서울,8,2,0,5,0,0,패
2017-04-06 19:00,4.6목,18:30,롯데 자이언츠,서울,17,2,0,7,0,0,승
2017-04-07 19:00,4.7금,18:30,한화 이글스,대전,10,0,0,3,1,0,패
2017-04-07 19:00,4.7금,18:30,KIA 타이거즈,대전,7,0,0,3,0,1,승
2017-04-07 19:00,4.7금,18:30,LG 트윈스,서울,10,0,0,8,1,2,승
2017-04-07 19:00,4.7금,18:30,롯데 자이언츠,서울,5,1,0,12,1,0,패
2017-04-07 19:00,4.7금,18:30,NC 다이노스,창원,10,1,2,8,1,1,승
2017-04-07 19:00,4.7금,18:30,SK 와이번스,창원,6,1,1,9,1,0,패
2017-04-07 19:00,4.7금,18:30,삼성 라이온즈,대구,8,1,1,7,1,0,패
2017-04-07 19:00,4.7금,18:30,kt wiz,대구,7,0,1,7,1,1,승
2017-04-07 19:00,4.7금,18:30,키움 히어로즈,서울,11,1,2,4,1,1,승
2017-04-07 19:00,4.7금,18:30,두산 베어스,서울,9,0,0,6,0,0,패
2017-04-08 17:00,4.8토,17:00,한화 이글스,대전,12,0,0,7,1,0,승
2017-04-08 17:00,4.8토,17:00,KIA 타이거즈,대전,3,0,2,3,1,1,패
2017-04-08 17:00,4.8토,17:00,LG 트윈스,서울,14,1,1,7,1,0,패
2017-04-08 17:00,4.8토,17:00,롯데 자이언츠,서울,15,4,0,4,1,0,승
2017-04-08 17:00,4.8토,17:00,NC 다이노스,창원,4,0,0,10,0,1,패
2017-04-08 17:00,4.8토,17:00,SK 와이번스,창원,13,6,0,10,1,0,승
2017-04-08 17:00,4.8토,17:00,삼성 라이온즈,대구,7,0,0,4,1,1,패
2017-04-08 17:00,4.8토,17:00,kt wiz,대구,3,0,0,5,0,0,승
2017-04-08 17:00,4.8토,17:00,키움 히어로즈,서울,20,2,0,6,1,1,승
2017-04-08 17:00,4.8토,17:00,두산 베어스,서울,16,0,1,6,0,1,패
2017-04-09 14:00,4.9일,14:00,한화 이글스,대전,13,0,0,4,1,0,패
2017-04-09 14:00,4.9일,14:00,KIA 타이거즈,대전,9,1,1,4,3,1,승
2017-04-09 14:00,4.9일,14:00,LG 트윈스,서울,5,0,1,9,1,0,패
2017-04-09 14:00,4.9일,14:00,롯데 자이언츠,서울,10,2,1,12,0,0,승
2017-04-09 14:00,4.9일,14:00,NC 다이노스,창원,12,0,1,10,1,1,패
2017-04-09 14:00,4.9일,14:00,SK 와이번스,창원,13,2,0,7,0,1,승
2017-04-09 14:00,4.9일,14:00,삼성 라이온즈,대구,4,0,0,11,2,0,패
2017-04-09 14:00,4.9일,14:00,kt wiz,대구,7,0,0,4,1,0,승
