day_text,day_text,times_text,team_text,location,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text
2015-04-01 19:00,4.1수,18:30,KIA 타이거즈,광주,5,0,0,12,0,0,승
2015-04-01 19:00,4.1수,18:30,SK 와이번스,광주,4,0,0,10,1,2,패
2015-04-01 19:00,4.1수,18:30,롯데 자이언츠,부산,8,1,1,9,1,0,패
2015-04-01 19:00,4.1수,18:30,LG 트윈스,부산,9,0,0,8,1,2,승
2015-04-01 19:00,4.1수,18:30,두산 베어스,서울,8,2,1,6,1,1,승
2015-04-01 19:00,4.1수,18:30,한화 이글스,서울,7,0,0,9,0,0,패
2015-04-01 19:00,4.1수,18:30,삼성 라이온즈,대구,9,1,1,4,1,2,승
2015-04-01 19:00,4.1수,18:30,kt wiz,대구,10,0,1,15,0,0,패
2015-04-01 19:00,4.1수,18:30,키움 히어로즈,서울,6,0,0,6,4,2,패
2015-04-01 19:00,4.1수,18:30,NC 다이노스,서울,18,3,1,6,0,1,승
2015-04-02 19:00,4.2목,18:30,두산 베어스,서울,5,0,0,10,1,0,패
2015-04-02 19:00,4.2목,18:30,한화 이글스,서울,7,0,0,11,1,1,승
2015-04-03 19:00,4.3금,18:30,한화 이글스,대전,8,1,0,8,1,1,패
2015-04-03 19:00,4.3금,18:30,NC 다이노스,대전,11,1,4,5,1,1,승
2015-04-03 19:00,4.3금,18:30,KIA 타이거즈,광주,12,2,0,8,1,0,승
2015-04-03 19:00,4.3금,18:30,kt wiz,광주,5,0,0,9,1,0,패
2015-04-03 19:00,4.3금,18:30,두산 베어스,서울,6,0,0,7,1,0,패
2015-04-03 19:00,4.3금,18:30,롯데 자이언츠,서울,8,1,0,8,0,0,승
2015-04-03 19:00,4.3금,18:30,SK 와이번스,인천,6,2,0,13,1,0,패
2015-04-03 19:00,4.3금,18:30,키움 히어로즈,인천,16,3,1,8,1,0,승
2015-04-03 19:00,4.3금,18:30,삼성 라이온즈,대구,9,2,0,3,1,1,승
2015-04-03 19:00,4.3금,18:30,LG 트윈스,대구,7,0,0,8,1,1,패
2015-04-04 17:00,4.4토,17:00,KIA 타이거즈,광주,14,2,4,10,1,0,승
2015-04-04 17:00,4.4토,17:00,kt wiz,광주,9,0,3,3,1,4,패
2015-04-04 17:00,4.4토,17:00,SK 와이번스,인천,11,1,1,9,0,1,승
2015-04-04 17:00,4.4토,17:00,키움 히어로즈,인천,7,0,2,9,1,1,패
2015-04-04 17:00,4.4토,17:00,삼성 라이온즈,대구,1,1,1,11,1,1,패
2015-04-04 17:00,4.4토,17:00,LG 트윈스,대구,9,0,1,5,1,1,승
2015-04-05 14:00,4.5일,14:00,한화 이글스,대전,8,0,0,6,2,0,패
2015-04-05 14:00,4.5일,14:00,NC 다이노스,대전,11,3,2,6,0,2,승
2015-04-05 14:00,4.5일,14:00,KIA 타이거즈,광주,8,0,0,5,2,1,승
2015-04-05 14:00,4.5일,14:00,kt wiz,광주,6,0,0,5,3,1,패
2015-04-05 14:00,4.5일,14:00,두산 베어스,서울,8,1,2,7,0,2,패
2015-04-05 14:00,4.5일,14:00,롯데 자이언츠,서울,14,4,0,10,3,2,승
2015-04-05 14:00,4.5일,14:00,삼성 라이온즈,대구,4,0,2,8,1,2,패
2015-04-05 14:00,4.5일,14:00,LG 트윈스,대구,12,0,1,7,1,0,승
2015-04-05 17:00,4.5일,17:00,SK 와이번스,인천,13,2,5,9,1,0,승
2015-04-05 17:00,4.5일,17:00,키움 히어로즈,인천,13,3,0,9,0,4,패
2015-04-07 19:00,4.7화,18:30,kt wiz,수원,10,1,2,12,0,0,패
2015-04-07 19:00,4.7화,18:30,SK 와이번스,수원,9,0,0,5,0,0,승
2015-04-07 19:00,4.7화,18:30,LG 트윈스,서울,10,1,1,15,1,1,패
2015-04-07 19:00,4.7화,18:30,한화 이글스,서울,14,0,1,6,1,0,승
2015-04-07 19:00,4.7화,18:30,롯데 자이언츠,부산,4,1,0,10,1,0,패
2015-04-07 19:00,4.7화,18:30,삼성 라이온즈,부산,8,1,2,9,0,0,승
2015-04-07 19:00,4.7화,18:30,NC 다이노스,창원,8,1,3,8,0,1,승
2015-04-07 19:00,4.7화,18:30,KIA 타이거즈,창원,6,1,0,9,0,0,패
2015-04-07 19:00,4.7화,18:30,키움 히어로즈,서울,27,4,0,10,1,0,승
2015-04-07 19:00,4.7화,18:30,두산 베어스,서울,10,0,1,9,2,2,패
2015-04-08 19:00,4.8수,18:30,kt wiz,수원,5,0,1,11,0,1,패
2015-04-08 19:00,4.8수,18:30,SK 와이번스,수원,8,1,0,3,3,0,승
2015-04-08 19:00,4.8수,18:30,LG 트윈스,서울,8,1,1,10,0,0,승
2015-04-08 19:00,4.8수,18:30,한화 이글스,서울,7,0,1,7,1,1,패
2015-04-08 19:00,4.8수,18:30,롯데 자이언츠,부산,8,0,2,13,1,0,패
2015-04-08 19:00,4.8수,18:30,삼성 라이온즈,부산,5,1,1,8,0,1,승
2015-04-08 19:00,4.8수,18:30,NC 다이노스,창원,14,3,0,5,0,0,승
2015-04-08 19:00,4.8수,18:30,KIA 타이거즈,창원,5,1,1,7,0,0,패
2015-04-08 19:00,4.8수,18:30,키움 히어로즈,서울,8,0,1,9,0,0,패
2015-04-08 19:00,4.8수,18:30,두산 베어스,서울,11,1,2,7,0,1,승
2015-04-09 19:00,4.9목,18:30,kt wiz,수원,7,1,0,8,0,0,패
2015-04-09 19:00,4.9목,18:30,SK 와이번스,수원,16,3,0,10,1,0,승
2015-04-09 19:00,4.9목,18:30,LG 트윈스,서울,5,0,1,5,3,1,패
2015-04-09 19:00,4.9목,18:30,한화 이글스,서울,7,1,0,9,0,1,승
2015-04-09 19:00,4.9목,18:30,롯데 자이언츠,부산,9,1,1,4,1,0,패
2015-04-09 19:00,4.9목,18:30,삼성 라이온즈,부산,11,3,2,5,0,0,승
2015-04-09 19:00,4.9목,18:30,NC 다이노스,창원,13,1,4,11,0,1,승
2015-04-09 19:00,4.9목,18:30,KIA 타이거즈,창원,7,2,1,5,1,0,패
2015-04-09 19:00,4.9목,18:30,키움 히어로즈,서울,0,0,0,8,0,2,패
2015-04-09 19:00,4.9목,18:30,두산 베어스,서울,5,0,3,6,1,0,승
2015-04-10 19:00,4.10금,18:30,한화 이글스,대전,14,1,0,12,2,0,패
2015-04-10 19:00,4.10금,18:30,롯데 자이언츠,대전,10,2,2,20,0,3,승
2015-04-10 19:00,4.10금,18:30,KIA 타이거즈,광주,10,1,0,13,1,1,패
2015-04-10 19:00,4.10금,18:30,삼성 라이온즈,광주,12,3,1,10,0,0,승
2015-04-10 19:00,4.10금,18:30,kt wiz,수원,5,0,0,16,0,1,패
2015-04-10 19:00,4.10금,18:30,키움 히어로즈,수원,6,1,0,8,0,0,승
2015-04-10 19:00,4.10금,18:30,두산 베어스,서울,5,0,2,5,2,0,패
2015-04-10 19:00,4.10금,18:30,LG 트윈스,서울,9,1,0,9,0,0,승
2015-04-10 19:00,4.10금,18:30,SK 와이번스,인천,6,0,0,5,1,1,승
2015-04-10 19:00,4.10금,18:30,NC 다이노스,인천,2,0,0,9,1,1,패
2015-04-11 17:00,4.11토,17:00,한화 이글스,대전,8,2,2,6,1,1,승
2015-04-11 17:00,4.11토,17:00,롯데 자이언츠,대전,3,0,1,8,1,4,패
2015-04-11 17:00,4.11토,17:00,KIA 타이거즈,광주,6,0,0,11,1,0,패
2015-04-11 17:00,4.11토,17:00,삼성 라이온즈,광주,10,2,2,7,1,1,승
2015-04-11 17:00,4.11토,17:00,kt wiz,수원,10,0,1,6,0,0,승
2015-04-11 17:00,4.11토,17:00,키움 히어로즈,수원,9,0,0,12,0,3,패
2015-04-11 17:00,4.11토,17:00,두산 베어스,서울,12,1,2,4,0,2,승
2015-04-11 17:00,4.11토,17:00,LG 트윈스,서울,10,2,1,5,2,3,패
2015-04-11 17:00,4.11토,17:00,SK 와이번스,인천,6,0,0,7,1,2,패
2015-04-11 17:00,4.11토,17:00,NC 다이노스,인천,5,0,1,3,0,0,승
2015-04-12 14:00,4.12일,14:00,KIA 타이거즈,광주,10,4,1,4,0,0,승
2015-04-12 14:00,4.12일,14:00,삼성 라이온즈,광주,9,2,0,8,0,1,패
2015-04-12 14:00,4.12일,14:00,kt wiz,수원,6,1,1,9,0,0,승
2015-04-12 14:00,4.12일,14:00,키움 히어로즈,수원,7,1,0,5,4,0,패
2015-04-12 14:00,4.12일,14:00,두산 베어스,서울,9,0,0,4,2,1,패
2015-04-12 14:00,4.12일,14:00,LG 트윈스,서울,6,1,0,5,2,0,승
2015-04-12 14:00,4.12일,14:00,SK 와이번스,인천,11,2,0,6,0,0,승
2015-04-12 14:00,4.12일,14:00,NC 다이노스,인천,9,2,0,10,0,3,패
2015-04-12 17:00,4.12일,17:00,한화 이글스,대전,5,3,0,11,0,2,패
2015-04-12 17:00,4.12일,17:00,롯데 자이언츠,대전,14,2,2,5,1,0,승
2015-04-14 19:00,4.14화,18:30,NC 다이노스,창원,9,0,2,13,1,1,패
2015-04-14 19:00,4.14화,18:30,롯데 자이언츠,창원,7,2,2,8,1,0,승
2015-04-14 19:00,4.14화,18:30,두산 베어스,서울,22,5,0,6,2,0,승
