day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,지점명
9.2화,한화 이글스,12,2,1,4,1,2,무,인천
9.2화,SK 와이번스,6,2,0,4,1,0,무,인천
9.2화,NC 다이노스,14,0,1,16,0,2,무,대구
9.2화,삼성 라이온즈,15,1,1,6,1,2,무,대구
9.4목,한화 이글스,6,0,1,7,3,1,패,대구
9.4목,삼성 라이온즈,12,1,2,5,0,0,승,대구
9.4목,롯데 자이언츠,11,2,0,15,0,3,승,인천
9.4목,SK 와이번스,8,1,0,8,0,0,패,인천
9.4목,NC 다이노스,5,2,1,8,0,0,패,서울
9.4목,키움 히어로즈,13,5,0,6,0,1,승,서울
9.4목,두산 베어스,13,1,0,4,2,0,무,서울
9.4목,LG 트윈스,10,1,2,10,0,2,무,서울
9.5금,두산 베어스,6,0,0,4,0,0,패,서울
9.5금,LG 트윈스,13,0,0,6,1,0,승,서울
9.5금,한화 이글스,2,0,0,14,0,0,패,대구
9.5금,삼성 라이온즈,8,2,1,4,0,0,승,대구
9.5금,롯데 자이언츠,4,1,2,8,1,1,패,인천
9.5금,SK 와이번스,18,1,2,9,0,1,승,인천
9.5금,NC 다이노스,5,0,0,10,2,3,패,서울
9.5금,키움 히어로즈,10,1,3,5,0,0,승,서울
9.6토,KIA 타이거즈,15,3,2,5,1,1,승,창원
9.6토,NC 다이노스,6,0,1,8,0,1,패,창원
9.6토,LG 트윈스,9,1,2,8,1,0,패,대전
9.6토,한화 이글스,12,3,0,2,1,0,승,대전
9.6토,롯데 자이언츠,12,3,1,10,0,0,승,서울
9.6토,키움 히어로즈,11,1,0,5,1,0,패,서울
9.6토,SK 와이번스,8,2,2,4,0,0,승,서울
9.6토,두산 베어스,11,0,1,3,1,1,패,서울
9.7일,KIA 타이거즈,6,0,1,10,1,1,패,창원
9.7일,NC 다이노스,11,0,5,12,0,0,승,창원
9.7일,LG 트윈스,8,1,0,3,2,0,패,대전
9.7일,한화 이글스,11,3,1,5,1,1,승,대전
9.7일,롯데 자이언츠,11,2,0,9,0,0,패,서울
9.7일,키움 히어로즈,11,2,1,3,0,1,승,서울
9.7일,SK 와이번스,13,2,1,7,1,0,승,서울
9.7일,두산 베어스,9,1,0,2,0,0,패,서울
9.9화,한화 이글스,9,1,1,12,0,3,패,서울
