day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,지점명
7.1수,한화 이글스,5,0,0,8,2,1,패,광주
7.1수,KIA 타이거즈,8,2,2,3,0,0,승,광주
7.1수,kt wiz,11,1,0,10,1,0,승,인천
7.1수,SK 와이번스,9,0,2,12,1,0,패,인천
7.1수,LG 트윈스,10,0,0,5,2,1,패,서울
7.1수,두산 베어스,15,1,0,1,0,4,승,서울
7.1수,롯데 자이언츠,9,0,2,6,1,1,승,창원
7.1수,NC 다이노스,10,1,1,7,1,1,패,창원
7.1수,삼성 라이온즈,14,2,3,3,0,3,승,서울
7.1수,키움 히어로즈,16,3,0,9,0,3,패,서울
7.2목,한화 이글스,13,0,2,4,1,0,승,광주
7.2목,KIA 타이거즈,7,2,3,8,1,1,패,광주
7.2목,kt wiz,8,1,1,6,1,1,패,인천
7.2목,SK 와이번스,5,1,0,8,0,0,승,인천
7.2목,LG 트윈스,12,1,0,7,0,1,승,서울
7.2목,두산 베어스,4,0,0,6,2,0,패,서울
7.2목,롯데 자이언츠,4,1,1,7,0,1,패,창원
7.2목,NC 다이노스,8,0,4,7,1,2,승,창원
7.2목,삼성 라이온즈,10,0,0,6,1,1,패,서울
7.2목,키움 히어로즈,6,0,0,5,0,0,승,서울
7.3금,KIA 타이거즈,9,0,0,5,1,2,패,수원
7.3금,kt wiz,12,1,0,7,0,1,승,수원
7.3금,LG 트윈스,12,2,0,5,0,0,패,대구
7.3금,삼성 라이온즈,17,1,1,4,2,1,승,대구
7.3금,NC 다이노스,9,1,4,8,0,0,패,대전
7.3금,한화 이글스,13,1,0,6,0,1,승,대전
7.3금,SK 와이번스,16,1,0,7,3,2,승,부산
7.3금,롯데 자이언츠,11,2,0,8,2,0,패,부산
7.3금,키움 히어로즈,14,1,0,6,1,1,패,서울
7.3금,두산 베어스,11,1,1,9,0,1,승,서울
7.4토,KIA 타이거즈,11,1,0,7,1,2,패,수원
7.4토,kt wiz,15,2,2,7,0,0,승,수원
7.4토,LG 트윈스,5,3,0,9,0,1,패,대구
