day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,지점명
8.1토,KIA 타이거즈,13,2,2,7,0,0,승,대전
8.1토,한화 이글스,17,0,2,8,0,2,패,대전
8.1토,LG 트윈스,12,2,1,12,0,0,승,인천
8.1토,SK 와이번스,8,1,0,9,2,2,패,인천
8.1토,롯데 자이언츠,10,1,1,7,0,1,패,수원
8.1토,kt wiz,23,4,0,3,1,1,승,수원
8.1토,삼성 라이온즈,11,2,3,6,0,2,승,서울
8.1토,두산 베어스,11,0,1,3,1,1,패,서울
8.1토,키움 히어로즈,6,1,0,7,0,1,패,창원
8.1토,NC 다이노스,6,0,2,7,1,0,승,창원
8.2일,KIA 타이거즈,8,0,0,7,0,0,승,대전
8.2일,한화 이글스,5,0,0,4,2,0,패,대전
8.2일,LG 트윈스,6,0,0,7,1,1,패,인천
8.2일,SK 와이번스,16,1,0,9,1,1,승,인천
8.2일,롯데 자이언츠,17,1,2,9,1,0,패,수원
8.2일,kt wiz,20,3,0,9,4,0,승,수원
8.2일,삼성 라이온즈,7,1,1,5,1,0,패,서울
8.2일,두산 베어스,7,1,0,6,1,1,승,서울
8.2일,키움 히어로즈,8,1,0,9,1,0,패,창원
8.2일,NC 다이노스,8,1,1,4,0,2,승,창원
8.4화,한화 이글스,8,1,1,9,1,0,패,인천
8.4화,SK 와이번스,13,0,1,5,2,0,승,인천
8.4화,KIA 타이거즈,10,2,0,8,0,1,패,서울
8.4화,키움 히어로즈,15,4,1,8,2,0,승,서울
8.4화,NC 다이노스,9,0,2,5,1,1,승,서울
8.4화,LG 트윈스,7,1,0,5,2,0,패,서울
8.4화,두산 베어스,5,1,1,11,0,0,승,부산
8.4화,롯데 자이언츠,5,0,0,9,1,0,패,부산
8.4화,삼성 라이온즈,11,1,2,7,1,0,승,수원
8.4화,kt wiz,8,1,1,10,0,1,패,수원
8.5수,한화 이글스,8,0,2,9,2,0,패,인천
8.5수,SK 와이번스,8,1,3,3,0,1,승,인천
8.5수,KIA 타이거즈,6,0,1,6,1,3,패,서울
8.5수,키움 히어로즈,10,2,1,8,1,1,승,서울
8.5수,NC 다이노스,8,1,2,3,1,0,승,서울
8.5수,LG 트윈스,6,0,0,3,1,0,패,서울
8.5수,두산 베어스,10,1,2,7,2,0,패,부산
8.5수,롯데 자이언츠,9,1,0,7,0,1,승,부산
8.5수,삼성 라이온즈,16,1,4,3,2,1,승,수원
8.5수,kt wiz,10,1,0,2,1,2,패,수원
8.6목,kt wiz,12,1,1,7,1,1,승,광주
8.6목,KIA 타이거즈,6,0,3,9,0,1,패,광주
8.6목,LG 트윈스,3,0,1,7,0,0,패,대전
8.6목,한화 이글스,13,0,0,6,1,0,승,대전
8.6목,롯데 자이언츠,10,1,1,10,0,2,패,창원
8.6목,NC 다이노스,10,2,1,3,1,0,승,창원
8.6목,SK 와이번스,10,2,1,10,0,1,패,대구
8.6목,삼성 라이온즈,17,3,1,12,0,0,승,대구
8.6목,키움 히어로즈,6,1,0,6,0,1,패,서울
8.6목,두산 베어스,17,2,0,3,0,1,승,서울
8.7금,kt wiz,7,1,1,5,0,2,패,광주
8.7금,KIA 타이거즈,12,0,2,10,1,1,승,광주
8.7금,LG 트윈스,13,2,1,2,0,0,승,대전
8.7금,한화 이글스,17,0,2,10,1,0,패,대전
8.7금,롯데 자이언츠,7,0,0,9,2,2,패,창원
8.7금,NC 다이노스,19,2,0,2,0,0,승,창원
8.7금,SK 와이번스,12,2,0,6,1,0,패,대구
8.7금,삼성 라이온즈,19,1,2,8,0,0,승,대구
8.7금,키움 히어로즈,14,0,1,9,1,1,패,서울
8.7금,두산 베어스,16,1,1,6,0,3,승,서울
8.8토,KIA 타이거즈,6,0,0,12,0,2,패,창원
8.8토,NC 다이노스,11,2,1,3,1,0,승,창원
8.8토,kt wiz,12,2,0,12,0,0,패,인천
8.8토,SK 와이번스,14,2,1,6,0,3,승,인천
8.8토,LG 트윈스,8,0,1,9,0,0,승,서울
8.8토,두산 베어스,8,1,1,5,1,1,패,서울
8.8토,롯데 자이언츠,11,1,1,8,1,0,패,대전
8.8토,한화 이글스,8,2,0,6,1,0,승,대전
8.9일,KIA 타이거즈,8,2,3,8,1,0,승,창원
8.9일,NC 다이노스,5,2,1,9,1,0,패,창원
8.9일,kt wiz,14,3,1,10,1,0,승,인천
8.9일,SK 와이번스,11,2,0,6,0,1,패,인천
8.9일,LG 트윈스,8,1,1,7,0,0,패,서울
8.9일,두산 베어스,12,1,1,5,0,0,승,서울
8.9일,롯데 자이언츠,10,0,1,3,3,0,패,대전
8.9일,한화 이글스,8,1,0,5,1,0,승,대전
8.9일,키움 히어로즈,10,1,1,8,0,0,패,대구
8.9일,삼성 라이온즈,7,1,2,5,2,0,승,대구
8.10월,키움 히어로즈,17,2,0,8,0,0,승,대구
8.10월,삼성 라이온즈,7,1,2,11,0,2,패,대구
8.11화,한화 이글스,9,1,0,11,0,0,승,수원
8.11화,kt wiz,3,0,0,7,2,0,패,수원
8.11화,NC 다이노스,19,1,0,11,2,2,승,서울
8.11화,키움 히어로즈,10,4,1,10,1,0,패,서울
8.11화,SK 와이번스,15,2,1,4,2,0,패,부산
8.11화,롯데 자이언츠,15,1,0,5,2,0,승,부산
8.11화,삼성 라이온즈,4,0,2,5,0,2,패,서울
8.11화,LG 트윈스,14,0,0,5,1,2,승,서울
8.12수,한화 이글스,18,1,0,10,0,0,승,수원
8.12수,kt wiz,8,2,0,4,0,1,패,수원
8.12수,NC 다이노스,14,3,2,9,1,0,승,서울
8.12수,키움 히어로즈,10,2,0,10,0,1,패,서울
8.12수,두산 베어스,12,1,0,5,1,1,패,광주
8.12수,KIA 타이거즈,10,1,1,8,0,0,승,광주
8.12수,삼성 라이온즈,7,2,0,7,0,0,승,서울
8.12수,LG 트윈스,4,0,0,9,0,1,패,서울
8.13목,한화 이글스,9,0,0,5,1,1,패,서울
8.13목,키움 히어로즈,17,2,0,5,1,1,승,서울
8.13목,LG 트윈스,23,6,0,9,2,1,승,인천
8.13목,SK 와이번스,5,2,1,15,0,0,패,인천
8.13목,롯데 자이언츠,8,1,0,8,2,1,승,수원
